st,end
1672840634031,1672840635081
1672840634816,1672840635119
1672840634534,1672840635256
1672840634209,1672840635454
1672840635244,1672840635592
1672840634032,1672840635683
1672840634219,1672840636081
1672840634510,1672840636196
1672840636457,1672840636494
1672840637362,1672840637618
1672840641614,1672840641653
1672840641609,1672840641874
1672840641886,1672840642060
1672840642548,1672840642639
1672840642356,1672840642776
1672840642915,1672840642944
1672840643215,1672840643457
1672840643838,1672840644423
1672840644348,1672840644464
1672840644578,1672840644670
1672840643321,1672840644754
1672840644904,1672840645217
1672840645806,1672840645905
1672840646008,1672840646215
1672840646228,1672840646308
1672840646471,1672840646603
1672840646572,1672840647328
1672840647249,1672840647418
1672840648661,1672840648773
1672840648160,1672840648794
1672840649214,1672840649269
1672840649300,1672840649617
1672840649564,1672840649693
1672840650004,1672840650028
1672840650588,1672840650908
1672840650705,1672840651200
1672840650877,1672840651379
1672840651706,1672840651749
1672840649484,1672840652871
1672840652479,1672840653729
1672840653001,1672840653748
1672840652632,1672840653813
1672840654363,1672840654574
1672840652695,1672840655004
1672840654917,1672840655208
1672840653636,1672840655215
1672840654731,1672840655309
1672840654818,1672840655380
1672840652633,1672840655599
1672840656229,1672840656272
1672840655984,1672840656796
1672840656814,1672840656989
1672840656582,1672840657310
1672840657601,1672840657764
1672840657724,1672840657990
1672840658406,1672840658476
1672840657949,1672840658676
1672840658480,1672840658972
1672840658319,1672840659475
1672840659160,1672840659752
1672840659736,1672840660148
1672840660097,1672840660246
1672840659180,1672840660357
1672840660922,1672840661004
1672840660875,1672840661014
1672840660983,1672840661015
1672840661073,1672840661150
1672840660915,1672840661199
1672840661176,1672840661237
1672840661113,1672840661241
1672840661250,1672840661279
1672840661276,1672840661349
1672840661027,1672840661397
1672840661443,1672840661561
1672840661266,1672840661620
1672840661302,1672840661625
1672840661574,1672840661630
1672840661564,1672840661677
1672840661566,1672840661705
1672840661430,1672840661712
1672840661637,1672840661726
1672840661296,1672840661742
1672840661752,1672840661787
1672840661623,1672840661802
1672840661265,1672840661818
1672840661702,1672840661879
1672840661585,1672840661890
1672840661534,1672840661903
1672840661636,1672840661904
1672840662159,1672840662204
1672840662177,1672840662207
1672840662160,1672840662243
1672840662160,1672840662492
1672840662468,1672840662627
1672840662499,1672840662640
1672840662491,1672840662828
1672840662716,1672840662966
1672840662412,1672840662974
1672840662610,1672840663051
1672840663097,1672840663137
1672840663013,1672840663138
1672840663073,1672840663384
1672840663290,1672840663420
1672840663224,1672840663426
1672840663487,1672840663549
1672840663156,1672840663602
1672840663636,1672840663678
1672840663975,1672840663993
1672840663464,1672840664089
1672840663983,1672840664163
1672840664162,1672840664189
1672840664253,1672840664334
1672840664187,1672840664347
1672840663761,1672840664415
1672840664314,1672840664440
1672840664429,1672840664489
1672840664310,1672840664526
1672840664392,1672840664564
1672840664126,1672840664707
1672840664374,1672840664764
1672840664308,1672840664893
1672840664874,1672840664937
1672840664980,1672840665027
1672840664318,1672840665057
1672840664354,1672840665146
1672840664836,1672840665176
1672840664639,1672840665177
1672840665037,1672840665223
1672840665017,1672840665294
1672840665274,1672840665310
1672840664506,1672840665372
1672840665221,1672840665406
1672840664833,1672840665466
1672840665522,1672840665550
1672840665524,1672840665586
1672840665223,1672840665591
1672840665242,1672840665645
1672840665137,1672840665693
1672840665605,1672840665921
1672840665967,1672840665985
1672840665889,1672840666101
1672840665870,1672840666145
1672840665986,1672840666178
1672840666168,1672840666196
1672840666090,1672840666317
1672840666280,1672840666398
1672840665137,1672840666401
1672840666189,1672840666474
1672840666456,1672840666559
1672840666330,1672840666568
1672840666551,1672840666584
1672840666698,1672840666785
1672840666639,1672840666797
1672840666302,1672840666838
1672840666798,1672840666849
1672840666716,1672840666860
1672840666581,1672840666921
1672840666942,1672840666986
1672840666814,1672840667029
1672840666794,1672840667030
1672840666990,1672840667034
1672840666963,1672840667141
1672840666971,1672840667214
1672840666739,1672840667229
1672840667275,1672840667312
1672840667565,1672840667658
1672840667467,1672840667686
1672840666770,1672840667699
1672840667599,1672840667780
1672840667939,1672840667965
1672840667734,1672840667987
1672840667831,1672840668248
1672840668011,1672840668249
1672840668171,1672840668268
1672840668187,1672840668310
1672840668412,1672840668451
1672840668458,1672840668503
1672840668227,1672840668551
1672840667992,1672840668697
1672840668069,1672840668784
1672840668582,1672840668784
1672840668784,1672840668892
1672840668692,1672840668933
1672840668728,1672840668950
1672840669036,1672840669129
1672840668992,1672840669148
1672840668985,1672840669156
1672840668911,1672840669209
1672840669231,1672840669408
1672840669417,1672840669448
1672840668942,1672840669462
1672840669230,1672840669575
1672840669371,1672840669673
1672840669563,1672840669724
1672840669486,1672840669850
1672840669848,1672840669936
1672840669512,1672840669987
1672840669816,1672840670000
1672840669987,1672840670169
1672840670160,1672840670185
1672840669848,1672840670188
1672840670050,1672840670227
1672840669987,1672840670251
1672840670058,1672840670268
1672840669942,1672840670315
1672840670479,1672840670521
1672840670430,1672840670580
1672840670587,1672840670724
1672840670452,1672840670743
1672840670589,1672840670755
1672840670771,1672840670824
1672840670648,1672840670840
1672840670658,1672840670897
1672840670910,1672840671048
1672840670847,1672840671056
1672840671052,1672840671102
1672840670947,1672840671153
1672840671061,1672840671156
1672840671052,1672840671287
1672840671276,1672840671387
1672840671283,1672840671426
1672840671181,1672840671514
1672840671430,1672840671613
1672840671448,1672840671621
1672840671554,1672840671642
1672840671667,1672840671799
1672840671753,1672840671869
1672840671577,1672840671935
1672840672000,1672840672041
1672840671955,1672840672079
1672840671460,1672840672159
1672840672192,1672840672255
1672840672270,1672840672317
1672840672217,1672840672328
1672840672306,1672840672367
1672840672169,1672840672445
