st,end
1672827235252,1672827236202
1672827235249,1672827236202
1672827235577,1672827236202
1672827235981,1672827236203
1672827235432,1672827236204
1672827235248,1672827236205
1672827235641,1672827236205
1672827235492,1672827236206
1672827235292,1672827236207
1672827235738,1672827236209
1672827235488,1672827236213
1672827235877,1672827236252
1672827235223,1672827236255
1672827235274,1672827236261
1672827235518,1672827236292
1672827235226,1672827236292
1672827235919,1672827236317
1672827235398,1672827236352
1672827235695,1672827236394
1672827235294,1672827236506
1672827235227,1672827236509
1672827235309,1672827236596
1672827236432,1672827236607
1672827235483,1672827236631
1672827235224,1672827236642
1672827235396,1672827236644
1672827235631,1672827236818
1672827235313,1672827237048
1672827236752,1672827237116
1672827237412,1672827237424
1672827237410,1672827237434
1672827237412,1672827237440
1672827237410,1672827237462
1672827237400,1672827237479
1672827237412,1672827237498
1672827237410,1672827237506
1672827237447,1672827237509
1672827237507,1672827237560
1672827237560,1672827237584
1672827237415,1672827237604
1672827237543,1672827237640
1672827237400,1672827237649
1672827237632,1672827237651
1672827237571,1672827237800
1672827237699,1672827237832
1672827237658,1672827237851
1672827237803,1672827237891
1672827237559,1672827237911
1672827237804,1672827238009
1672827235917,1672827238044
1672827238063,1672827238105
1672827238061,1672827238215
1672827238042,1672827238224
1672827238235,1672827238280
1672827238291,1672827238355
1672827238025,1672827238522
1672827238334,1672827238608
1672827238489,1672827238774
1672827239130,1672827239220
1672827239548,1672827239665
1672827243586,1672827243680
1672827243568,1672827243681
1672827243652,1672827243695
1672827243669,1672827243697
1672827243431,1672827243710
1672827243520,1672827243734
1672827243727,1672827243762
1672827243761,1672827243790
1672827243768,1672827243791
1672827243743,1672827243800
1672827243753,1672827243813
1672827243771,1672827243819
1672827243688,1672827243867
1672827243865,1672827243915
1672827243911,1672827243921
1672827243819,1672827243930
1672827243624,1672827243945
1672827243945,1672827243979
1672827243890,1672827243992
1672827243908,1672827244017
1672827243840,1672827244040
1672827243885,1672827244067
1672827244041,1672827244091
1672827243910,1672827244099
1672827243810,1672827244130
1672827243992,1672827244136
1672827244126,1672827244159
1672827244094,1672827244163
1672827243942,1672827244176
1672827244003,1672827244190
1672827243601,1672827244236
1672827243943,1672827244242
1672827243941,1672827244246
1672827244227,1672827244246
1672827244099,1672827244257
1672827243932,1672827244277
1672827244082,1672827244290
1672827244142,1672827244298
1672827244238,1672827244319
1672827244176,1672827244320
1672827244142,1672827244384
1672827244067,1672827244394
1672827244330,1672827244395
1672827243825,1672827244401
1672827244364,1672827244403
1672827244376,1672827244473
1672827244477,1672827244494
1672827244514,1672827244562
1672827244439,1672827244582
1672827244308,1672827244608
1672827244198,1672827244615
1672827244573,1672827244618
1672827244514,1672827244628
1672827244668,1672827244714
1672827244142,1672827244737
1672827244722,1672827244744
1672827244658,1672827244752
1672827244698,1672827244829
1672827244650,1672827244878
1672827245134,1672827245318
1672827245203,1672827245368
1672827245380,1672827245435
1672827245430,1672827245466
1672827245485,1672827245553
1672827245484,1672827245568
1672827245532,1672827245588
1672827245582,1672827245630
1672827245629,1672827245690
1672827245655,1672827245694
1672827245616,1672827245694
1672827245770,1672827245792
1672827245733,1672827245794
1672827245718,1672827245824
1672827245612,1672827245827
1672827245781,1672827245835
1672827245806,1672827245856
1672827245511,1672827245865
1672827245733,1672827245866
1672827245742,1672827245888
1672827246006,1672827246029
1672827245987,1672827246044
1672827245965,1672827246045
1672827245998,1672827246093
1672827245818,1672827246098
1672827246113,1672827246125
1672827246146,1672827246181
1672827246175,1672827246196
1672827246028,1672827246201
1672827245817,1672827246202
1672827246018,1672827246228
1672827246144,1672827246250
1672827246255,1672827246278
1672827246174,1672827246333
1672827245733,1672827246337
1672827246209,1672827246344
1672827246201,1672827246345
1672827246306,1672827246392
1672827246437,1672827246446
1672827246399,1672827246465
1672827246130,1672827246480
1672827246365,1672827246510
1672827246413,1672827246545
1672827246466,1672827246556
1672827246404,1672827246569
1672827246243,1672827246594
1672827246291,1672827246628
1672827246558,1672827246630
1672827246466,1672827246683
1672827246373,1672827246713
1672827246749,1672827246777
1672827246786,1672827246827
1672827246678,1672827246880
1672827246006,1672827246880
1672827246721,1672827246916
1672827246696,1672827246919
1672827246889,1672827246925
1672827246978,1672827247009
1672827246888,1672827247125
1672827247033,1672827247152
1672827246990,1672827247154
1672827247133,1672827247253
1672827247172,1672827247270
1672827247196,1672827247464
1672827247219,1672827247482
1672827247477,1672827247498
1672827247196,1672827247552
1672827246882,1672827247611
1672827247538,1672827247669
1672827247515,1672827247741
1672827247721,1672827247745
1672827247564,1672827247794
1672827247642,1672827247851
1672827247822,1672827247943
1672827247661,1672827247950
1672827247765,1672827247954
1672827247906,1672827247990
1672827247681,1672827248007
1672827247841,1672827248062
1672827248042,1672827248063
1672827247997,1672827248084
1672827247814,1672827248104
1672827248134,1672827248161
1672827248041,1672827248179
1672827248167,1672827248195
1672827248202,1672827248279
1672827248191,1672827248290
1672827248155,1672827248349
1672827248237,1672827248358
1672827248040,1672827248393
1672827248230,1672827248422
1672827248335,1672827248428
1672827248346,1672827248443
1672827248315,1672827248461
1672827248224,1672827248461
1672827248380,1672827248491
1672827248348,1672827248506
1672827248438,1672827248522
1672827248134,1672827248559
1672827248508,1672827248560
1672827248379,1672827248581
1672827248544,1672827248601
1672827248535,1672827248786
1672827248493,1672827248822
1672827248822,1672827248881
1672827248762,1672827248917
1672827248925,1672827248942
1672827248902,1672827248944
1672827248847,1672827248956
1672827248939,1672827249006
1672827248999,1672827249039
1672827249038,1672827249078
1672827248999,1672827249078
1672827248880,1672827249079
1672827249190,1672827249230
1672827249169,1672827249251
1672827249128,1672827249290
1672827249243,1672827249294
1672827249128,1672827249319
1672827249298,1672827249351
1672827249178,1672827249374
1672827249226,1672827249390
1672827249183,1672827249442
1672827249381,1672827249446
1672827249153,1672827249478
1672827249301,1672827249480
1672827249336,1672827249503
1672827249480,1672827249528
1672827248995,1672827249540
1672827249408,1672827249590
1672827249498,1672827249600
1672827249583,1672827249610
1672827249613,1672827249640
1672827249546,1672827249655
1672827249674,1672827249745
1672827249675,1672827249753
1672827249658,1672827249778
1672827249736,1672827249781
1672827249180,1672827249815
1672827249440,1672827249826
1672827249844,1672827249866
1672827249764,1672827249872
1672827249676,1672827249891
1672827249675,1672827249998
1672827249967,1672827250048
1672827249746,1672827250048
1672827250053,1672827250107
1672827250065,1672827250158
1672827249843,1672827250223
1672827250080,1672827250234
1672827250138,1672827250245
1672827249974,1672827250266
1672827249676,1672827250309
1672827250033,1672827250316
1672827250308,1672827250364
1672827250235,1672827250464
1672827250327,1672827250472
1672827250404,1672827250488
1672827250479,1672827250515
1672827250412,1672827250542
1672827250362,1672827250595
1672827250448,1672827250613
1672827250566,1672827250644
1672827250567,1672827250650
1672827250685,1672827250722
1672827250596,1672827250722
1672827250764,1672827250782
1672827250668,1672827250810
1672827250538,1672827250827
1672827250816,1672827250893
1672827250903,1672827250947
1672827250976,1672827251000
1672827250773,1672827251019
1672827250990,1672827251082
1672827251140,1672827251181
1672827251203,1672827251227
1672827251229,1672827251287
1672827250947,1672827251295
1672827251312,1672827251425
1672827251282,1672827251447
1672827251316,1672827251475
1672827251471,1672827251496
1672827251485,1672827251558
1672827251370,1672827251562
1672827251370,1672827251601
1672827251601,1672827251622
1672827251429,1672827251662
1672827251636,1672827251681
1672827251737,1672827251760
1672827251765,1672827251816
1672827251818,1672827251920
1672827251673,1672827251942
1672827251907,1672827251987
1672827251488,1672827252008
1672827251955,1672827252008
1672827251603,1672827252020
1672827251556,1672827252038
1672827251838,1672827252045
1672827252168,1672827252185
1672827252160,1672827252219
1672827252188,1672827252225
1672827252190,1672827252260
1672827252264,1672827252319
1672827251995,1672827252330
1672827252056,1672827252345
1672827252252,1672827252417
1672827252001,1672827252418
1672827252291,1672827252420
1672827252255,1672827252447
1672827252435,1672827252494
1672827252430,1672827252503
1672827252502,1672827252555
1672827252331,1672827252609
1672827252516,1672827252638
1672827252587,1672827252701
1672827252548,1672827252761
1672827252587,1672827252770
1672827252824,1672827252844
1672827252858,1672827252874
1672827252936,1672827252949
1672827252966,1672827252974
1672827252797,1672827252985
1672827252732,1672827252992
1672827252876,1672827253004
1672827252760,1672827253026
1672827253017,1672827253071
1672827252519,1672827253089
1672827253095,1672827253103
1672827252866,1672827253115
1672827252996,1672827253119
1672827253090,1672827253139
1672827253094,1672827253177
1672827253176,1672827253209
1672827253227,1672827253242
1672827253030,1672827253268
1672827253090,1672827253269
1672827252732,1672827253278
1672827253320,1672827253390
