st,end
1674859005346,1674859006190
1674859005342,1674859006325
1674859006375,1674859006575
1674859006506,1674859006643
1674859006629,1674859007126
1674859005343,1674859007133
1674859005524,1674859007358
1674859006375,1674859007370
1674859006182,1674859007658
1674859005619,1674859007965
1674859012715,1674859013247
1674859013012,1674859013306
1674859013435,1674859013451
1674859013165,1674859013464
1674859013574,1674859013859
1674859013518,1674859014040
1674859014325,1674859014436
1674859015147,1674859015326
1674859015553,1674859015690
1674859013410,1674859015756
1674859015958,1674859016941
1674859016260,1674859017168
1674859017901,1674859018012
1674859018382,1674859018975
1674859018370,1674859019179
1674859018760,1674859019368
1674859018258,1674859019561
1674859019109,1674859019738
1674859020647,1674859020773
1674859020833,1674859020940
1674859021663,1674859022269
1674859021928,1674859022284
1674859021855,1674859022693
1674859024207,1674859024464
1674859024383,1674859025408
1674859025067,1674859025679
1674859024328,1674859026820
1674859026247,1674859027105
1674859027639,1674859029123
1674859028571,1674859029489
1674859029963,1674859030360
1674859029847,1674859031917
1674859030808,1674859032240
1674859029910,1674859032542
1674859030166,1674859032717
1674859032576,1674859032760
1674859032325,1674859032769
1674859032970,1674859033089
1674859033078,1674859033426
1674859033279,1674859033802
1674859033709,1674859033816
1674859033139,1674859033819
1674859033975,1674859034138
1674859033578,1674859034155
1674859034423,1674859034618
1674859034941,1674859035050
1674859034627,1674859035264
1674859034677,1674859035419
1674859035613,1674859035810
1674859034424,1674859035882
1674859035612,1674859036827
1674859036439,1674859037034
1674859036807,1674859037047
1674859036631,1674859037119
1674859036336,1674859037179
1674859037110,1674859037237
1674859036172,1674859037535
1674859037548,1674859037736
1674859036263,1674859037768
1674859037203,1674859038113
1674859038114,1674859038353
1674859038280,1674859038701
1674859038633,1674859040562
1674859039771,1674859041168
1674859041421,1674859041608
1674859041670,1674859041689
1674859040495,1674859041697
1674859041561,1674859042086
1674859041372,1674859042294
1674859040833,1674859042319
1674859042023,1674859042435
1674859042005,1674859042806
1674859043122,1674859043349
1674859042139,1674859043453
1674859043108,1674859043455
1674859042442,1674859043634
1674859043470,1674859043728
1674859043390,1674859043739
1674859044160,1674859044341
1674859043823,1674859044728
1674859042831,1674859044912
1674859044612,1674859044912
1674859045189,1674859045625
1674859044271,1674859045631
1674859045748,1674859046316
1674859046294,1674859046548
