st,end
1674859002321,1674859011573
1674859002345,1674859011623
1674859002349,1674859011861
1674859002331,1674859012292
1674859002344,1674859012377
1674859002323,1674859012480
1674859002343,1674859012510
1674859002328,1674859012545
1674859002337,1674859012559
1674859002348,1674859012666
1674859011577,1674859015164
1674859012381,1674859015519
1674859011627,1674859015892
1674859012295,1674859016325
1674859012513,1674859016423
1674859012669,1674859017363
1674859011865,1674859017623
1674859012484,1674859017902
1674859012563,1674859018133
1674859012548,1674859018264
1674859015165,1674859019421
1674859015521,1674859020073
1674859016425,1674859020657
1674859017364,1674859021947
1674859017903,1674859022804
1674859015893,1674859023773
1674859018266,1674859023884
1674859016326,1674859024446
1674859019423,1674859024912
1674859020659,1674859025589
1674859020074,1674859026063
1674859017624,1674859026637
1674859018134,1674859027794
1674859022805,1674859028014
1674859021948,1674859028369
1674859024447,1674859030454
1674859023885,1674859031645
1674859024914,1674859032030
1674859023774,1674859032567
1674859025591,1674859033118
1674859028015,1674859034229
1674859026064,1674859034251
1674859027795,1674859034387
1674859026638,1674859034694
1674859031500,1674859035425
1674859028370,1674859035617
1674859031477,1674859035820
1674859031647,1674859035936
1674859031490,1674859035984
1674859030455,1674859036268
1674859032568,1674859036353
1674859031449,1674859036358
1674859031460,1674859036592
1674859031466,1674859037152
1674859032032,1674859037165
1674859031478,1674859038274
1674859033120,1674859038600
1674859031484,1674859038648
1674859031496,1674859039641
1674859031454,1674859039644
1674859034252,1674859040339
1674859034230,1674859040537
1674859035619,1674859040822
1674859035937,1674859040923
1674859035824,1674859041045
1674859034389,1674859041099
1674859037166,1674859041147
1674859035429,1674859041614
1674859036269,1674859041751
1674859036354,1674859041952
1674859034696,1674859042271
1674859037156,1674859042412
1674859036596,1674859042491
1674859035987,1674859043495
1674859036362,1674859043802
1674859039647,1674859043955
1674859040341,1674859044705
1674859038277,1674859045010
1674859040925,1674859045229
1674859042273,1674859045338
1674859042492,1674859046323
1674859040823,1674859046625
1674859041100,1674859047042
1674859041752,1674859047986
1674859041953,1674859047986
1674859039645,1674859048299
1674859041149,1674859048356
1674859038652,1674859048499
1674859043957,1674859048542
1674859042413,1674859048879
1674859038602,1674859048888
1674859043804,1674859049029
1674859041046,1674859049627
1674859045230,1674859049691
1674859045339,1674859050080
1674859044706,1674859050225
1674859041615,1674859050550
1674859043496,1674859050554
1674859040538,1674859050647
1674859045011,1674859051020
1674859047043,1674859051482
1674859048501,1674859052497
1674859046627,1674859052630
1674859048544,1674859053011
1674859048889,1674859053133
1674859047987,1674859053403
1674859048300,1674859053729
1674859047987,1674859054175
1674859049628,1674859054191
1674859050556,1674859054244
1674859049692,1674859054412
1674859050226,1674859054672
1674859046325,1674859054677
1674859050081,1674859054912
1674859049030,1674859055624
1674859048880,1674859055646
1674859051021,1674859055899
1674859048357,1674859055959
1674859053134,1674859056272
1674859051483,1674859056525
1674859052631,1674859056650
1674859050552,1674859057171
1674859053013,1674859057331
1674859052498,1674859057738
1674859050648,1674859057852
1674859054176,1674859058330
1674859053730,1674859058530
1674859055960,1674859058567
1674859054414,1674859058609
1674859054913,1674859058745
1674859054673,1674859059422
1674859054246,1674859059548
1674859054192,1674859059647
1674859055900,1674859060113
1674859053404,1674859060565
1674859054678,1674859060639
1674859056652,1674859060825
1674859055648,1674859061907
1674859057332,1674859061936
1674859055626,1674859061939
1674859056526,1674859062074
1674859058610,1674859062796
1674859058332,1674859063240
1674859058746,1674859063282
1674859059423,1674859063492
1674859056273,1674859063695
1674859057853,1674859063729
1674859057739,1674859063847
1674859059549,1674859063905
1674859059648,1674859064389
1674859058531,1674859064494
1674859057173,1674859064603
1674859060114,1674859064748
1674859060827,1674859064913
1674859060567,1674859065031
1674859061617,1674859065144
1674859061908,1674859065431
1674859061938,1674859065646
1674859061596,1674859065705
1674859061623,1674859065828
1674859061626,1674859066040
1674859061616,1674859066147
1674859058568,1674859066182
1674859063907,1674859066425
1674859061611,1674859066575
1674859061634,1674859066719
1674859061642,1674859066947
1674859061603,1674859067009
1674859062076,1674859067152
1674859062798,1674859067276
1674859063730,1674859067565
1674859064604,1674859067723
