st,end
1669999879968,1669999880719
1669999879553,1669999880798
1669999879748,1669999880850
1669999878696,1669999880877
1669999878693,1669999880905
1669999878695,1669999880975
1669999880721,1669999880977
1669999878699,1669999881024
1669999878698,1669999881036
1669999878772,1669999881260
1669999879908,1669999881279
1669999878693,1669999881331
1669999880195,1669999881386
1669999880912,1669999881419
1669999879038,1669999881489
1669999880199,1669999881490
1669999880965,1669999881499
1669999879623,1669999881504
1669999881038,1669999881630
1669999878846,1669999881728
1669999880729,1669999881855
1669999881197,1669999882033
1669999880979,1669999882207
1669999878692,1669999882301
1669999880384,1669999882317
1669999881359,1669999882425
1669999881129,1669999882558
1669999878815,1669999882598
1669999881350,1669999882668
1669999880853,1669999882739
1669999880880,1669999882808
1669999881128,1669999882818
1669999880800,1669999882917
1669999881264,1669999882978
1669999881732,1669999883144
1669999880191,1669999883192
1669999882427,1669999883224
1669999881335,1669999883364
1669999882307,1669999883390
1669999882601,1669999883598
1669999883197,1669999883685
1669999881281,1669999883845
1669999881493,1669999883911
1669999882036,1669999883939
1669999881461,1669999884021
1669999882670,1669999884043
1669999882319,1669999884143
1669999881389,1669999884179
1669999881502,1669999884328
1669999881507,1669999884522
1669999881857,1669999884627
1669999881492,1669999884668
1669999881316,1669999884739
1669999881027,1669999884770
1669999882822,1669999884959
1669999884025,1669999885074
1669999884882,1669999885171
1669999884511,1669999885171
1669999879647,1669999885301
1669999884742,1669999885312
1669999884577,1669999885390
1669999882563,1669999885410
1669999885193,1669999885514
1669999884619,1669999885532
1669999885535,1669999885643
1669999885394,1669999885679
1669999885174,1669999885699
1669999885517,1669999885719
1669999884869,1669999885761
1669999885305,1669999885817
1669999885174,1669999885939
1669999885771,1669999886053
1669999886064,1669999886279
1669999886281,1669999886424
1669999886650,1669999886849
1669999886852,1669999887032
1669999887298,1669999887658
1669999887295,1669999887786
1669999887662,1669999887941
1669999887788,1669999888044
1669999887919,1669999888203
1669999888206,1669999888675
1669999888295,1669999888688
1669999888779,1669999888885
1669999888690,1669999888894
1669999888834,1669999888962
1669999888866,1669999889077
1669999888889,1669999889145
1669999889079,1669999889298
1669999888964,1669999889423
1669999890670,1669999891151
1669999891265,1669999891570
1669999891156,1669999891814
1669999891757,1669999891879
1669999891573,1669999892051
1669999891882,1669999892204
1669999892790,1669999892911
1669999892757,1669999892958
