st,end
1679772666805,1679772667370
1679772667184,1679772667370
1679772666979,1679772667383
1679772666936,1679772667405
1679772667206,1679772667442
1679772667114,1679772667580
1679772667385,1679772667584
1679772667450,1679772667615
1679772666923,1679772667623
1679772667143,1679772667725
1679772667577,1679772667737
1679772667440,1679772667774
1679772667656,1679772667796
1679772667495,1679772667848
1679772666754,1679772667880
1679772667184,1679772667933
1679772667267,1679772667946
1679772667310,1679772667972
1679772666754,1679772667973
1679772667185,1679772667983
1679772666755,1679772668014
1679772667086,1679772668040
1679772666841,1679772668103
1679772667355,1679772668106
1679772667183,1679772668218
1679772667457,1679772668252
1679772667447,1679772668331
1679772666756,1679772668360
1679772667085,1679772668402
1679772668324,1679772668427
1679772666989,1679772668467
1679772667424,1679772668470
1679772667640,1679772668526
1679772666756,1679772668536
1679772667199,1679772668580
1679772666852,1679772668771
1679772667116,1679772668846
1679772667747,1679772669084
1679772669238,1679772669454
1679772670724,1679772670739
1679772672028,1679772672169
1679772672195,1679772672222
1679772672223,1679772672344
1679772672341,1679772672534
1679772672307,1679772672534
1679772672453,1679772672567
1679772672496,1679772672582
1679772672565,1679772672589
1679772672662,1679772672681
1679772672746,1679772672765
1679772672796,1679772672922
1679772672749,1679772672969
1679772672775,1679772672991
1679772672870,1679772673000
1679772672926,1679772673032
1679772672960,1679772673032
1679772673066,1679772673088
1679772673061,1679772673126
1679772673083,1679772673129
1679772673065,1679772673152
1679772673241,1679772673289
1679772673208,1679772673344
1679772673174,1679772673363
1679772673240,1679772673582
1679772673565,1679772673584
1679772673442,1679772673621
1679772673613,1679772673783
1679772673509,1679772673975
1679772674011,1679772674026
1679772673876,1679772674049
1679772673602,1679772674129
1679772674002,1679772674154
1679772673992,1679772674268
1679772674352,1679772674380
1679772674129,1679772674418
1679772674116,1679772674506
1679772674262,1679772674578
1679772674303,1679772674607
1679772674413,1679772674672
1679772673527,1679772674738
1679772674730,1679772674754
1679772674524,1679772674823
1679772674790,1679772674871
1679772674491,1679772674957
1679772674629,1679772674993
1679772674497,1679772675014
1679772674901,1679772675288
1679772674801,1679772675301
1679772675009,1679772675310
1679772674466,1679772675314
1679772674552,1679772675314
1679772674943,1679772675330
1679772674041,1679772675337
1679772674372,1679772675341
1679772675326,1679772675369
1679772674618,1679772675390
1679772673505,1679772675486
1679772674986,1679772675534
1679772674629,1679772675548
1679772675271,1679772675571
1679772675541,1679772675678
1679772674594,1679772675700
1679772674996,1679772675701
1679772675565,1679772675933
1679772674702,1679772676024
1679772675622,1679772676075
1679772675839,1679772676144
1679772675824,1679772676294
1679772676022,1679772676356
1679772675934,1679772676469
1679772676497,1679772676559
1679772676707,1679772677104
1679772676703,1679772677104
1679772676773,1679772677139
1679772676883,1679772677145
1679772677122,1679772677164
1679772677159,1679772677194
1679772676995,1679772677206
1679772677147,1679772677274
1679772676814,1679772677294
1679772677281,1679772677336
1679772677188,1679772677364
1679772677258,1679772677372
1679772677175,1679772677413
1679772677345,1679772677466
1679772677192,1679772677477
1679772677488,1679772677541
1679772677335,1679772677622
1679772677207,1679772677643
1679772677362,1679772677680
1679772677122,1679772677749
1679772677872,1679772677904
1679772677698,1679772677923
1679772677927,1679772677954
1679772677961,1679772678005
1679772677939,1679772678026
1679772678009,1679772678037
1679772677961,1679772678158
1679772678113,1679772678173
1679772677901,1679772678221
1679772678230,1679772678242
1679772678283,1679772678306
1679772678170,1679772678368
1679772678303,1679772678465
1679772678285,1679772678524
1679772678476,1679772678527
1679772678272,1679772678546
1679772678484,1679772678638
1679772678489,1679772678670
1679772678600,1679772678671
1679772678614,1679772678679
1679772678609,1679772678707
1679772678770,1679772678785
1679772678788,1679772678840
1679772678780,1679772678842
1679772678697,1679772678902
1679772678857,1679772678914
1679772678892,1679772678936
1679772678710,1679772679036
1679772678982,1679772679066
1679772678925,1679772679071
1679772678774,1679772679089
1679772679110,1679772679131
1679772678578,1679772679197
1679772679050,1679772679200
1679772679070,1679772679206
1679772679209,1679772679233
1679772678919,1679772679233
1679772679102,1679772679253
1679772679005,1679772679369
1679772679462,1679772679496
1679772679301,1679772679505
1679772679324,1679772679525
1679772679344,1679772679554
1679772679490,1679772679626
1679772679637,1679772679670
1679772679680,1679772679704
1679772679706,1679772679824
1679772679908,1679772679944
1679772679685,1679772679944
1679772679845,1679772679966
1679772679894,1679772679970
1679772680001,1679772680035
1679772679474,1679772680057
1679772679908,1679772680062
1679772679894,1679772680080
1679772680059,1679772680154
1679772680134,1679772680171
1679772680270,1679772680352
1679772680210,1679772680380
1679772680344,1679772680385
1679772680372,1679772680516
1679772680400,1679772680533
1679772680316,1679772680550
1679772680481,1679772680575
1679772680364,1679772680682
1679772680698,1679772680713
1679772680669,1679772680718
1679772680738,1679772680751
1679772680579,1679772680777
1679772680780,1679772680805
1679772680685,1679772680846
1679772680760,1679772680847
1679772680526,1679772680863
1679772680845,1679772680871
1679772680866,1679772680879
1679772680938,1679772680954
1679772680921,1679772680954
1679772680929,1679772680982
1679772680902,1679772680982
1679772680833,1679772680986
1679772680937,1679772681024
1679772681022,1679772681055
1679772680602,1679772681106
1679772681024,1679772681121
1679772681113,1679772681133
1679772681138,1679772681169
1679772681223,1679772681320
1679772681289,1679772681348
1679772681102,1679772681391
1679772681442,1679772681519
1679772681501,1679772681531
1679772681618,1679772681670
1679772681546,1679772681671
1679772681608,1679772681701
1679772681469,1679772681729
1679772681718,1679772681729
1679772681645,1679772681751
1679772681682,1679772681763
1679772681717,1679772681763
1679772681700,1679772681815
1679772681842,1679772681886
1679772681870,1679772681886
1679772681831,1679772681888
1679772681402,1679772681932
1679772681878,1679772681945
1679772681752,1679772681957
1679772681826,1679772681962
1679772681960,1679772682006
1679772681961,1679772682034
1679772681848,1679772682052
1679772682162,1679772682174
1679772682256,1679772682292
1679772682287,1679772682350
1679772682282,1679772682426
1679772682399,1679772682467
1679772682245,1679772682547
1679772682458,1679772682548
1679772682208,1679772682599
1679772682479,1679772682629
1679772682611,1679772682643
1679772682481,1679772682652
1679772682418,1679772682655
1679772682548,1679772682713
1679772682378,1679772682716
1679772682634,1679772682763
1679772682693,1679772682894
1679772682878,1679772682903
1679772682447,1679772682929
1679772682803,1679772682945
1679772682926,1679772682978
1679772682989,1679772683000
1679772682863,1679772683002
1679772682530,1679772683023
1679772683053,1679772683075
1679772683044,1679772683141
1679772682932,1679772683164
1679772683113,1679772683243
1679772683236,1679772683331
1679772683391,1679772683400
1679772682897,1679772683416
1679772683204,1679772683421
1679772683399,1679772683471
1679772683412,1679772683522
1679772683545,1679772683567
1679772683528,1679772683573
1679772683518,1679772683573
1679772683406,1679772683596
1679772683522,1679772683617
1679772683578,1679772683692
1679772683660,1679772683693
1679772683551,1679772683731
1679772683726,1679772683790
1679772683745,1679772683792
1679772683738,1679772683864
1679772683899,1679772683952
1679772684018,1679772684031
1679772683764,1679772684054
1679772684001,1679772684062
1679772683619,1679772684066
1679772684052,1679772684071
1679772683770,1679772684092
1679772684066,1679772684097
1679772683987,1679772684116
1679772683995,1679772684148
1679772683785,1679772684152
1679772684180,1679772684215
1679772683809,1679772684233
1679772684225,1679772684314
1679772684254,1679772684359
1679772684083,1679772684367
1679772684338,1679772684374
1679772684308,1679772684400
1679772684386,1679772684423
1679772684060,1679772684512
1679772684371,1679772684530
1679772684418,1679772684639
1679772684552,1679772684656
1679772684603,1679772684672
1679772684539,1679772684684
1679772684645,1679772684715
1679772684652,1679772684724
1679772684715,1679772684755
1679772684569,1679772684793
1679772684580,1679772684801
1679772684497,1679772684838
1679772684840,1679772684872
1679772684791,1679772684875
1679772684902,1679772684912
1679772684866,1679772684996
1679772684641,1679772685008
1679772684897,1679772685010
1679772684942,1679772685017
1679772684969,1679772685025
1679772685000,1679772685040
1679772684964,1679772685050
1679772685147,1679772685188
1679772685176,1679772685206
1679772685208,1679772685255
1679772684918,1679772685258
1679772685162,1679772685268
1679772685065,1679772685271
1679772685226,1679772685311
1679772685250,1679772685423
1679772685414,1679772685429
1679772685391,1679772685434
1679772685415,1679772685528
1679772685533,1679772685554
1679772685388,1679772685572
1679772685482,1679772685625
1679772685630,1679772685654
1679772685208,1679772685656
1679772685664,1679772685720
1679772685766,1679772685796
1679772685770,1679772685807
1679772685710,1679772685807
1679772685748,1679772685840
1679772685889,1679772685940
1679772685980,1679772686020
1679772685841,1679772686060
1679772686022,1679772686124
1679772686082,1679772686149
1679772685915,1679772686154
1679772686139,1679772686170
1679772686052,1679772686207
1679772686102,1679772686210
1679772686207,1679772686236
1679772686215,1679772686249
1679772686160,1679772686255
1679772686203,1679772686269
1679772686213,1679772686269
1679772686176,1679772686317
1679772686398,1679772686506
1679772686442,1679772686533
1679772686516,1679772686560
1679772686549,1679772686565
1679772686396,1679772686568
1679772686577,1679772686603
1679772686510,1679772686609
1679772686602,1679772686663
1679772686505,1679772686678
1679772686475,1679772686693
1679772686649,1679772686694
1679772686749,1679772686763
1679772686598,1679772686819
1679772686382,1679772686842
1679772686508,1679772686844
1679772686799,1679772686852
1679772686839,1679772686856
1679772686696,1679772686966
1679772686887,1679772687152
1679772687151,1679772687166
1679772686913,1679772687167
1679772687132,1679772687242
1679772687042,1679772687242
1679772687224,1679772687245
1679772687206,1679772687251
1679772687065,1679772687257
1679772687222,1679772687271
1679772687262,1679772687272
1679772687104,1679772687290
1679772687054,1679772687296
1679772687063,1679772687314
1679772687265,1679772687326
1679772687353,1679772687373
1679772686801,1679772687393
1679772687469,1679772687551
1679772687602,1679772687626
1679772687666,1679772687689
1679772687164,1679772687725
1679772687550,1679772687732
1679772687709,1679772687743
1679772687782,1679772687793
1679772687545,1679772687810
1679772687839,1679772687858
1679772687965,1679772688002
1679772688021,1679772688067
1679772688015,1679772688082
1679772687745,1679772688094
1679772688062,1679772688124
1679772687887,1679772688135
1679772687924,1679772688138
1679772688126,1679772688156
1679772688084,1679772688170
1679772688062,1679772688180
1679772688134,1679772688216
1679772688245,1679772688257
1679772688231,1679772688281
1679772688144,1679772688295
1679772688137,1679772688327
1679772688217,1679772688339
1679772688173,1679772688352
1679772688228,1679772688412
1679772688399,1679772688437
1679772688463,1679772688535
1679772688271,1679772688545
1679772688295,1679772688549
1679772688441,1679772688572
1679772688544,1679772688572
1679772688486,1679772688576
1679772688577,1679772688596
1679772688593,1679772688614
1679772688584,1679772688663
1679772688681,1679772688772
1679772688678,1679772688772
1679772688577,1679772688806
1679772688708,1679772688822
1679772688704,1679772688842
1679772688758,1679772688920
1679772688978,1679772689003
1679772689005,1679772689024
1679772689035,1679772689063
1679772688990,1679772689100
1679772689043,1679772689118
1679772689073,1679772689148
1679772689194,1679772689208
1679772689066,1679772689224
1679772689170,1679772689228
1679772689145,1679772689253
1679772689205,1679772689315
1679772689269,1679772689343
1679772689293,1679772689344
1679772688999,1679772689380
1679772689358,1679772689386
1679772689145,1679772689397
1679772689342,1679772689441
1679772689352,1679772689456
1679772689441,1679772689464
1679772689470,1679772689492
1679772689373,1679772689499
1679772689443,1679772689574
1679772689539,1679772689590
1679772689596,1679772689633
1679772689470,1679772689656
1679772689640,1679772689683
1679772689656,1679772689715
1679772689714,1679772689728
1679772689664,1679772689729
1679772689718,1679772689782
1679772689652,1679772689799
1679772689732,1679772689830
1679772689732,1679772689849
1679772689785,1679772689856
1679772689814,1679772689909
1679772689857,1679772689920
1679772689664,1679772690011
1679772689857,1679772690015
1679772689986,1679772690038
1679772690041,1679772690104
1679772689906,1679772690150
1679772690117,1679772690153
1679772690139,1679772690191
1679772690179,1679772690212
1679772690156,1679772690243
1679772690274,1679772690290
1679772690353,1679772690442
1679772690446,1679772690465
1679772690184,1679772690468
1679772690328,1679772690489
1679772690376,1679772690520
1679772690539,1679772690551
1679772690538,1679772690564
1679772690129,1679772690580
1679772690434,1679772690616
1679772690582,1679772690704
1679772690663,1679772690708
1679772690582,1679772690716
1679772690181,1679772690761
1679772690765,1679772690788
1679772690699,1679772690793
1679772690688,1679772690794
1679772690881,1679772690900
1679772690816,1679772690901
1679772690842,1679772690919
1679772690731,1679772690929
1679772690795,1679772690941
1679772690863,1679772690943
1679772690679,1679772690948
1679772690984,1679772691008
1679772691004,1679772691055
1679772690970,1679772691069
1679772691029,1679772691093
1679772691045,1679772691122
1679772690923,1679772691126
1679772691014,1679772691148
1679772691142,1679772691182
1679772691154,1679772691189
1679772691148,1679772691195
1679772691084,1679772691200
1679772691182,1679772691231
