st,end
1679775687563,1679775694040
1679775687529,1679775694112
1679775687513,1679775694163
1679775687504,1679775694183
1679775687547,1679775694347
1679775687557,1679775694423
1679775687534,1679775694447
1679775687555,1679775694471
1679775690612,1679775694516
1679775687480,1679775694555
1679775687561,1679775694563
1679775687579,1679775694567
1679775687482,1679775694615
1679775687542,1679775694654
1679775687494,1679775694655
1679775687550,1679775694690
1679775687491,1679775694703
1679775687544,1679775694714
1679775687485,1679775694768
1679775687528,1679775694787
1679775687586,1679775694787
1679775687494,1679775694819
1679775687534,1679775694863
1679775687475,1679775694891
1679775687573,1679775694959
1679775687491,1679775694963
1679775687568,1679775695067
1679775687522,1679775695099
1679775691617,1679775695135
1679775687568,1679775695140
1679775687572,1679775695143
1679775687560,1679775695159
1679775687470,1679775695226
1679775688590,1679775695235
1679775687584,1679775695256
1679775687530,1679775695303
1679775687480,1679775695331
1679775687522,1679775695359
1679775694188,1679775695427
1679775687538,1679775695435
1679775692633,1679775695435
1679775694169,1679775695575
1679775694047,1679775695715
1679775694661,1679775695731
1679775694117,1679775695895
1679775694476,1679775695923
1679775694620,1679775695983
1679775694792,1679775696067
1679775694718,1679775696099
1679775694429,1679775696106
1679775694453,1679775696135
1679775694661,1679775696210
1679775694694,1679775696247
1679775694824,1679775696267
1679775694659,1679775696314
1679775694896,1679775696338
1679775694521,1679775696499
1679775694869,1679775696507
1679775694773,1679775696574
1679775694559,1679775696675
1679775695240,1679775696714
1679775694966,1679775696718
1679775695308,1679775696726
1679775695439,1679775696751
1679775695148,1679775696751
1679775695262,1679775696847
1679775694572,1679775696851
1679775694707,1679775696871
1679775694792,1679775696883
1679775694964,1679775697002
1679775695337,1679775697006
1679775695164,1679775697048
1679775695073,1679775697055
1679775695657,1679775697068
1679775694568,1679775697091
1679775695365,1679775697259
1679775695105,1679775697259
1679775695230,1679775697331
1679775695985,1679775697519
1679775694353,1679775697607
1679775695733,1679775697730
1679775695439,1679775697743
1679775695429,1679775697767
1679775696316,1679775697779
1679775695897,1679775697839
1679775696340,1679775697903
1679775696069,1679775697951
1679775695145,1679775697951
1679775695716,1679775697987
1679775696501,1679775698063
1679775696269,1679775698102
1679775696214,1679775698115
1679775696509,1679775698195
1679775696716,1679775698303
1679775696107,1679775698315
1679775696753,1679775698368
1679775696249,1679775698507
1679775695576,1679775698539
1679775696137,1679775698647
1679775696670,1679775698655
1679775695140,1679775698675
1679775696720,1679775698743
1679775696100,1679775698787
1679775697007,1679775698871
1679775697057,1679775698875
1679775696753,1679775698983
1679775697074,1679775699139
1679775696873,1679775699147
1679775696853,1679775699587
1679775697608,1679775699658
1679775697261,1679775699658
