st,end
1675909495563,1675909496390
1675909495631,1675909496390
1675909495558,1675909496390
1675909495534,1675909496390
1675909495527,1675909496390
1675909495542,1675909496390
1675909495562,1675909496390
1675909495528,1675909496390
1675909495569,1675909496390
1675909495529,1675909496390
1675909495527,1675909496390
1675909495533,1675909496390
1675909495560,1675909496390
1675909495560,1675909496390
1675909495632,1675909496390
1675909495568,1675909496390
1675909495561,1675909496390
1675909495564,1675909496390
1675909495619,1675909496390
1675909495530,1675909496390
1675909495533,1675909496390
1675909495615,1675909496391
1675909495623,1675909496391
1675909495626,1675909496391
1675909495530,1675909496391
1675909495528,1675909496391
1675909495558,1675909496391
1675909495566,1675909496391
1675909495625,1675909496391
1675909495570,1675909496391
1675909495529,1675909496391
1675909495565,1675909496391
1675909495533,1675909496391
1675909495612,1675909496391
1675909495545,1675909496391
1675909495538,1675909496391
1675909495628,1675909496391
1675909495543,1675909496391
1675909495556,1675909496391
1675909495616,1675909496391
1675909495568,1675909496391
1675909495534,1675909496391
1675909495614,1675909496391
1675909495537,1675909496391
1675909495531,1675909496391
1675909495535,1675909496391
1675909495627,1675909496391
1675909495536,1675909496391
1675909495628,1675909496391
1675909495630,1675909496391
1675909495531,1675909496391
1675909495532,1675909496391
1675909495621,1675909496391
1675909495557,1675909496391
1675909495536,1675909496391
1675909495562,1675909496392
1675909495564,1675909496392
1675909495539,1675909496392
1675909495559,1675909496392
1675909495620,1675909496392
1675909495567,1675909496394
1675909495565,1675909496394
1675909495622,1675909496394
1675909495527,1675909496394
1675909495540,1675909496394
1675909495617,1675909496395
1675909495537,1675909496395
1675909496392,1675909496398
1675909496388,1675909496401
1675909496374,1675909496401
1675909496392,1675909496421
1675909496385,1675909496426
1675909496383,1675909496427
1675909496391,1675909496438
1675909496434,1675909496444
1675909496430,1675909496444
1675909496432,1675909496445
1675909496428,1675909496446
1675909496431,1675909496452
1675909496437,1675909496455
1675909496436,1675909496455
1675909496391,1675909496458
1675909496434,1675909496459
1675909496433,1675909496460
1675909496427,1675909496465
1675909496432,1675909496468
1675909496425,1675909496471
1675909496380,1675909496473
1675909496385,1675909496478
1675909496437,1675909496481
1675909496386,1675909496487
1675909496392,1675909496492
1675909496392,1675909496502
1675909496428,1675909496503
1675909496437,1675909496512
1675909496433,1675909496516
1675909496429,1675909496533
1675909496431,1675909496559
1675909496431,1675909496576
1675909496430,1675909496588
1675909504611,1675909504626
1675909504611,1675909504633
1675909504612,1675909504635
1675909504613,1675909504636
1675909504628,1675909504636
1675909504628,1675909504638
1675909504613,1675909504653
1675909504619,1675909504653
1675909504639,1675909504654
1675909504628,1675909504663
1675909504648,1675909504665
1675909504612,1675909504665
1675909504648,1675909504667
1675909504656,1675909504668
1675909504660,1675909504673
1675909504627,1675909504680
1675909504639,1675909504686
1675909504675,1675909504688
1675909504641,1675909504688
1675909504660,1675909504691
1675909504676,1675909504700
1675909504677,1675909504703
1675909504663,1675909504703
1675909504641,1675909504709
1675909504629,1675909504711
1675909504639,1675909504711
1675909504664,1675909504714
1675909504632,1675909504715
1675909504627,1675909504715
1675909504705,1675909504715
1675909504664,1675909504717
1675909504639,1675909504718
1675909504640,1675909504719
1675909504661,1675909504720
1675909504676,1675909504723
1675909504642,1675909504724
1675909504713,1675909504725
1675909504613,1675909504725
1675909504712,1675909504730
1675909504717,1675909504732
1675909504675,1675909504732
1675909504710,1675909504734
1675909504726,1675909504741
1675909504729,1675909504741
1675909504661,1675909504743
1675909504710,1675909504743
1675909504639,1675909504749
1675909504733,1675909504751
1675909504713,1675909504755
1675909504710,1675909504756
1675909504717,1675909504759
1675909504676,1675909504765
1675909504712,1675909504766
1675909504749,1675909504767
1675909504735,1675909504768
1675909504745,1675909504782
1675909504754,1675909504783
1675909504670,1675909504784
1675909504666,1675909504784
1675909504776,1675909504786
1675909504728,1675909504792
1675909504781,1675909504795
1675909504733,1675909504804
1675909504660,1675909504815
1675909504763,1675909504819
1675909504801,1675909504825
1675909504801,1675909504829
1675909504730,1675909504832
1675909504713,1675909504840
1675909504804,1675909504858
1675909504612,1675909504860
1675909504795,1675909504865
1675909504710,1675909504877
1675909504840,1675909504901
1675909504728,1675909504911
1675909504653,1675909504955
1675909504710,1675909504955
1675909504947,1675909504983
1675909505000,1675909505010
1675909504986,1675909505024
1675909505015,1675909505026
1675909504960,1675909505053
1675909505009,1675909505060
1675909505000,1675909505060
1675909505034,1675909505062
1675909505034,1675909505078
1675909505064,1675909505079
1675909505034,1675909505080
1675909505088,1675909505108
1675909505077,1675909505116
1675909504936,1675909505145
1675909505076,1675909505153
1675909505160,1675909505180
1675909505116,1675909505183
1675909505140,1675909505189
1675909505081,1675909505213
1675909505215,1675909505222
1675909505201,1675909505231
1675909505194,1675909505234
1675909505208,1675909505279
1675909505302,1675909505334
1675909505296,1675909505382
1675909505294,1675909505383
1675909505365,1675909505401
1675909505426,1675909505449
1675909505473,1675909505481
1675909505490,1675909505498
1675909505426,1675909505498
1675909505461,1675909505505
1675909505442,1675909505505
1675909505471,1675909505510
1675909505504,1675909505516
1675909505357,1675909505524
1675909505538,1675909505550
1675909505551,1675909505560
1675909505530,1675909505601
1675909505532,1675909505611
1675909505537,1675909505621
1675909505574,1675909505632
1675909505588,1675909505645
1675909505645,1675909505675
1675909505682,1675909505695
1675909505698,1675909505711
1675909505694,1675909505712
1675909505567,1675909505735
1675909505714,1675909505739
1675909505670,1675909505740
1675909505521,1675909505745
1675909505691,1675909505748
1675909505721,1675909505755
1675909505757,1675909505766
1675909505750,1675909505771
1675909505645,1675909505776
1675909505770,1675909505786
1675909505701,1675909505788
1675909505670,1675909505799
1675909505770,1675909505805
1675909505738,1675909505811
1675909505757,1675909505819
1675909505809,1675909505823
1675909505805,1675909505829
1675909505721,1675909505830
1675909505782,1675909505843
1675909505838,1675909505853
1675909505794,1675909505866
1675909505840,1675909505869
1675909505841,1675909505873
1675909505853,1675909505919
1675909505907,1675909505926
1675909505800,1675909505931
1675909505927,1675909505936
1675909505827,1675909505945
1675909505888,1675909505948
1675909505897,1675909505952
1675909505939,1675909505964
1675909505989,1675909506002
1675909505897,1675909506003
1675909505979,1675909506003
1675909505989,1675909506008
1675909506001,1675909506021
1675909505942,1675909506029
1675909505983,1675909506048
1675909505927,1675909506051
1675909505704,1675909506053
1675909505989,1675909506054
1675909505938,1675909506061
1675909506053,1675909506074
1675909506009,1675909506074
1675909506066,1675909506077
1675909506040,1675909506077
1675909506029,1675909506082
1675909506066,1675909506094
1675909505989,1675909506100
1675909506077,1675909506102
1675909505951,1675909506107
