st,end
1675899467952,1675899469548
1675899467862,1675899469548
1675899468040,1675899469548
1675899467811,1675899469548
1675899468056,1675899469548
1675899467875,1675899469548
1675899467893,1675899469548
1675899467894,1675899469548
1675899467941,1675899469548
1675899467852,1675899469548
1675899467985,1675899469548
1675899467809,1675899469548
1675899467970,1675899469548
1675899467854,1675899469548
1675899467955,1675899469548
1675899467772,1675899469548
1675899467957,1675899469548
1675899468013,1675899469548
1675899467862,1675899469548
1675899467863,1675899469548
1675899467981,1675899469548
1675899467797,1675899469548
1675899467940,1675899469548
1675899468057,1675899469548
1675899468058,1675899469548
1675899467995,1675899469548
1675899467785,1675899469548
1675899468057,1675899469548
1675899467849,1675899469548
1675899467803,1675899469548
1675899467820,1675899469548
1675899467878,1675899469548
1675899467988,1675899469548
1675899467951,1675899469548
1675899467964,1675899469548
1675899467960,1675899469548
1675899467953,1675899469548
1675899467829,1675899469549
1675899467984,1675899469549
1675899468003,1675899469549
1675899467825,1675899469549
1675899467800,1675899469551
1675899467954,1675899469551
1675899467977,1675899469551
1675899468026,1675899469551
1675899468039,1675899469551
1675899467997,1675899469551
1675899467895,1675899469551
1675899468038,1675899469551
1675899468019,1675899469552
1675899467853,1675899469552
1675899468018,1675899469552
1675899467863,1675899469552
1675899468006,1675899469552
1675899467785,1675899469552
1675899467766,1675899469552
1675899467950,1675899469552
1675899467808,1675899469552
1675899468048,1675899469552
1675899467892,1675899469552
1675899467985,1675899469553
1675899467764,1675899469555
1675899467938,1675899469555
1675899467781,1675899469555
1675899468039,1675899469555
1675899467813,1675899469555
1675899467798,1675899469555
1675899467879,1675899469555
1675899467781,1675899469556
1675899468025,1675899469556
1675899467763,1675899469556
1675899467848,1675899469556
1675899467956,1675899469557
1675899467780,1675899469558
1675899467851,1675899469558
1675899467964,1675899469558
1675899467793,1675899469558
1675899467974,1675899469559
1675899467847,1675899469559
1675899467852,1675899469559
1675899467961,1675899469559
1675899467765,1675899469559
1675899467956,1675899469559
1675899468014,1675899469559
1675899467783,1675899469559
1675899468004,1675899469559
1675899467958,1675899469559
1675899467962,1675899469561
1675899467780,1675899469562
1675899467766,1675899469566
1675899468024,1675899469590
1675899467936,1675899469592
1675899467959,1675899469607
1675899467938,1675899469609
1675899467831,1675899469618
1675899467871,1675899469626
1675899467892,1675899469636
1675899467764,1675899469719
1675899467963,1675899469728
1675899467765,1675899470260
1675899476736,1675899476774
1675899476712,1675899476778
1675899476713,1675899476782
1675899476719,1675899476784
1675899476733,1675899476792
1675899476732,1675899476792
1675899476718,1675899476808
1675899476741,1675899476809
1675899476732,1675899476813
1675899476731,1675899476828
1675899476717,1675899476832
1675899476753,1675899476832
1675899476729,1675899476833
1675899476731,1675899476840
1675899476713,1675899476851
1675899476782,1675899476851
1675899476740,1675899476851
1675899476718,1675899476851
1675899476723,1675899476853
1675899476774,1675899476856
1675899476753,1675899476858
1675899476734,1675899476874
1675899476841,1675899476884
1675899476763,1675899476885
1675899476729,1675899476890
1675899476854,1675899476891
1675899476718,1675899476899
1675899476758,1675899476903
1675899476714,1675899476908
1675899476753,1675899476908
1675899476743,1675899476909
1675899476856,1675899476911
1675899476869,1675899476913
1675899476749,1675899476919
1675899476842,1675899476920
1675899476869,1675899476920
1675899476786,1675899476923
1675899476711,1675899476930
1675899476846,1675899476937
1675899476762,1675899476940
1675899476791,1675899476945
1675899476869,1675899476947
1675899476846,1675899476956
1675899476741,1675899476963
1675899476842,1675899476972
1675899476842,1675899476972
1675899476843,1675899476973
1675899476841,1675899476983
1675899476840,1675899476985
1675899476740,1675899476994
1675899476732,1675899477000
1675899476699,1675899477001
1675899476774,1675899477009
1675899476712,1675899477014
1675899476843,1675899477022
1675899476842,1675899477024
1675899476843,1675899477037
1675899476773,1675899477037
1675899476721,1675899477044
1675899476869,1675899477048
