st,end
1679249688085,1679249694003
1679249687920,1679249694075
1679249687908,1679249694294
1679249687939,1679249694303
1679249688012,1679249694307
1679249688059,1679249694362
1679249687915,1679249694419
1679249688030,1679249694431
1679249688082,1679249694519
1679249687942,1679249694548
1679249687969,1679249694551
1679249687929,1679249694619
1679249689113,1679249694639
1679249688089,1679249694683
1679249688078,1679249694699
1679249688039,1679249694752
1679249687994,1679249694795
1679249688059,1679249694927
1679249691132,1679249694935
1679249688072,1679249694940
1679249687872,1679249694976
1679249688075,1679249695019
1679249692139,1679249695035
1679249688037,1679249695087
1679249687949,1679249695099
1679249688027,1679249695135
1679249688098,1679249695160
1679249687933,1679249695179
1679249687982,1679249695203
1679249688065,1679249695218
1679249688043,1679249695246
1679249688033,1679249695282
1679249687921,1679249695287
1679249688058,1679249695315
1679249693158,1679249695423
1679249688003,1679249695483
1679249687998,1679249695483
1679249688013,1679249695567
1679249688006,1679249695623
1679249694007,1679249695682
1679249688019,1679249695742
1679249694308,1679249695923
1679249694556,1679249696083
1679249694312,1679249696246
1679249694081,1679249696251
1679249695174,1679249696294
1679249694298,1679249696383
1679249694799,1679249696479
1679249694436,1679249696526
1679249694553,1679249696663
1679249694424,1679249696691
1679249695104,1679249696770
1679249694524,1679249696791
1679249694704,1679249696799
1679249694931,1679249696831
1679249695140,1679249697063
1679249695165,1679249697087
1679249695683,1679249697186
1679249694688,1679249697351
1679249694756,1679249697378
1679249694366,1679249697479
1679249694643,1679249697631
1679249695222,1679249697647
1679249695249,1679249697711
1679249695024,1679249697771
1679249695488,1679249697807
1679249694944,1679249697835
1679249694940,1679249697855
1679249695184,1679249697862
1679249695428,1679249697955
1679249695092,1679249697963
1679249696528,1679249698247
1679249695291,1679249698295
1679249696085,1679249698403
1679249696693,1679249698463
1679249696833,1679249698807
1679249696664,1679249698906
1679249696188,1679249698967
1679249696253,1679249699007
1679249694623,1679249699071
1679249697197,1679249699087
1679249695572,1679249699099
1679249695924,1679249699158
1679249697187,1679249699274
1679249696248,1679249699351
1679249697089,1679249699367
1679249695207,1679249699369
1679249696481,1679249699475
1679249697773,1679249699507
1679249694980,1679249699539
1679249697065,1679249699543
1679249696793,1679249699599
1679249695629,1679249699650
1679249696385,1679249699652
1679249696772,1679249699674
1679249697481,1679249699759
1679249695321,1679249699783
1679249697837,1679249699907
1679249695745,1679249699935
1679249695040,1679249699975
1679249697808,1679249699987
1679249697965,1679249700107
1679249698297,1679249700131
1679249697633,1679249700131
1679249698908,1679249700163
1679249697379,1679249700183
1679249697353,1679249700219
1679249698405,1679249700247
1679249698249,1679249700327
1679249696297,1679249700358
1679249698465,1679249700423
1679249695489,1679249700427
1679249699009,1679249700595
1679249697649,1679249700596
1679249697864,1679249700712
1679249699160,1679249700739
1679249695286,1679249700767
1679249696801,1679249700796
1679249699541,1679249701139
1679249699275,1679249701278
1679249698809,1679249701324
1679249699761,1679249701363
1679249699477,1679249701391
1679249697857,1679249701499
1679249698972,1679249701507
1679249699092,1679249701535
1679249699937,1679249701543
1679249699210,1679249701544
1679249699101,1679249701592
1679249697713,1679249701663
1679249699988,1679249701703
1679249700597,1679249701815
1679249699371,1679249701895
1679249699654,1679249701915
1679249699353,1679249701973
1679249699369,1679249701995
1679249697957,1679249702001
1679249700248,1679249702070
1679249700221,1679249702083
1679249699785,1679249702135
1679249700133,1679249702155
1679249700109,1679249702159
1679249700231,1679249702303
1679249699601,1679249702322
1679249699909,1679249702327
1679249699977,1679249702403
1679249699676,1679249702459
1679249699509,1679249702470
1679249699651,1679249702527
1679249700164,1679249702539
1679249700133,1679249702582
1679249701247,1679249702659
1679249700597,1679249702686
1679249700769,1679249702706
1679249700429,1679249702763
1679249701545,1679249702863
1679249701325,1679249702891
1679249701141,1679249702891
1679249701279,1679249702915
1679249699073,1679249702931
1679249700798,1679249703135
1679249700360,1679249703163
1679249700185,1679249703251
1679249701997,1679249703323
1679249701817,1679249703335
1679249702084,1679249703355
1679249701594,1679249703419
1679249701665,1679249703455
1679249702472,1679249703462
1679249700425,1679249703484
1679249701974,1679249703514
1679249701364,1679249703532
1679249699545,1679249703540
1679249701705,1679249703550
1679249701501,1679249703555
1679249700741,1679249703579
1679249701509,1679249703647
1679249700329,1679249703647
1679249702405,1679249703707
1679249700714,1679249703731
1679249701393,1679249703759
1679249702584,1679249703891
1679249701536,1679249703923
1679249702002,1679249703927
1679249702687,1679249704007
1679249702865,1679249704055
1679249702460,1679249704198
1679249702329,1679249704207
1679249702893,1679249704231
1679249702541,1679249704235
1679249702161,1679249704266
1679249701549,1679249704267
1679249702137,1679249704315
1679249701897,1679249704347
1679249702529,1679249704391
1679249703137,1679249704463
1679249702933,1679249704747
1679249702072,1679249704948
1679249703262,1679249704975
1679249703253,1679249704991
1679249703421,1679249705019
1679249702917,1679249705079
1679249701917,1679249705083
1679249703337,1679249705151
1679249703733,1679249705155
1679249704200,1679249705347
1679249702156,1679249705396
1679249702707,1679249705427
1679249703649,1679249705447
1679249703463,1679249705471
1679249703541,1679249705559
1679249703325,1679249705619
1679249703457,1679249705623
1679249702308,1679249705879
1679249704237,1679249705883
1679249704233,1679249705931
1679249703556,1679249706035
1679249704009,1679249706200
1679249704749,1679249706210
1679249703486,1679249706255
1679249702664,1679249706303
1679249703649,1679249706439
1679249704209,1679249706455
1679249703551,1679249706487
1679249703709,1679249706615
1679249704317,1679249706655
1679249703581,1679249706667
1679249703925,1679249706882
1679249703534,1679249707146
1679249703516,1679249707187
1679249702765,1679249707218
1679249703893,1679249707259
1679249702893,1679249707319
1679249704393,1679249707475
1679249704349,1679249707503
1679249703165,1679249707547
1679249706037,1679249707587
1679249704270,1679249707599
1679249702323,1679249707683
1679249704980,1679249707695
1679249706457,1679249707711
1679249704057,1679249707743
1679249705473,1679249708031
1679249705561,1679249708150
1679249705624,1679249708252
1679249705885,1679249708259
1679249703761,1679249708267
1679249704267,1679249708327
1679249703929,1679249708423
1679249705153,1679249708459
1679249706668,1679249708535
1679249707220,1679249708563
1679249705449,1679249708574
1679249706617,1679249708619
1679249705398,1679249708707
1679249706441,1679249708755
1679249705021,1679249708767
1679249705084,1679249708767
1679249705157,1679249708771
1679249707295,1679249708787
1679249707188,1679249708875
1679249705081,1679249708879
1679249703357,1679249708911
1679249705349,1679249708951
1679249704269,1679249708987
1679249706201,1679249709063
1679249707147,1679249709083
1679249704993,1679249709127
1679249706305,1679249709136
1679249705933,1679249709139
1679249704465,1679249709143
1679249705621,1679249709255
1679249708151,1679249709255
1679249706257,1679249709412
1679249706657,1679249709431
1679249707321,1679249709503
1679249705881,1679249709555
1679249706884,1679249709599
1679249707477,1679249709698
1679249707605,1679249709768
1679249707589,1679249709923
1679249708425,1679249709947
1679249707549,1679249709955
1679249708537,1679249710039
1679249708254,1679249710055
1679249707685,1679249710135
1679249707261,1679249710151
1679249706288,1679249710151
1679249708769,1679249710231
1679249708033,1679249710235
1679249708460,1679249710243
1679249707505,1679249710331
1679249704950,1679249710403
1679249705429,1679249710511
1679249706211,1679249710523
1679249708709,1679249710535
1679249708769,1679249710546
1679249707713,1679249710619
1679249707745,1679249710739
1679249708881,1679249710783
1679249708576,1679249710815
1679249709141,1679249710843
1679249709601,1679249710895
1679249708877,1679249710907
1679249708913,1679249710939
1679249708621,1679249710963
1679249708268,1679249711011
1679249708989,1679249711095
1679249709145,1679249711121
1679249709257,1679249711167
1679249706489,1679249711190
1679249708261,1679249711199
1679249707697,1679249711235
1679249709085,1679249711327
1679249709414,1679249711359
1679249709064,1679249711415
1679249709256,1679249711466
1679249709770,1679249711531
1679249708792,1679249711562
1679249709505,1679249711611
1679249708953,1679249711651
1679249710057,1679249711719
1679249709138,1679249711783
1679249709129,1679249711863
1679249708329,1679249711887
1679249708757,1679249711907
1679249709949,1679249711911
1679249709432,1679249711959
1679249710537,1679249711967
1679249708564,1679249711975
1679249710137,1679249711994
1679249709925,1679249711995
1679249710153,1679249712043
1679249710041,1679249712143
1679249709316,1679249712186
1679249709699,1679249712343
1679249710620,1679249712355
1679249708773,1679249712399
1679249709557,1679249712407
1679249710320,1679249712509
1679249710513,1679249712603
1679249710965,1679249712691
1679249709957,1679249712695
1679249710548,1679249712719
1679249711169,1679249712739
1679249710405,1679249712750
1679249710785,1679249712811
1679249710816,1679249712893
1679249710941,1679249712939
1679249711192,1679249712943
1679249710741,1679249712999
1679249710525,1679249713134
1679249711237,1679249713143
1679249710232,1679249713159
1679249711889,1679249713175
1679249711361,1679249713235
1679249711653,1679249713237
1679249711976,1679249713290
1679249710333,1679249713343
1679249710155,1679249713371
1679249711097,1679249713419
1679249711909,1679249713419
1679249711013,1679249713455
1679249710245,1679249713467
1679249711996,1679249713628
1679249711613,1679249713635
1679249710845,1679249713707
1679249711721,1679249713715
1679249710909,1679249713895
1679249712409,1679249713969
1679249712721,1679249714003
1679249711533,1679249714024
1679249711785,1679249714031
1679249712357,1679249714039
1679249710897,1679249714267
1679249711201,1679249714471
1679249711913,1679249714611
1679249711969,1679249714611
1679249712752,1679249714623
1679249712189,1679249714819
1679249712605,1679249714859
1679249712145,1679249714869
1679249710237,1679249714959
1679249712345,1679249715003
1679249712400,1679249715144
1679249711122,1679249715191
1679249712895,1679249715339
1679249713457,1679249715359
1679249711961,1679249715411
1679249711328,1679249715415
1679249712697,1679249715435
1679249713238,1679249715440
1679249711467,1679249715466
1679249712693,1679249715518
1679249712341,1679249715548
1679249713237,1679249715775
1679249713145,1679249715891
1679249713637,1679249715911
1679249713421,1679249715935
1679249712514,1679249715947
1679249713177,1679249715975
1679249711865,1679249716011
1679249712813,1679249716034
1679249711564,1679249716107
1679249713421,1679249716132
1679249713135,1679249716171
1679249713161,1679249716239
1679249714362,1679249716255
1679249713469,1679249716279
1679249713629,1679249716299
1679249711996,1679249716307
1679249711417,1679249716399
1679249714032,1679249716411
1679249712945,1679249716422
1679249713001,1679249716439
1679249713897,1679249716463
1679249713717,1679249716482
1679249712940,1679249716500
1679249712741,1679249716523
1679249713291,1679249716575
1679249713970,1679249716595
1679249713373,1679249716759
1679249714870,1679249716795
1679249714026,1679249716895
1679249715437,1679249716913
1679249714613,1679249716927
1679249714821,1679249716947
1679249712044,1679249717007
1679249714269,1679249717111
1679249715442,1679249717323
1679249715468,1679249717347
1679249714473,1679249717435
1679249715193,1679249717482
1679249713709,1679249717555
1679249715977,1679249717572
1679249716241,1679249717707
1679249715146,1679249717711
1679249715341,1679249717811
1679249715361,1679249717850
1679249714861,1679249717883
1679249715005,1679249717922
1679249715413,1679249718019
1679249714613,1679249718251
1679249715520,1679249718311
1679249716109,1679249718339
1679249715937,1679249718359
1679249716761,1679249718679
1679249716013,1679249718694
1679249715553,1679249718755
1679249716413,1679249718827
1679249716929,1679249718831
1679249715949,1679249718931
1679249716797,1679249718943
1679249714961,1679249719015
1679249716441,1679249719023
1679249714041,1679249719079
1679249714624,1679249719083
1679249716465,1679249719115
1679249714005,1679249719131
1679249716401,1679249719139
1679249717113,1679249719155
1679249716134,1679249719247
1679249717325,1679249719310
1679249717349,1679249719415
1679249716525,1679249719440
1679249717009,1679249719455
1679249716423,1679249719563
1679249716309,1679249719631
1679249716036,1679249719811
1679249716502,1679249719883
1679249716915,1679249719903
1679249717437,1679249719919
1679249716260,1679249719924
1679249715913,1679249720051
1679249715417,1679249720055
1679249716173,1679249720139
1679249716577,1679249720147
1679249717574,1679249720175
1679249717885,1679249720199
1679249716484,1679249720211
1679249717557,1679249720375
1679249717709,1679249720395
1679249718361,1679249720491
1679249718341,1679249720559
1679249716281,1679249720567
1679249716379,1679249720647
1679249718394,1679249720667
1679249715893,1679249720791
1679249717484,1679249720839
1679249717813,1679249720907
1679249716597,1679249720919
1679249716301,1679249720927
1679249718757,1679249721018
1679249717923,1679249721035
1679249717713,1679249721215
1679249718829,1679249721379
1679249719311,1679249721395
1679249719081,1679249721432
1679249719085,1679249721571
1679249719565,1679249721591
1679249719157,1679249721624
1679249717851,1679249721835
1679249718695,1679249721839
1679249719417,1679249721848
1679249719025,1679249721850
1679249719116,1679249721862
1679249719249,1679249721891
1679249718833,1679249721903
1679249718933,1679249722031
1679249719133,1679249722091
1679249720149,1679249722207
1679249719905,1679249722227
1679249719141,1679249722323
1679249720493,1679249722347
1679249718021,1679249722402
1679249720672,1679249722515
1679249719457,1679249722611
1679249718945,1679249722658
1679249718253,1679249722743
1679249713345,1679249722755
1679249719926,1679249722791
1679249720412,1679249722887
1679249716896,1679249722902
1679249720909,1679249722927
