st,end
1676711687796,1676711688981
1676711687870,1676711688981
1676711687868,1676711689013
1676711687815,1676711689021
1676711687816,1676711689056
1676711687778,1676711689118
1676711687871,1676711689139
1676711687844,1676711689180
1676711687738,1676711689185
1676711687820,1676711689273
1676711687829,1676711689334
1676711687848,1676711689343
1676711687828,1676711689356
1676711687754,1676711689384
1676711687751,1676711689391
1676711687876,1676711689418
1676711687774,1676711689436
1676711687880,1676711689485
1676711687809,1676711689491
1676711687770,1676711689498
1676711687771,1676711689531
1676711687850,1676711689563
1676711687839,1676711689587
1676711687812,1676711689649
1676711688913,1676711689653
1676711687895,1676711689656
1676711687827,1676711689676
1676711687835,1676711689699
1676711687872,1676711689715
1676711687878,1676711689730
1676711687891,1676711689747
1676711687879,1676711689754
1676711687794,1676711689788
1676711687890,1676711689789
1676711687765,1676711689914
1676711687842,1676711690004
1676711687853,1676711690218
1676711690920,1676711691230
1676711691930,1676711692157
1676711692944,1676711693015
1676711693916,1676711693981
1676711694198,1676711694321
1676711694305,1676711694416
1676711694514,1676711694610
1676711694781,1676711694817
1676711694766,1676711694870
1676711694575,1676711694899
1676711694784,1676711694955
1676711694856,1676711694985
1676711694925,1676711695079
1676711694971,1676711695121
1676711695117,1676711695170
1676711695079,1676711695186
1676711694962,1676711695204
1676711695198,1676711695258
1676711695243,1676711695445
1676711695198,1676711695447
1676711695294,1676711695537
1676711695442,1676711695538
1676711695412,1676711695551
1676711695548,1676711695640
1676711695345,1676711695678
1676711695590,1676711695754
1676711695538,1676711695778
1676711695598,1676711695827
1676711695758,1676711695841
1676711695556,1676711695850
1676711695372,1676711695866
1676711695476,1676711695881
1676711695664,1676711695886
1676711695589,1676711695912
1676711695421,1676711695913
1676711695790,1676711695915
1676711695744,1676711695951
1676711695806,1676711695957
1676711695931,1676711696009
1676711695894,1676711696172
1676711696131,1676711696176
1676711695967,1676711696246
1676711696198,1676711696281
1676711696128,1676711696332
1676711696155,1676711696406
1676711696083,1676711696488
1676711696484,1676711696540
1676711696364,1676711696588
1676711696355,1676711696667
1676711696566,1676711696709
1676711696644,1676711696709
1676711696426,1676711696739
1676711696633,1676711696844
1676711696779,1676711696919
1676711696708,1676711696937
1676711696865,1676711696944
1676711696804,1676711696974
1676711696866,1676711697055
1676711696979,1676711697114
1676711697106,1676711697271
1676711697081,1676711697305
1676711697358,1676711697407
1676711697237,1676711697425
1676711697217,1676711697448
1676711697445,1676711697525
1676711697422,1676711697532
1676711697334,1676711697654
1676711697634,1676711697809
1676711697429,1676711697823
1676711697717,1676711697875
1676711697806,1676711697943
1676711697837,1676711697962
1676711697860,1676711697967
1676711697713,1676711697990
1676711697865,1676711698016
1676711697560,1676711698024
1676711698000,1676711698172
1676711698028,1676711698217
1676711698072,1676711698251
1676711697976,1676711698294
1676711698208,1676711698360
1676711698029,1676711698385
1676711698191,1676711698419
1676711697685,1676711698452
1676711698097,1676711698453
1676711697615,1676711698486
1676711698327,1676711698501
1676711698388,1676711698652
1676711698603,1676711698783
1676711698822,1676711698862
1676711698841,1676711699011
1676711698806,1676711699060
1676711698759,1676711699093
1676711698995,1676711699099
1676711699000,1676711699161
1676711699134,1676711699221
1676711699179,1676711699282
1676711699116,1676711699293
1676711699216,1676711699346
1676711699253,1676711699358
1676711699102,1676711699382
1676711699379,1676711699468
1676711699435,1676711699544
1676711699543,1676711699655
1676711699401,1676711699659
1676711699479,1676711699677
1676711699502,1676711699713
1676711699635,1676711699783
1676711699621,1676711699808
1676711699552,1676711699904
1676711699809,1676711699936
1676711699642,1676711699946
1676711700100,1676711700124
1676711700104,1676711700134
1676711699911,1676711700146
1676711700070,1676711700157
1676711699783,1676711700213
1676711700007,1676711700220
1676711700104,1676711700279
1676711700069,1676711700311
1676711700193,1676711700369
1676711700159,1676711700408
1676711700170,1676711700432
1676711700318,1676711700498
1676711700258,1676711700544
1676711700465,1676711700565
1676711700503,1676711700588
1676711700271,1676711700607
1676711700673,1676711700808
1676711700701,1676711700820
1676711700652,1676711700842
1676711700731,1676711700858
1676711700822,1676711700860
1676711700651,1676711701016
1676711700994,1676711701027
1676711700917,1676711701154
1676711701029,1676711701266
1676711701286,1676711701359
1676711701177,1676711701432
1676711701309,1676711701439
1676711701230,1676711701501
1676711701346,1676711701504
1676711701159,1676711701536
1676711701410,1676711701589
1676711701420,1676711701616
1676711701449,1676711701637
1676711701542,1676711701663
1676711701617,1676711701703
1676711701554,1676711701717
1676711701311,1676711701744
1676711701481,1676711701798
1676711701631,1676711701810
1676711701486,1676711701832
1676711701594,1676711701845
1676711701523,1676711701863
1676711701690,1676711701897
1676711701742,1676711701911
1676711701481,1676711701927
1676711701644,1676711701946
1676711701899,1676711702017
1676711701962,1676711702030
1676711702050,1676711702081
1676711701998,1676711702280
1676711702217,1676711702372
1676711702261,1676711702372
1676711702295,1676711702399
1676711702356,1676711702440
1676711702438,1676711702596
