st,end
1679192854455,1679192860888
1679192854563,1679192860899
1679192854439,1679192860995
1679192854630,1679192861051
1679192854484,1679192861116
1679192854558,1679192861315
1679192854610,1679192861319
1679192854579,1679192861359
1679192854604,1679192861395
1679192854516,1679192861463
1679192854583,1679192861588
1679192854641,1679192861607
1679192854627,1679192861775
1679192854675,1679192861793
1679192854560,1679192862043
1679192854586,1679192862083
1679192854469,1679192862147
1679192854572,1679192862174
1679192854663,1679192862239
1679192854557,1679192862279
1679192854443,1679192862335
1679192854448,1679192862388
1679192854605,1679192862403
1679192854454,1679192862432
1679192854475,1679192862475
1679192854668,1679192862487
1679192860893,1679192862607
1679192854462,1679192862647
1679192854649,1679192862663
1679192854545,1679192862770
1679192861324,1679192862903
1679192860904,1679192862926
1679192854618,1679192862939
1679192854645,1679192862971
1679192854620,1679192862979
1679192854430,1679192863003
1679192861121,1679192863043
1679192854500,1679192863067
1679192854601,1679192863091
1679192854580,1679192863139
1679192854398,1679192863191
1679192854657,1679192863227
1679192854529,1679192863239
1679192861001,1679192863278
1679192854530,1679192863314
1679192854491,1679192863347
1679192854473,1679192863359
1679192861468,1679192863412
1679192861364,1679192863447
1679192854444,1679192863551
1679192854550,1679192863559
1679192861320,1679192863595
1679192854493,1679192863643
1679192854631,1679192863663
1679192854609,1679192863703
1679192854593,1679192863790
1679192861400,1679192863799
1679192862152,1679192863831
1679192861781,1679192863851
1679192854664,1679192863907
1679192854639,1679192863935
1679192862437,1679192863951
1679192862669,1679192864323
1679192862393,1679192864323
1679192862048,1679192864347
1679192862177,1679192864379
1679192862773,1679192864430
1679192862944,1679192864503
1679192861057,1679192864525
1679192862408,1679192864535
1679192854568,1679192864567
1679192861593,1679192864595
1679192861612,1679192864615
1679192862491,1679192864719
1679192862243,1679192864767
1679192862087,1679192864819
1679192862480,1679192864835
1679192863096,1679192864859
1679192862284,1679192864883
1679192862976,1679192864903
1679192862652,1679192864911
1679192862340,1679192864944
1679192863072,1679192865095
1679192863144,1679192865158
1679192862984,1679192865174
1679192861798,1679192865192
1679192862609,1679192865203
1679192863009,1679192865203
1679192863317,1679192865242
1679192863562,1679192865347
1679192863668,1679192865383
1679192863244,1679192865391
1679192863363,1679192865487
1679192862905,1679192865551
1679192863195,1679192865567
1679192863647,1679192865567
1679192863353,1679192865642
1679192862928,1679192865823
1679192863833,1679192865907
1679192863597,1679192865909
1679192863707,1679192865915
1679192863853,1679192865991
1679192863232,1679192866018
1679192863556,1679192866063
1679192863800,1679192866166
1679192863940,1679192866174
1679192863793,1679192866183
1679192863045,1679192866242
1679192863279,1679192866248
1679192863413,1679192866339
1679192864325,1679192866343
1679192864325,1679192866359
1679192863912,1679192866363
1679192864349,1679192866563
1679192863449,1679192866719
1679192864505,1679192866763
1679192864537,1679192866971
1679192864617,1679192867009
1679192864598,1679192867035
1679192865193,1679192867050
1679192863953,1679192867167
1679192864573,1679192867303
1679192864432,1679192867387
1679192865553,1679192867611
1679192864769,1679192867651
1679192865204,1679192867674
1679192864721,1679192867707
1679192864837,1679192867735
1679192866250,1679192867838
1679192865993,1679192867875
1679192864905,1679192868014
1679192864885,1679192868119
1679192866167,1679192868134
1679192865384,1679192868215
1679192866341,1679192868250
1679192864945,1679192868279
1679192864861,1679192868341
1679192866765,1679192868475
1679192865159,1679192868651
1679192866721,1679192868683
1679192864821,1679192868772
1679192866365,1679192868847
1679192865917,1679192869033
1679192866175,1679192869206
1679192867709,1679192869327
1679192866244,1679192869451
1679192865569,1679192869499
1679192865392,1679192869513
1679192867052,1679192869543
1679192866361,1679192869555
1679192865644,1679192869607
1679192866345,1679192869643
1679192865243,1679192869783
1679192866065,1679192869970
1679192866019,1679192870011
1679192867305,1679192870071
1679192867840,1679192870135
1679192865176,1679192870287
1679192866185,1679192870383
1679192865348,1679192870405
1679192864913,1679192870425
1679192867010,1679192870459
1679192867037,1679192870463
1679192865489,1679192870479
1679192865569,1679192870565
1679192867388,1679192870619
1679192868217,1679192870632
1679192864527,1679192870643
1679192867737,1679192870679
1679192865205,1679192870691
1679192865825,1679192870747
1679192865096,1679192870773
1679192868015,1679192870823
1679192868136,1679192870825
1679192867877,1679192870855
1679192867169,1679192870975
1679192865910,1679192870991
1679192866973,1679192871030
1679192869545,1679192871163
1679192864380,1679192871235
1679192869207,1679192871263
1679192869034,1679192871315
1679192869556,1679192871315
1679192868477,1679192871327
1679192865909,1679192871387
1679192868653,1679192871403
1679192868685,1679192871491
1679192868774,1679192871547
1679192869514,1679192871611
1679192869645,1679192871615
1679192868281,1679192871617
1679192869785,1679192871663
1679192868849,1679192871676
1679192867653,1679192871695
1679192868251,1679192871739
1679192869972,1679192871815
1679192869501,1679192871896
1679192867676,1679192871976
1679192870137,1679192872003
1679192868343,1679192872059
1679192869453,1679192872079
1679192869329,1679192872111
1679192870977,1679192872231
1679192870621,1679192872255
1679192870461,1679192872279
1679192870567,1679192872291
1679192870825,1679192872303
1679192869609,1679192872407
1679192866564,1679192872551
1679192870465,1679192872578
1679192870481,1679192872739
1679192867613,1679192872819
1679192870749,1679192872835
1679192870407,1679192872859
1679192870993,1679192872885
1679192870775,1679192872914
1679192870644,1679192872915
1679192870385,1679192873067
1679192868121,1679192873067
1679192870693,1679192873267
1679192871405,1679192873327
1679192871678,1679192873414
1679192870073,1679192873499
1679192871665,1679192873507
1679192871032,1679192873547
1679192872005,1679192873575
1679192870289,1679192873671
1679192871264,1679192873683
1679192871493,1679192873714
1679192871618,1679192873747
1679192871236,1679192873815
1679192871165,1679192874003
1679192872861,1679192874031
1679192870427,1679192874035
1679192871329,1679192874179
1679192871897,1679192874271
1679192870634,1679192874275
