st,end
1679207249737,1679207249965
1679207249815,1679207249982
1679207249772,1679207249986
1679207249600,1679207249988
1679207249669,1679207250052
1679207249487,1679207250069
1679207249680,1679207250119
1679207249773,1679207250139
1679207249852,1679207250165
1679207249881,1679207250167
1679207249730,1679207250182
1679207249816,1679207250214
1679207249735,1679207250262
1679207249295,1679207250264
1679207250074,1679207250331
1679207249972,1679207250343
1679207249806,1679207250414
1679207249293,1679207250436
1679207250141,1679207250477
1679207249559,1679207250487
1679207249457,1679207250544
1679207250024,1679207250560
1679207249295,1679207250572
1679207249367,1679207250591
1679207249977,1679207250603
1679207249820,1679207250607
1679207249970,1679207250622
1679207250090,1679207250696
1679207249985,1679207250697
1679207249296,1679207250746
1679207250013,1679207250770
1679207250612,1679207250772
1679207249296,1679207250789
1679207250267,1679207250793
1679207249838,1679207250832
1679207249667,1679207250852
1679207250123,1679207250852
1679207250057,1679207250876
1679207250700,1679207250915
1679207249572,1679207250933
1679207250172,1679207250945
1679207249989,1679207250948
1679207249294,1679207251024
1679207250036,1679207251054
1679207249623,1679207251066
1679207250010,1679207251087
1679207250595,1679207251090
1679207249983,1679207251099
1679207249534,1679207251156
1679207250127,1679207251185
1679207249639,1679207251279
1679207250794,1679207251289
1679207250492,1679207251317
1679207249845,1679207251319
1679207251091,1679207251355
1679207250192,1679207251371
1679207251222,1679207251408
1679207250419,1679207251420
1679207250751,1679207251425
1679207251160,1679207251445
1679207250346,1679207251466
1679207249524,1679207251494
1679207250855,1679207251504
1679207250836,1679207251505
1679207251189,1679207251545
1679207250576,1679207251581
1679207250938,1679207251584
1679207249713,1679207251708
1679207251103,1679207251717
1679207249774,1679207251741
1679207250441,1679207251772
1679207251282,1679207251780
1679207251058,1679207251781
1679207250105,1679207251784
1679207251690,1679207251785
1679207250775,1679207251785
1679207250081,1679207251857
1679207249771,1679207251884
1679207251070,1679207251886
1679207251514,1679207251921
1679207250549,1679207251953
1679207251375,1679207252001
1679207251887,1679207252027
1679207251861,1679207252047
1679207249564,1679207252054
1679207250219,1679207252066
1679207251946,1679207252106
1679207251324,1679207252114
1679207251849,1679207252139
1679207251691,1679207252176
1679207251723,1679207252249
1679207250185,1679207252264
1679207251789,1679207252264
1679207251734,1679207252312
1679207252143,1679207252332
1679207251926,1679207252355
1679207251918,1679207252364
1679207251468,1679207252405
1679207251745,1679207252441
1679207250170,1679207252455
1679207252213,1679207252476
1679207251497,1679207252510
1679207252380,1679207252522
1679207252253,1679207252549
1679207251029,1679207252563
1679207252057,1679207252576
1679207251413,1679207252591
1679207252528,1679207252624
1679207251789,1679207252641
1679207250268,1679207252666
1679207252501,1679207252682
1679207252289,1679207252714
1679207249472,1679207252725
1679207252409,1679207252771
1679207252704,1679207252815
1679207252111,1679207252837
1679207252730,1679207252872
1679207252819,1679207252905
1679207252180,1679207252928
1679207252718,1679207252952
1679207252425,1679207253038
1679207252315,1679207253058
1679207252995,1679207253099
1679207251712,1679207253120
1679207250606,1679207253125
1679207252480,1679207253156
1679207252448,1679207253197
1679207250169,1679207253210
1679207252460,1679207253290
1679207253135,1679207253330
1679207253044,1679207253330
1679207253182,1679207253383
1679207249990,1679207253437
1679207252978,1679207253446
1679207253043,1679207253447
1679207253202,1679207253448
1679207252029,1679207253491
1679207253067,1679207253533
1679207253334,1679207253567
1679207253103,1679207253581
1679207253293,1679207253594
1679207252369,1679207253657
1679207252848,1679207253663
1679207253497,1679207253680
1679207250565,1679207253724
1679207253667,1679207253817
1679207253334,1679207253838
1679207252450,1679207253874
1679207253786,1679207253911
1679207253083,1679207253915
1679207253496,1679207253962
1679207253374,1679207253986
1679207253536,1679207254000
1679207253387,1679207254019
1679207253915,1679207254051
1679207253717,1679207254051
1679207253878,1679207254108
1679207253913,1679207254154
1679207253387,1679207254166
1679207254050,1679207254235
1679207254042,1679207254263
1679207253964,1679207254320
1679207253901,1679207254331
1679207253727,1679207254331
1679207254171,1679207254357
1679207254051,1679207254368
1679207254239,1679207254370
1679207253739,1679207254388
1679207249609,1679207254414
1679207253954,1679207254464
1679207254419,1679207254515
1679207253540,1679207254550
1679207254376,1679207254562
1679207254372,1679207254602
1679207254306,1679207254636
1679207254560,1679207254642
1679207254323,1679207254663
1679207254563,1679207254748
1679207253376,1679207254857
1679207254335,1679207254927
1679207253889,1679207254953
1679207254608,1679207254986
1679207253644,1679207254996
1679207254640,1679207254999
1679207254861,1679207255052
1679207253990,1679207255055
1679207254689,1679207255077
1679207254606,1679207255112
1679207254159,1679207255164
1679207254656,1679207255205
1679207254981,1679207255214
1679207255000,1679207255260
1679207254268,1679207255307
1679207254553,1679207255329
1679207254215,1679207255411
1679207254753,1679207255431
1679207254799,1679207255453
1679207254390,1679207255461
1679207254183,1679207255475
1679207254958,1679207255533
1679207254957,1679207255534
1679207254862,1679207255540
1679207255130,1679207255574
1679207255219,1679207255617
1679207254055,1679207255687
1679207255539,1679207255694
1679207255542,1679207255746
1679207255081,1679207255750
1679207255568,1679207255763
1679207255132,1679207255804
1679207255540,1679207255826
1679207255767,1679207255869
1679207255749,1679207255882
1679207255398,1679207255931
1679207255180,1679207255944
1679207255579,1679207255955
1679207254646,1679207255971
1679207255536,1679207255979
1679207253920,1679207256037
1679207255565,1679207256065
1679207255935,1679207256067
1679207255621,1679207256083
1679207255785,1679207256087
1679207255089,1679207256087
1679207256026,1679207256107
1679207255210,1679207256145
1679207255750,1679207256183
1679207255632,1679207256183
1679207255399,1679207256187
1679207255267,1679207256205
1679207256069,1679207256214
1679207256091,1679207256269
1679207254991,1679207256271
1679207255479,1679207256372
1679207256090,1679207256387
1679207255175,1679207256403
1679207255944,1679207256412
1679207255983,1679207256455
1679207254370,1679207256470
1679207256416,1679207256488
1679207255948,1679207256490
1679207255851,1679207256501
1679207255415,1679207256509
1679207256399,1679207256534
1679207255886,1679207256537
1679207256191,1679207256548
1679207256240,1679207256551
1679207254469,1679207256575
1679207256292,1679207256669
1679207256505,1679207256690
1679207256407,1679207256744
1679207255623,1679207256746
1679207256675,1679207256775
1679207255808,1679207256783
1679207256129,1679207256784
1679207256086,1679207256812
1679207256556,1679207256815
1679207255056,1679207256846
1679207256339,1679207256860
1679207256595,1679207256892
1679207256539,1679207256902
1679207255810,1679207256927
1679207256673,1679207256949
1679207256777,1679207256963
1679207254536,1679207256969
1679207255004,1679207256988
1679207255972,1679207256991
1679207256187,1679207257003
1679207256065,1679207257012
1679207256691,1679207257027
1679207256750,1679207257035
1679207255319,1679207257079
1679207255830,1679207257100
1679207256994,1679207257169
1679207256932,1679207257169
1679207256111,1679207257219
1679207257213,1679207257375
1679207256991,1679207257380
1679207256974,1679207257406
1679207257082,1679207257411
1679207256855,1679207257424
1679207257177,1679207257432
1679207257416,1679207257466
1679207256999,1679207257498
