st,end
1679260042254,1679260042786
1679260042147,1679260042824
1679260042532,1679260042895
1679260042879,1679260042987
1679260042631,1679260043015
1679260042139,1679260043017
1679260042332,1679260043057
1679260042167,1679260043101
1679260042796,1679260043115
1679260042315,1679260043233
1679260042138,1679260043254
1679260042504,1679260043282
1679260042281,1679260043287
1679260042942,1679260043290
1679260042765,1679260043296
1679260042380,1679260043304
1679260042340,1679260043316
1679260042632,1679260043398
1679260043046,1679260043537
1679260043064,1679260043611
1679260042858,1679260043624
1679260043012,1679260043769
1679260042437,1679260043787
1679260042435,1679260043794
1679260042329,1679260043812
1679260042140,1679260043829
1679260042533,1679260043834
1679260042190,1679260043902
1679260043118,1679260043956
1679260042356,1679260044004
1679260042712,1679260044009
1679260042261,1679260044081
1679260042552,1679260044089
1679260043287,1679260044105
1679260042252,1679260044242
1679260042152,1679260044286
1679260042746,1679260044360
1679260042397,1679260044383
1679260042652,1679260044447
1679260042494,1679260044498
1679260046507,1679260046563
1679260046966,1679260047010
1679260046950,1679260047110
1679260047130,1679260047180
1679260047250,1679260047323
1679260047135,1679260047341
1679260047353,1679260047395
1679260047275,1679260047535
1679260047282,1679260047553
1679260047677,1679260047708
1679260047531,1679260047754
1679260047733,1679260047775
1679260047703,1679260047860
1679260047765,1679260047915
1679260047653,1679260047926
1679260047831,1679260048056
1679260047520,1679260048066
1679260047927,1679260048173
1679260047897,1679260048180
1679260048173,1679260048200
1679260047584,1679260048226
1679260048027,1679260048262
1679260048088,1679260048294
1679260048023,1679260048324
1679260048257,1679260048384
1679260048323,1679260048384
1679260048196,1679260048490
1679260048531,1679260048557
1679260047488,1679260048628
1679260048607,1679260048648
1679260048427,1679260048680
1679260047899,1679260048694
1679260048614,1679260048811
1679260048732,1679260048881
1679260048693,1679260048895
1679260048410,1679260048934
1679260048483,1679260049083
1679260048684,1679260049114
1679260048768,1679260049222
1679260049228,1679260049256
1679260048142,1679260049303
1679260049180,1679260049343
1679260049145,1679260049397
