st,end
1679266276048,1679266277218
1679266276141,1679266277270
1679266276063,1679266277312
1679266275968,1679266277349
1679266276061,1679266277372
1679266276032,1679266277377
1679266276073,1679266277441
1679266275952,1679266277465
1679266276050,1679266277484
1679266276121,1679266277502
1679266276018,1679266277518
1679266276060,1679266277549
1679266276004,1679266277553
1679266276099,1679266277558
1679266276039,1679266277576
1679266276111,1679266277579
1679266276107,1679266277640
1679266276074,1679266277735
1679266276042,1679266277742
1679266276099,1679266277783
1679266276024,1679266277801
1679266275981,1679266277840
1679266276020,1679266277842
1679266276033,1679266277853
1679266276062,1679266277927
1679266275991,1679266277980
1679266276051,1679266277989
1679266276132,1679266277992
1679266276076,1679266278103
1679266275975,1679266278113
1679266276118,1679266278220
1679266275982,1679266278277
1679266276006,1679266278318
1679266275985,1679266278362
1679266276110,1679266278400
1679266276040,1679266278401
1679266276112,1679266278459
1679266276101,1679266278496
1679266276104,1679266278523
1679266276100,1679266278550
1679266282212,1679266282305
1679266282451,1679266282556
1679266282395,1679266282570
1679266282671,1679266282753
1679266282581,1679266282765
1679266282740,1679266282841
1679266282775,1679266282844
1679266282705,1679266282844
1679266282469,1679266282884
1679266282731,1679266282896
1679266282787,1679266282919
1679266282807,1679266282958
1679266282715,1679266282990
1679266282796,1679266282997
1679266282998,1679266283085
1679266283027,1679266283090
1679266283102,1679266283177
1679266283159,1679266283335
1679266283162,1679266283372
1679266283357,1679266283480
1679266283393,1679266283510
1679266283247,1679266283567
1679266283173,1679266283605
1679266283436,1679266283628
1679266283289,1679266283628
1679266283566,1679266283703
1679266283483,1679266283734
1679266283625,1679266283760
1679266283122,1679266283802
1679266283701,1679266283871
1679266283576,1679266283872
1679266283772,1679266283898
1679266283730,1679266283955
1679266283663,1679266284021
1679266283858,1679266284023
1679266283818,1679266284073
1679266283917,1679266284096
1679266283985,1679266284120
1679266283812,1679266284272
1679266284196,1679266284320
1679266283751,1679266284346
1679266284107,1679266284376
1679266284187,1679266284390
1679266284080,1679266284403
1679266284309,1679266284500
1679266284405,1679266284569
1679266284432,1679266284710
1679266284450,1679266284730
1679266284525,1679266284782
1679266284605,1679266284792
1679266284552,1679266284803
1679266284869,1679266284903
1679266284899,1679266285021
1679266284949,1679266285164
1679266284915,1679266285177
1679266284977,1679266285193
1679266285213,1679266285263
1679266285116,1679266285290
1679266285020,1679266285428
1679266285169,1679266285482
1679266285426,1679266285482
1679266285246,1679266285493
1679266285213,1679266285513
1679266285458,1679266285565
1679266285397,1679266285616
1679266285443,1679266285678
1679266285416,1679266285714
1679266285497,1679266285766
1679266285616,1679266285775
1679266285661,1679266285786
1679266285674,1679266285792
1679266285708,1679266285865
1679266285649,1679266285880
1679266285753,1679266285923
1679266285839,1679266285972
1679266285932,1679266285980
1679266285820,1679266285999
1679266285841,1679266286239
1679266286138,1679266286255
1679266286061,1679266286283
1679266285993,1679266286407
1679266286267,1679266286472
1679266286207,1679266286474
1679266286138,1679266286488
1679266286436,1679266286531
1679266286243,1679266286558
1679266286495,1679266286573
1679266286260,1679266286619
1679266286287,1679266286626
1679266286461,1679266286657
1679266286166,1679266286731
1679266286638,1679266286801
1679266286825,1679266286875
1679266286703,1679266287044
1679266286968,1679266287161
1679266287074,1679266287174
1679266287075,1679266287270
1679266287125,1679266287290
1679266287046,1679266287295
1679266287074,1679266287297
1679266287161,1679266287324
1679266287214,1679266287410
1679266287358,1679266287482
1679266287351,1679266287530
1679266287319,1679266287534
1679266287523,1679266287558
1679266287417,1679266287584
1679266287490,1679266287597
1679266287582,1679266287671
1679266287506,1679266287713
1679266287449,1679266287866
1679266287782,1679266287879
1679266287854,1679266287954
1679266287891,1679266287988
1679266287734,1679266288094
1679266288046,1679266288124
1679266288138,1679266288226
1679266288085,1679266288258
1679266288204,1679266288290
1679266288246,1679266288385
1679266288407,1679266288535
1679266288529,1679266288566
1679266288447,1679266288566
1679266288413,1679266288572
1679266288586,1679266288713
1679266288495,1679266288763
1679266288574,1679266288777
1679266288478,1679266288785
1679266288666,1679266288791
1679266288544,1679266288797
1679266288457,1679266288810
1679266288708,1679266288842
1679266288652,1679266288873
1679266288875,1679266288972
1679266288963,1679266289065
1679266289106,1679266289202
1679266289168,1679266289329
1679266289051,1679266289357
1679266289323,1679266289374
1679266289195,1679266289382
1679266289291,1679266289447
1679266289439,1679266289548
1679266289623,1679266289724
1679266289342,1679266289752
1679266289695,1679266289779
1679266289746,1679266289806
1679266289790,1679266289846
1679266289709,1679266289935
1679266289787,1679266289955
1679266289768,1679266289976
1679266289909,1679266289983
1679266289987,1679266290066
1679266290077,1679266290168
1679266290134,1679266290230
1679266289960,1679266290307
1679266290227,1679266290332
1679266290271,1679266290361
1679266290076,1679266290476
1679266290603,1679266290655
1679266290715,1679266290770
1679266290695,1679266290814
1679266290486,1679266290849
1679266290764,1679266290919
1679266290809,1679266290940
1679266290923,1679266290996
1679266290802,1679266290996
1679266290894,1679266291038
1679266291079,1679266291117
1679266291087,1679266291128
1679266291007,1679266291223
1679266291112,1679266291258
1679266291104,1679266291270
1679266291154,1679266291273
1679266291222,1679266291357
1679266290994,1679266291392
1679266291492,1679266291602
1679266291569,1679266291662
1679266291186,1679266291689
1679266291486,1679266291699
1679266291565,1679266291700
1679266291655,1679266291826
1679266291644,1679266291865
1679266291743,1679266291878
1679266291800,1679266291881
1679266291570,1679266291908
1679266291875,1679266291934
1679266291694,1679266291951
1679266291890,1679266292040
1679266291955,1679266292046
1679266292194,1679266292235
1679266292028,1679266292255
1679266292147,1679266292466
1679266291866,1679266292498
1679266292351,1679266292503
1679266292579,1679266292685
1679266292491,1679266292690
1679266292515,1679266292708
1679266292616,1679266292818
1679266292660,1679266292835
1679266292338,1679266292843
1679266292680,1679266292853
1679266292491,1679266292974
1679266292694,1679266293088
1679266293037,1679266293155
1679266292926,1679266293298
1679266293067,1679266293322
1679266292983,1679266293353
1679266293271,1679266293364
1679266293411,1679266293484
1679266293201,1679266293517
1679266293518,1679266293582
1679266293435,1679266293596
1679266293483,1679266293631
1679266293382,1679266293639
1679266293463,1679266293680
1679266293517,1679266293770
1679266293530,1679266293848
1679266293728,1679266293900
1679266293757,1679266293930
1679266293776,1679266294000
1679266293974,1679266294096
1679266293815,1679266294214
1679266294164,1679266294280
1679266294099,1679266294363
1679266294157,1679266294479
1679266294337,1679266294512
1679266294154,1679266294569
1679266294339,1679266294583
1679266294228,1679266294628
1679266294425,1679266294648
1679266294532,1679266294706
1679266294694,1679266294755
1679266294450,1679266294773
1679266294770,1679266294873
1679266294835,1679266294977
1679266294818,1679266295001
1679266294878,1679266295009
1679266294934,1679266295140
1679266294880,1679266295285
1679266295043,1679266295292
1679266295138,1679266295336
1679266295080,1679266295415
1679266295292,1679266295505
1679266295407,1679266295508
1679266295439,1679266295528
1679266295396,1679266295546
1679266295470,1679266295580
1679266295396,1679266295591
1679266295618,1679266295686
1679266295434,1679266295710
1679266295619,1679266295734
1679266295619,1679266295742
1679266295434,1679266295745
1679266295584,1679266295762
1679266295505,1679266295773
1679266295675,1679266295810
1679266295775,1679266295833
1679266295805,1679266295895
1679266295736,1679266295939
1679266295755,1679266295951
1679266295939,1679266296067
1679266295981,1679266296067
1679266296271,1679266296455
1679266296436,1679266296693
1679266296759,1679266296856
1679266296934,1679266297053
1679266297198,1679266297246
1679266297279,1679266297344
1679266297365,1679266297518
1679266297424,1679266297565
1679266297587,1679266297626
1679266297527,1679266297770
1679266297782,1679266297836
1679266297982,1679266298035
1679266297865,1679266298139
1679266298043,1679266298140
1679266298030,1679266298198
1679266298292,1679266298333
1679266298617,1679266298680
1679266298638,1679266298806
1679266298782,1679266298839
1679266298948,1679266299053
1679266299215,1679266299389
1679266299225,1679266299494
1679266299453,1679266299662
1679266299533,1679266299712
1679266299129,1679266299745
1679266299809,1679266299899
1679266299818,1679266299909
1679266300146,1679266300211
1679266299937,1679266300289
1679266300365,1679266300471
1679266300412,1679266300526
1679266300374,1679266300563
1679266300531,1679266300657
1679266300741,1679266300944
1679266300629,1679266300993
1679266300973,1679266301071
1679266301077,1679266301288
1679266301334,1679266301423
1679266301425,1679266301473
1679266301349,1679266301594
1679266301717,1679266301811
1679266301873,1679266302024
1679266302100,1679266302173
1679266302043,1679266302203
1679266302109,1679266302266
1679266302088,1679266302339
1679266302169,1679266302344
1679266302505,1679266302579
1679266302588,1679266302714
1679266302718,1679266302808
1679266302839,1679266303014
1679266303332,1679266303406
1679266303532,1679266303648
1679266303488,1679266303666
1679266303657,1679266303727
1679266303711,1679266303758
1679266303695,1679266303871
1679266303900,1679266304052
1679266303903,1679266304146
1679266304420,1679266304451
1679266304488,1679266304607
1679266304732,1679266304828
1679266304780,1679266304862
1679266304800,1679266304910
1679266304988,1679266305116
1679266305028,1679266305204
1679266304897,1679266305563
1679266305344,1679266305606
1679266305615,1679266305795
1679266305679,1679266305850
