st,end
1679280836730,1679280843172
1679280836758,1679280843315
1679280836785,1679280843339
1679280836868,1679280843339
1679280836689,1679280843451
1679280836889,1679280843591
1679280836775,1679280843831
1679280836729,1679280844011
1679280836878,1679280844039
1679280836819,1679280844131
1679280836809,1679280844155
1679280836813,1679280844235
1679280836848,1679280844271
1679280836898,1679280844323
1679280836887,1679280844367
1679280836751,1679280844440
1679280836755,1679280844440
1679280836909,1679280844499
1679280836902,1679280844503
1679280836855,1679280844551
1679280836851,1679280844563
1679280836876,1679280844571
1679280836888,1679280844607
1679280836857,1679280844635
1679280836760,1679280844635
1679280836794,1679280844791
1679280836906,1679280845027
1679280836824,1679280845047
1679280836862,1679280845083
1679280836788,1679280845167
1679280836867,1679280845219
1679280843345,1679280845279
1679280836764,1679280845347
1679280836923,1679280845411
1679280836836,1679280845411
1679280836845,1679280845411
1679280836913,1679280845415
1679280836875,1679280845435
1679280843837,1679280845466
1679280836796,1679280845483
1679280843320,1679280845518
1679280843344,1679280845583
1679280844160,1679280845586
1679280843456,1679280845590
1679280836924,1679280845623
1679280843177,1679280845631
1679280844276,1679280845694
1679280836750,1679280845727
1679280843596,1679280845730
1679280844240,1679280845762
1679280844136,1679280845806
1679280844016,1679280845879
1679280844557,1679280845983
1679280844445,1679280846067
1679280844509,1679280846087
1679280844445,1679280846235
1679280844328,1679280846275
1679280844795,1679280846279
1679280844044,1679280846343
1679280844577,1679280846362
1679280844372,1679280846362
1679280844640,1679280846592
1679280844641,1679280846607
1679280844505,1679280846787
1679280844613,1679280846847
1679280845088,1679280847015
1679280845351,1679280847063
1679280845440,1679280847315
1679280844567,1679280847331
1679280845633,1679280847395
1679280845519,1679280847397
1679280845487,1679280847427
1679280845281,1679280847439
1679280845173,1679280847748
1679280846237,1679280847758
1679280845732,1679280847811
1679280845585,1679280847855
1679280845731,1679280847879
1679280845696,1679280848034
1679280845416,1679280848243
1679280846277,1679280848247
1679280846595,1679280848251
1679280845420,1679280848279
1679280845416,1679280848383
1679280846281,1679280848467
1679280845985,1679280848495
1679280845223,1679280848511
1679280845032,1679280848571
