st,end
1679354157701,1679354159063
1679354157770,1679354159063
1679354157688,1679354159063
1679354157832,1679354159063
1679354157686,1679354159094
1679354157710,1679354159114
1679354157799,1679354159118
1679354157840,1679354159161
1679354157697,1679354159182
1679354157815,1679354159185
1679354157829,1679354159345
1679354157824,1679354159359
1679354157798,1679354159365
1679354157718,1679354159413
1679354157753,1679354159432
1679354157737,1679354159450
1679354157667,1679354159512
1679354157756,1679354159648
1679354157826,1679354159648
1679354157755,1679354159678
1679354157806,1679354159715
1679354157712,1679354159737
1679354157797,1679354159803
1679354157711,1679354159806
1679354157684,1679354159806
1679354157727,1679354159815
1679354157765,1679354159823
1679354157796,1679354159884
1679354157828,1679354159887
1679354157778,1679354159901
1679354157736,1679354159949
1679354157750,1679354159982
1679354157795,1679354159996
1679354157699,1679354160006
1679354157709,1679354160050
1679354157672,1679354160137
1679354157653,1679354160149
1679354157827,1679354160172
1679354157694,1679354160217
1679354157730,1679354160301
1679354163784,1679354164005
1679354163966,1679354164053
1679354164061,1679354164186
1679354164020,1679354164212
1679354164188,1679354164239
1679354164211,1679354164354
1679354164297,1679354164435
1679354164383,1679354164450
1679354164172,1679354164472
1679354164452,1679354164533
1679354164285,1679354164635
1679354164679,1679354164798
1679354164621,1679354164827
1679354164621,1679354164829
1679354164745,1679354164846
1679354164844,1679354164941
1679354164843,1679354164987
1679354164991,1679354165068
1679354164960,1679354165146
1679354165067,1679354165147
1679354164982,1679354165288
1679354164942,1679354165288
1679354165153,1679354165372
1679354165336,1679354165492
1679354164962,1679354165492
1679354165290,1679354165501
1679354165372,1679354165528
1679354165447,1679354165534
1679354165417,1679354165609
1679354165428,1679354165632
1679354165101,1679354165680
1679354165620,1679354165703
1679354165632,1679354165713
1679354165684,1679354165811
1679354165661,1679354165850
1679354165736,1679354165896
1679354165823,1679354165977
1679354165869,1679354166132
1679354165930,1679354166160
1679354166221,1679354166322
1679354166233,1679354166374
1679354166128,1679354166426
1679354166291,1679354166446
1679354166414,1679354166508
1679354166310,1679354166580
1679354166253,1679354166604
1679354166362,1679354166616
1679354166396,1679354166625
1679354166578,1679354166729
1679354166459,1679354166737
1679354166783,1679354166969
1679354166882,1679354167116
1679354166882,1679354167117
1679354166934,1679354167121
1679354166969,1679354167161
1679354167109,1679354167173
1679354167106,1679354167177
1679354167058,1679354167244
1679354167078,1679354167266
1679354167274,1679354167337
1679354167355,1679354167453
1679354167536,1679354167607
1679354167593,1679354167639
1679354167574,1679354167814
1679354167666,1679354167846
1679354167509,1679354167857
1679354167631,1679354167918
1679354167814,1679354167957
1679354167978,1679354168134
1679354168119,1679354168188
1679354168121,1679354168341
1679354168266,1679354168420
1679354168448,1679354168603
1679354168530,1679354168610
1679354168310,1679354168676
1679354168593,1679354168777
1679354168666,1679354168780
1679354168744,1679354168900
1679354168793,1679354168927
1679354168820,1679354168930
1679354168849,1679354169079
1679354169001,1679354169092
1679354168912,1679354169119
1679354168984,1679354169224
1679354169034,1679354169260
1679354169040,1679354169279
1679354169093,1679354169310
1679354169386,1679354169487
1679354169306,1679354169508
1679354169369,1679354169511
1679354169284,1679354169518
1679354169386,1679354169592
1679354169544,1679354169614
1679354169517,1679354169648
1679354169464,1679354169689
1679354169640,1679354169811
1679354169761,1679354169916
1679354169933,1679354170009
1679354169897,1679354170085
1679354169974,1679354170094
1679354170002,1679354170133
1679354170073,1679354170175
1679354170150,1679354170346
1679354170203,1679354170398
1679354170448,1679354170498
1679354170439,1679354170506
1679354170184,1679354170511
1679354170302,1679354170534
1679354170559,1679354170652
1679354170477,1679354170684
1679354170261,1679354170690
1679354170343,1679354170712
1679354170556,1679354170764
1679354170222,1679354170778
1679354170468,1679354170811
1679354170631,1679354170826
1679354170711,1679354170833
1679354170537,1679354170838
1679354170692,1679354170855
1679354170844,1679354171018
1679354170985,1679354171100
1679354171002,1679354171176
1679354170935,1679354171212
1679354170867,1679354171214
1679354171043,1679354171244
1679354171173,1679354171312
1679354171259,1679354171366
1679354171266,1679354171395
1679354170935,1679354171468
1679354171328,1679354171529
1679354171511,1679354171553
1679354171487,1679354171602
1679354171618,1679354171770
1679354171627,1679354171791
1679354171702,1679354171869
1679354171728,1679354171879
1679354171870,1679354171909
