st,end
1679354159955,1679354160282
1679354159881,1679354160282
1679354160030,1679354160282
1679354159626,1679354160282
1679354159619,1679354160282
1679354160245,1679354160282
1679354159736,1679354160343
1679354160014,1679354160413
1679354159935,1679354160429
1679354160236,1679354160476
1679354159679,1679354160525
1679354159891,1679354160533
1679354159660,1679354160589
1679354159987,1679354160634
1679354160328,1679354160649
1679354159650,1679354160771
1679354159842,1679354160973
1679354159706,1679354161050
1679354160255,1679354161093
1679354160433,1679354161096
1679354159947,1679354161128
1679354159617,1679354161140
1679354159620,1679354161162
1679354159988,1679354161200
1679354159619,1679354161255
1679354159696,1679354161282
1679354159739,1679354161302
1679354159617,1679354161307
1679354160079,1679354161333
1679354160067,1679354161337
1679354160159,1679354161337
1679354159912,1679354161344
1679354160020,1679354161467
1679354159766,1679354161489
1679354159616,1679354161489
1679354160622,1679354161670
1679354159825,1679354161697
1679354160021,1679354161710
1679354159956,1679354161721
1679354159618,1679354161862
1679354164170,1679354164197
1679354164170,1679354164198
1679354164271,1679354164338
1679354164313,1679354164424
1679354164251,1679354164554
1679354164480,1679354164558
1679354164497,1679354164572
1679354164570,1679354164603
1679354164381,1679354164604
1679354164537,1679354164676
1679354164894,1679354164964
1679354164845,1679354164965
1679354164870,1679354165038
1679354165028,1679354165043
1679354165022,1679354165088
1679354165117,1679354165169
1679354164950,1679354165298
1679354165305,1679354165326
1679354165306,1679354165335
1679354165189,1679354165417
1679354165315,1679354165486
1679354165597,1679354165630
1679354165620,1679354165654
1679354165712,1679354165739
1679354165177,1679354165748
1679354165769,1679354165833
1679354165917,1679354165967
1679354165918,1679354165979
1679354165914,1679354166021
1679354165878,1679354166138
1679354165978,1679354166148
1679354166081,1679354166206
1679354166033,1679354166216
1679354165992,1679354166259
1679354166143,1679354166259
1679354165972,1679354166287
1679354166232,1679354166294
1679354166067,1679354166340
1679354166319,1679354166341
1679354166454,1679354166506
1679354166494,1679354166628
1679354166622,1679354166649
1679354166640,1679354166720
1679354166704,1679354166753
1679354166756,1679354166801
1679354166827,1679354166859
1679354166643,1679354166870
1679354166900,1679354166967
1679354167063,1679354167205
1679354167250,1679354167330
1679354167249,1679354167369
1679354167354,1679354167507
1679354167470,1679354167562
1679354167168,1679354167682
1679354167398,1679354167708
1679354167350,1679354167729
1679354167234,1679354167733
1679354167528,1679354167789
1679354167731,1679354167911
1679354168002,1679354168015
1679354167364,1679354168029
1679354167904,1679354168283
1679354167398,1679354168292
1679354168166,1679354168324
1679354168045,1679354168361
1679354167188,1679354168421
1679354168286,1679354168456
1679354167973,1679354168512
1679354167650,1679354168540
1679354168465,1679354168554
1679354168047,1679354168632
1679354168670,1679354168719
1679354168705,1679354168788
1679354168711,1679354168795
1679354168759,1679354168967
1679354168920,1679354169062
1679354168905,1679354169063
1679354168952,1679354169076
1679354168954,1679354169094
1679354169123,1679354169205
1679354169155,1679354169280
1679354169210,1679354169312
1679354169406,1679354169455
1679354168963,1679354169466
1679354169409,1679354169585
1679354169391,1679354169649
1679354169649,1679354169719
1679354169695,1679354169811
1679354169790,1679354169917
1679354169956,1679354170044
1679354169862,1679354170112
1679354169569,1679354170113
1679354170131,1679354170206
1679354170058,1679354170286
1679354169891,1679354170349
1679354169692,1679354170370
1679354169913,1679354170506
1679354170388,1679354170508
1679354169811,1679354170636
1679354170066,1679354170745
1679354170227,1679354170755
1679354170535,1679354170770
1679354170153,1679354170784
1679354170176,1679354170816
1679354170801,1679354170822
1679354170557,1679354170888
1679354170811,1679354170922
1679354170915,1679354170947
1679354170726,1679354170969
1679354170702,1679354171051
1679354170711,1679354171064
1679354170822,1679354171117
1679354171091,1679354171212
1679354170948,1679354171215
1679354171212,1679354171239
1679354171161,1679354171243
1679354170644,1679354171299
1679354171283,1679354171349
1679354170929,1679354171389
1679354171438,1679354171460
1679354171389,1679354171468
1679354171438,1679354171487
1679354171554,1679354171601
1679354171621,1679354171648
1679354171600,1679354171698
1679354171624,1679354171832
1679354171366,1679354171835
1679354171743,1679354171954
1679354171718,1679354171986
1679354171926,1679354172030
1679354171639,1679354172079
1679354172022,1679354172091
1679354172037,1679354172112
1679354171664,1679354172270
1679354172024,1679354172290
1679354171680,1679354172366
1679354172464,1679354172492
1679354172336,1679354172538
1679354172287,1679354172597
1679354172257,1679354172644
1679354172630,1679354172649
1679354172078,1679354172675
1679354172655,1679354172690
1679354172710,1679354172758
1679354172657,1679354172786
1679354172752,1679354172799
1679354172177,1679354172862
1679354172630,1679354172900
1679354172844,1679354173006
1679354172874,1679354173045
1679354172933,1679354173165
1679354173024,1679354173248
1679354173237,1679354173264
1679354172877,1679354173308
1679354173210,1679354173337
1679354173047,1679354173410
1679354173162,1679354173418
1679354173351,1679354173459
1679354173423,1679354173466
1679354173167,1679354173513
1679354173014,1679354173538
1679354173452,1679354173661
1679354173558,1679354173684
1679354173672,1679354173765
1679354173677,1679354173889
1679354173798,1679354173891
1679354173862,1679354173934
1679354173842,1679354173950
1679354173818,1679354173995
1679354173602,1679354174040
1679354173860,1679354174051
1679354174098,1679354174176
1679354174073,1679354174195
1679354174241,1679354174346
1679354174349,1679354174412
1679354174102,1679354174486
1679354174024,1679354174505
1679354174128,1679354174549
1679354174172,1679354174556
1679354174537,1679354174616
1679354174511,1679354174759
1679354174497,1679354174779
1679354174649,1679354174800
1679354174473,1679354174823
1679354174556,1679354174846
1679354174061,1679354174890
1679354174736,1679354174912
1679354174211,1679354174977
1679354175105,1679354175132
1679354174966,1679354175191
1679354175192,1679354175231
1679354175142,1679354175271
1679354175382,1679354175420
1679354175447,1679354175461
1679354175531,1679354175544
1679354175428,1679354175601
1679354175462,1679354175627
1679354175786,1679354175881
1679354175851,1679354175881
1679354175485,1679354175882
1679354175643,1679354175922
1679354175701,1679354175984
1679354175652,1679354176046
1679354175404,1679354176069
1679354176045,1679354176086
1679354175382,1679354176088
1679354175936,1679354176153
1679354175968,1679354176313
1679354176269,1679354176372
1679354175688,1679354176407
1679354176465,1679354176529
1679354176521,1679354176548
1679354175344,1679354176651
1679354176576,1679354176661
1679354176522,1679354176692
1679354176602,1679354176725
1679354176724,1679354176743
1679354176482,1679354176794
1679354176385,1679354176814
1679354176187,1679354176840
1679354176508,1679354176854
1679354176756,1679354176891
1679354176206,1679354176912
1679354176894,1679354176917
1679354177122,1679354177169
1679354177138,1679354177178
1679354176871,1679354177200
1679354177179,1679354177218
1679354177232,1679354177354
1679354177434,1679354177523
1679354177509,1679354177591
1679354177509,1679354177706
1679354177613,1679354177747
1679354177782,1679354177954
1679354177935,1679354178047
1679354177789,1679354178129
1679354178186,1679354178224
1679354178292,1679354178357
1679354178330,1679354178385
1679354178222,1679354178715
1679354178627,1679354178849
1679354178868,1679354178900
1679354179264,1679354179283
1679354179285,1679354179313
1679354179321,1679354179487
1679354179417,1679354179487
1679354179603,1679354179667
1679354179455,1679354179840
1679354179708,1679354179868
1679354179662,1679354179933
1679354179859,1679354179994
1679354180193,1679354180220
1679354180227,1679354180343
1679354180405,1679354180443
1679354180496,1679354180611
1679354180051,1679354180687
1679354180737,1679354180808
1679354180917,1679354180949
1679354180786,1679354181017
1679354181205,1679354181237
1679354181231,1679354181262
1679354181061,1679354181313
1679354181409,1679354181467
1679354181486,1679354181543
1679354181486,1679354181593
1679354181646,1679354181794
1679354181971,1679354182106
1679354182176,1679354182255
1679354182382,1679354182401
1679354182526,1679354182548
1679354182436,1679354182588
1679354182680,1679354182743
1679354182779,1679354182876
1679354182862,1679354182920
1679354182935,1679354183125
1679354182971,1679354183163
1679354183282,1679354183323
1679354183320,1679354183412
1679354183410,1679354183666
1679354183797,1679354183842
1679354183707,1679354183855
1679354183817,1679354183887
1679354184140,1679354184275
1679354184307,1679354184341
1679354184363,1679354184534
1679354184297,1679354184565
1679354184473,1679354184595
1679354184616,1679354184644
1679354184629,1679354184658
1679354184983,1679354185018
1679354185053,1679354185099
1679354185125,1679354185272
1679354185021,1679354185396
1679354185266,1679354185510
1679354185477,1679354185542
1679354185801,1679354185830
1679354185853,1679354185864
1679354185718,1679354185976
1679354185929,1679354186046
1679354186015,1679354186230
1679354186365,1679354186477
1679354186381,1679354186514
1679354186684,1679354186708
1679354186639,1679354186734
1679354186742,1679354186784
1679354186817,1679354186833
1679354186953,1679354187020
1679354186788,1679354187045
1679354187188,1679354187285
1679354187437,1679354187458
1679354187331,1679354187516
1679354187527,1679354187701
1679354187718,1679354187741
1679354187826,1679354187924
1679354187894,1679354187939
1679354188217,1679354188241
1679354188218,1679354188252
1679354188159,1679354188466
1679354188377,1679354188539
1679354188451,1679354188561
1679354188492,1679354188579
1679354188557,1679354188621
1679354188713,1679354188722
1679354188928,1679354188939
1679354188792,1679354188943
1679354188985,1679354189005
1679354188799,1679354189052
1679354188885,1679354189058
1679354188843,1679354189127
1679354189181,1679354189232
1679354189162,1679354189256
1679354189052,1679354189305
1679354189289,1679354189361
1679354189151,1679354189373
1679354188635,1679354189379
1679354189116,1679354189490
1679354189324,1679354189497
1679354189370,1679354189569
1679354189550,1679354189703
1679354189238,1679354189710
1679354189083,1679354189745
1679354188838,1679354189837
1679354189883,1679354190025
1679354188973,1679354190096
1679354189780,1679354190096
1679354189905,1679354190125
1679354189375,1679354190165
1679354189807,1679354190342
1679354189759,1679354190388
1679354190268,1679354190388
1679354190086,1679354190398
1679354190351,1679354190400
1679354189962,1679354190430
1679354189410,1679354190468
1679354190372,1679354190573
1679354190339,1679354190597
1679354189312,1679354190647
1679354189078,1679354190763
1679354190488,1679354190777
1679354190067,1679354190873
1679354190983,1679354191010
1679354190516,1679354191049
1679354190909,1679354191099
1679354190724,1679354191156
1679354190754,1679354191192
1679354189575,1679354191196
1679354190620,1679354191232
1679354188671,1679354191249
1679354190616,1679354191269
1679354189870,1679354191286
1679354191177,1679354191328
1679354191014,1679354191367
1679354190378,1679354191396
1679354191228,1679354191431
1679354191410,1679354191477
1679354191182,1679354191543
1679354191523,1679354191619
1679354191637,1679354191716
1679354191766,1679354191849
1679354191835,1679354191909
1679354192211,1679354192288
1679354192358,1679354192392
1679354192218,1679354192573
1679354192397,1679354192654
1679354192661,1679354192685
1679354192394,1679354192723
1679354192721,1679354192752
1679354192584,1679354192773
1679354192510,1679354192868
1679354192804,1679354192893
1679354192565,1679354192926
1679354192548,1679354192945
1679354192926,1679354193025
1679354192943,1679354193134
1679354192728,1679354193161
1679354192920,1679354193226
1679354192950,1679354193246
1679354193154,1679354193282
1679354192872,1679354193399
1679354192613,1679354193521
1679354193457,1679354193615
1679354192782,1679354193699
1679354193661,1679354193711
1679354193406,1679354193767
1679354192754,1679354193790
1679354193678,1679354193914
1679354193266,1679354193930
1679354193463,1679354194018
1679354193139,1679354194058
1679354193838,1679354194125
1679354193877,1679354194157
1679354193597,1679354194163
1679354193136,1679354194207
1679354193142,1679354194231
1679354194038,1679354194312
1679354193235,1679354194315
1679354193802,1679354194331
1679354194332,1679354194347
1679354193811,1679354194378
1679354193400,1679354194469
1679354194511,1679354194588
1679354194617,1679354194709
1679354194612,1679354194709
1679354194689,1679354194778
1679354194681,1679354194795
1679354194797,1679354194816
1679354194536,1679354194826
1679354194699,1679354194875
1679354194850,1679354194959
1679354194758,1679354195038
1679354195027,1679354195043
1679354194780,1679354195104
1679354195120,1679354195170
1679354195182,1679354195253
1679354195278,1679354195291
1679354195267,1679354195387
1679354195372,1679354195411
1679354195301,1679354195454
1679354195440,1679354195617
1679354195593,1679354195643
1679354195615,1679354195670
1679354195707,1679354195772
1679354195657,1679354195779
1679354195775,1679354195803
1679354195830,1679354195911
1679354195837,1679354196007
1679354195906,1679354196035
1679354196215,1679354196336
1679354196308,1679354196362
1679354196343,1679354196489
1679354196116,1679354196575
1679354196581,1679354196655
1679354196539,1679354196688
1679354196251,1679354196693
1679354196649,1679354196753
1679354196489,1679354196781
