st,end
1679374948469,1679374948716
1679374948280,1679374948716
1679374948247,1679374948716
1679374948420,1679374948716
1679374948419,1679374948716
1679374948612,1679374948716
1679374948344,1679374948731
1679374948379,1679374948762
1679374948725,1679374948778
1679374948247,1679374948799
1679374948580,1679374948806
1679374948750,1679374948845
1679374948246,1679374948875
1679374948753,1679374948890
1679374948338,1679374948894
1679374948623,1679374948906
1679374948315,1679374948954
1679374948268,1679374949017
1679374948796,1679374949023
1679374948820,1679374949046
1679374948892,1679374949051
1679374948865,1679374949102
1679374948980,1679374949119
1679374949096,1679374949134
1679374949012,1679374949142
1679374948849,1679374949223
1679374949237,1679374949265
1679374949237,1679374949291
1679374949172,1679374949297
1679374948912,1679374949297
1679374948728,1679374949328
1679374948656,1679374949340
1679374949337,1679374949357
1679374949302,1679374949390
1679374948313,1679374949397
1679374949032,1679374949457
1679374948761,1679374949460
1679374949337,1679374949499
1679374948964,1679374949545
1679374949298,1679374949545
1679374949425,1679374949616
1679374949555,1679374949646
1679374949468,1679374949676
1679374949338,1679374949689
1679374949415,1679374949716
1679374948846,1679374949735
1679374949257,1679374949766
1679374949759,1679374949784
1679374949653,1679374949847
1679374949720,1679374949925
1679374949961,1679374949978
1679374950039,1679374950093
1679374950072,1679374950110
1679374949906,1679374950128
1679374950153,1679374950198
1679374950219,1679374950239
1679374950151,1679374950264
1679374950100,1679374950276
1679374950011,1679374950280
1679374950097,1679374950329
1679374950315,1679374950373
1679374950348,1679374950390
1679374950141,1679374950413
1679374950432,1679374950458
1679374950425,1679374950544
1679374950533,1679374950553
1679374950598,1679374950667
1679374950636,1679374950717
1679374950643,1679374950736
1679374950690,1679374950770
1679374950778,1679374950819
1679374950757,1679374950866
1679374950832,1679374950965
1679374950892,1679374951032
1679374951032,1679374951043
1679374951059,1679374951083
1679374951091,1679374951174
1679374950979,1679374951175
1679374951152,1679374951175
1679374951024,1679374951207
1679374952918,1679374952937
1679374952921,1679374953129
1679374953117,1679374953192
1679374953141,1679374953211
1679374953230,1679374953250
1679374953270,1679374953366
1679374953161,1679374953366
1679374953378,1679374953388
1679374953324,1679374953411
1679374953351,1679374953440
1679374953462,1679374953482
1679374953468,1679374953488
1679374953418,1679374953509
1679374953452,1679374953535
1679374953508,1679374953567
1679374953563,1679374953581
1679374953590,1679374953605
1679374953404,1679374953641
1679374953594,1679374953662
1679374953564,1679374953698
1679374953699,1679374953709
1679374953646,1679374953710
1679374953739,1679374953780
1679374953739,1679374953864
1679374953747,1679374953885
1679374953653,1679374953965
1679374953941,1679374954034
1679374953994,1679374954061
1679374954062,1679374954091
1679374954068,1679374954094
1679374953978,1679374954140
1679374954048,1679374954147
1679374954080,1679374954245
1679374954203,1679374954278
1679374954277,1679374954324
1679374954248,1679374954357
1679374954200,1679374954359
1679374954357,1679374954369
1679374954338,1679374954378
1679374954380,1679374954389
1679374954432,1679374954455
1679374954445,1679374954455
1679374954273,1679374954464
1679374954486,1679374954503
1679374954452,1679374954516
1679374954394,1679374954517
1679374954574,1679374954666
1679374954693,1679374954720
1679374954564,1679374954805
1679374954540,1679374954854
1679374954772,1679374954857
1679374954907,1679374954926
1679374954674,1679374954969
1679374954846,1679374954975
1679374954940,1679374955018
1679374954825,1679374955022
1679374954728,1679374955075
1679374954919,1679374955129
1679374955055,1679374955130
1679374954925,1679374955146
1679374955157,1679374955311
1679374955265,1679374955368
1679374955274,1679374955370
1679374955314,1679374955417
1679374955382,1679374955422
1679374955004,1679374955426
1679374955093,1679374955485
1679374954854,1679374955502
1679374955136,1679374955511
1679374955386,1679374955518
1679374955422,1679374955543
1679374955095,1679374955567
1679374954582,1679374955569
1679374955597,1679374955609
1679374955591,1679374955622
1679374955398,1679374955633
1679374955626,1679374955659
1679374954745,1679374955697
1679374955704,1679374955721
1679374955741,1679374955774
1679374955688,1679374955817
1679374955663,1679374955846
1679374955659,1679374955856
1679374955531,1679374955901
1679374955898,1679374955969
1679374955697,1679374956033
1679374955760,1679374956054
1679374955917,1679374956085
1679374956016,1679374956095
1679374955814,1679374956097
1679374955880,1679374956131
1679374956046,1679374956133
1679374955505,1679374956135
