st,end
1679362471205,1679362477591
1679362471206,1679362477675
1679362471130,1679362477731
1679362471164,1679362477747
1679362471140,1679362477763
1679362471174,1679362477791
1679362471198,1679362477799
1679362471186,1679362477903
1679362471227,1679362477951
1679362471184,1679362477964
1679362471246,1679362478199
1679362471116,1679362478243
1679362471124,1679362478267
1679362471177,1679362478327
1679362471121,1679362478383
1679362471177,1679362478527
1679362471114,1679362478543
1679362471099,1679362478719
1679362471126,1679362478747
1679362471167,1679362478750
1679362471205,1679362478775
1679362471195,1679362478799
1679362471160,1679362478895
1679362471094,1679362479067
1679362471169,1679362479078
1679362471235,1679362479151
1679362477968,1679362479226
1679362471218,1679362479258
1679362471209,1679362479318
1679362471241,1679362479394
1679362471228,1679362479398
1679362477751,1679362479426
1679362471202,1679362479474
1679362471250,1679362479518
1679362471152,1679362479543
1679362471216,1679362479638
1679362478272,1679362479667
1679362478549,1679362479735
1679362478332,1679362479747
1679362478248,1679362479803
1679362471156,1679362479838
1679362471231,1679362479907
1679362477957,1679362479915
1679362471216,1679362479931
1679362477908,1679362479979
1679362477597,1679362479999
1679362477796,1679362480012
1679362478804,1679362480087
1679362478722,1679362480163
1679362477736,1679362480199
1679362477681,1679362480226
1679362478204,1679362480307
1679362478752,1679362480343
1679362477768,1679362480359
1679362471072,1679362480507
1679362478754,1679362480515
1679362479261,1679362480567
1679362471135,1679362480603
1679362479071,1679362480663
1679362478780,1679362480691
1679362478532,1679362480699
1679362479398,1679362480798
1679362479081,1679362480827
1679362478388,1679362480927
1679362479228,1679362480951
1679362478900,1679362480954
1679362479669,1679362481068
1679362479748,1679362481211
1679362479842,1679362481215
1679362479322,1679362481234
1679362477804,1679362481244
1679362479736,1679362481251
1679362479642,1679362481255
1679362479402,1679362481299
1679362480200,1679362481302
1679362479155,1679362481371
1679362479521,1679362481447
1679362479917,1679362481555
1679362479427,1679362481555
1679362480309,1679362481687
1679362479912,1679362481719
1679362480345,1679362481755
1679362479981,1679362481795
1679362479546,1679362481797
1679362480165,1679362481847
1679362479805,1679362481887
1679362480014,1679362481939
1679362480361,1679362482075
1679362480569,1679362482106
1679362479935,1679362482195
1679362479477,1679362482243
1679362480664,1679362482269
1679362480512,1679362482275
1679362480001,1679362482291
1679362480693,1679362482317
1679362480517,1679362482331
1679362480089,1679362482414
1679362480930,1679362482483
1679362481236,1679362482731
1679362480955,1679362482823
1679362480800,1679362482835
1679362481217,1679362482907
1679362481212,1679362482936
1679362480829,1679362483026
1679362481253,1679362483067
1679362480608,1679362483135
1679362481756,1679362483351
1679362480701,1679362483479
1679362481799,1679362483527
1679362481257,1679362483554
1679362481246,1679362483678
1679362481721,1679362483695
1679362481070,1679362483782
1679362481304,1679362483822
1679362482108,1679362483843
1679362480228,1679362483862
1679362482245,1679362483883
1679362481888,1679362484143
1679362481797,1679362484191
1679362481557,1679362484195
1679362481449,1679362484208
1679362480953,1679362484291
1679362482077,1679362484395
1679362481373,1679362484451
1679362482276,1679362484471
1679362481301,1679362484491
1679362481689,1679362484555
1679362482733,1679362484598
1679362482197,1679362484643
1679362483137,1679362484675
1679362481557,1679362484683
1679362482825,1679362484707
1679362482333,1679362484798
1679362482937,1679362484810
1679362482836,1679362484818
1679362481941,1679362485055
1679362483069,1679362485087
1679362481848,1679362485131
1679362483679,1679362485171
1679362482318,1679362485183
1679362483823,1679362485191
1679362483529,1679362485211
1679362483697,1679362485219
1679362482270,1679362485234
1679362482292,1679362485247
1679362482485,1679362485259
1679362483028,1679362485263
1679362482908,1679362485355
1679362483481,1679362485359
1679362483353,1679362485395
1679362483556,1679362485563
1679362482416,1679362485607
1679362484193,1679362485619
1679362484197,1679362485635
1679362484145,1679362485690
1679362484396,1679362485723
1679362484600,1679362486013
1679362484556,1679362486019
1679362483784,1679362486063
1679362483864,1679362486171
1679362484210,1679362486202
1679362484685,1679362486568
1679362485397,1679362486603
1679362484293,1679362486709
1679362484473,1679362486743
1679362484493,1679362486831
1679362485361,1679362486859
1679362484820,1679362486866
1679362484453,1679362486886
1679362485621,1679362486991
1679362485249,1679362487047
1679362485185,1679362487143
1679362485193,1679362487158
1679362483845,1679362487167
1679362484812,1679362487191
1679362485725,1679362487419
1679362485637,1679362487483
1679362485235,1679362487623
1679362484709,1679362487699
1679362485265,1679362487811
1679362483884,1679362487831
1679362485220,1679362487847
1679362485261,1679362487959
1679362486065,1679362488031
1679362484677,1679362488047
1679362485057,1679362488107
1679362485133,1679362488210
1679362485692,1679362488387
1679362486860,1679362488391
1679362487049,1679362488427
1679362486711,1679362488486
1679362486745,1679362488515
1679362487192,1679362488563
1679362485357,1679362488663
1679362484799,1679362488763
1679362486021,1679362488834
1679362485089,1679362488843
1679362484645,1679362488879
1679362487145,1679362488987
1679362487485,1679362489055
1679362486993,1679362489095
1679362488032,1679362489126
1679362487813,1679362489175
