st,end
1679215466975,1679215473188
1679215466915,1679215473483
1679215467006,1679215473591
1679215466950,1679215473595
1679215466874,1679215473623
1679215467028,1679215473643
1679215466871,1679215473691
1679215466862,1679215473787
1679215466856,1679215473895
1679215466973,1679215473907
1679215466918,1679215473931
1679215466959,1679215473955
1679215466907,1679215473967
1679215466994,1679215473975
1679215466875,1679215474003
1679215466876,1679215474143
1679215466996,1679215474147
1679215467056,1679215474215
1679215466928,1679215474247
1679215466902,1679215474283
1679215467048,1679215474420
1679215466914,1679215474551
1679215466887,1679215474751
1679215466945,1679215474831
1679215466933,1679215474839
1679215466853,1679215474863
1679215466879,1679215474874
1679215467026,1679215474943
1679215467023,1679215474951
1679215466968,1679215475007
1679215466984,1679215475011
1679215467012,1679215475046
1679215467020,1679215475075
1679215466982,1679215475171
1679215467033,1679215475219
1679215466929,1679215475231
1679215466941,1679215475234
1679215466956,1679215475238
1679215466957,1679215475259
1679215466847,1679215475279
1679215466951,1679215475291
1679215467042,1679215475319
1679215467004,1679215475359
1679215466980,1679215475402
1679215467035,1679215475567
1679215473193,1679215475609
1679215473912,1679215475751
1679215467022,1679215475763
1679215473937,1679215475786
1679215474288,1679215475815
1679215474253,1679215475839
1679215473696,1679215475891
1679215467010,1679215475939
1679215473596,1679215476051
1679215466927,1679215476063
1679215466809,1679215476111
1679215474152,1679215476147
1679215466979,1679215476151
1679215473598,1679215476215
1679215473488,1679215476329
1679215473980,1679215476431
1679215473792,1679215476575
1679215474425,1679215476635
1679215474835,1679215476735
1679215475011,1679215476779
1679215474008,1679215476807
1679215473901,1679215476808
1679215474149,1679215476855
1679215474556,1679215476863
1679215473960,1679215476927
1679215473648,1679215476931
1679215473628,1679215477087
1679215474220,1679215477187
1679215473972,1679215477287
1679215475322,1679215477439
1679215475241,1679215477530
1679215475049,1679215477547
1679215474756,1679215477647
1679215474878,1679215477647
1679215475405,1679215477731
1679215474948,1679215477743
1679215466923,1679215477766
1679215476217,1679215477778
1679215475769,1679215477846
1679215475176,1679215477915
1679215475945,1679215477926
1679215474868,1679215477967
1679215475016,1679215477967
1679215475235,1679215477978
1679215475283,1679215478024
1679215475841,1679215478099
1679215475295,1679215478099
1679215475610,1679215478119
1679215475238,1679215478166
1679215475080,1679215478243
1679215475264,1679215478319
1679215476149,1679215478391
1679215476577,1679215478419
1679215476781,1679215478425
1679215474844,1679215478449
1679215476052,1679215478467
1679215475753,1679215478495
1679215476637,1679215478527
1679215475893,1679215478563
1679215476331,1679215478739
1679215474956,1679215478754
1679215476865,1679215478830
1679215477440,1679215478891
1679215476857,1679215478991
1679215476929,1679215479063
1679215476115,1679215479167
1679215475788,1679215479171
1679215476156,1679215479171
1679215475572,1679215479289
1679215475364,1679215479311
1679215478101,1679215479543
1679215477649,1679215479587
1679215477549,1679215479791
1679215477289,1679215479849
1679215476933,1679215479911
1679215477780,1679215479915
1679215476809,1679215479986
1679215477771,1679215480023
1679215477980,1679215480031
1679215477968,1679215480039
1679215478468,1679215480043
1679215476433,1679215480073
1679215476069,1679215480118
1679215477916,1679215480163
1679215478427,1679215480187
1679215477747,1679215480199
1679215477733,1679215480208
1679215476809,1679215480215
1679215477969,1679215480245
1679215478245,1679215480255
1679215478496,1679215480359
1679215477089,1679215480403
1679215479065,1679215480423
1679215475817,1679215480427
1679215478450,1679215480466
1679215478529,1679215480527
1679215477531,1679215480591
1679215478832,1679215480607
1679215478168,1679215480639
1679215477928,1679215480659
1679215478565,1679215480667
1679215478026,1679215480687
1679215477189,1679215480775
1679215479173,1679215480788
1679215475223,1679215480794
1679215478993,1679215480803
1679215477649,1679215480843
1679215478321,1679215480979
1679215477848,1679215480986
1679215479913,1679215481099
1679215478393,1679215481123
1679215476737,1679215481172
1679215479291,1679215481241
1679215478101,1679215481251
1679215479545,1679215481439
1679215479851,1679215481530
1679215479793,1679215481563
1679215480041,1679215481591
1679215478741,1679215481615
1679215478756,1679215481731
1679215478121,1679215481787
1679215480074,1679215481795
1679215480044,1679215481827
1679215478421,1679215481939
1679215480033,1679215481985
1679215478892,1679215481992
1679215479169,1679215482055
1679215480217,1679215482099
1679215480661,1679215482186
1679215480120,1679215482203
1679215480189,1679215482404
1679215480805,1679215482407
1679215480025,1679215482463
1679215479313,1679215482506
1679215480777,1679215482567
1679215479917,1679215482611
1679215480165,1679215482655
1679215480425,1679215482695
1679215480468,1679215482735
1679215480201,1679215482776
1679215480257,1679215482803
1679215480669,1679215482831
1679215481125,1679215482939
1679215480428,1679215482971
1679215480844,1679215482971
1679215480361,1679215482985
1679215480246,1679215482999
1679215481101,1679215483001
1679215480988,1679215483055
1679215479987,1679215483105
1679215480981,1679215483311
1679215479589,1679215483370
1679215480210,1679215483383
1679215481617,1679215483387
1679215481242,1679215483407
1679215481174,1679215483434
1679215480796,1679215483475
1679215481593,1679215483551
1679215481252,1679215483556
1679215480405,1679215483695
1679215481829,1679215483758
1679215482409,1679215483763
1679215480593,1679215483874
1679215481941,1679215483947
1679215481987,1679215484035
1679215479173,1679215484115
1679215482508,1679215484159
1679215482986,1679215484167
1679215480529,1679215484248
1679215482187,1679215484443
1679215481993,1679215484467
1679215480689,1679215484491
1679215480790,1679215484635
1679215480641,1679215484789
1679215481565,1679215484891
1679215483057,1679215484919
1679215482406,1679215484943
1679215482833,1679215484955
1679215482737,1679215485151
1679215482973,1679215485163
1679215483385,1679215485231
1679215482657,1679215485331
1679215484117,1679215485339
1679215482805,1679215485355
1679215481732,1679215485383
1679215483372,1679215485387
1679215482697,1679215485391
1679215481441,1679215485419
1679215482778,1679215485431
1679215483876,1679215485454
1679215483558,1679215485498
1679215483001,1679215485629
1679215484493,1679215485755
1679215481797,1679215485799
1679215483388,1679215485815
1679215482973,1679215485823
1679215484169,1679215485839
1679215483697,1679215485861
1679215483003,1679215485891
1679215483436,1679215485927
1679215483765,1679215485975
1679215482612,1679215485983
1679215483409,1679215486090
1679215482940,1679215486115
1679215484444,1679215486211
1679215484469,1679215486343
1679215484161,1679215486383
1679215481532,1679215486392
1679215480608,1679215486535
1679215484037,1679215486579
1679215483553,1679215486607
1679215482057,1679215486655
1679215482205,1679215486683
1679215483107,1679215486808
1679215482569,1679215486815
1679215485233,1679215486891
1679215485389,1679215486963
1679215484250,1679215486979
1679215484921,1679215486991
1679215483313,1679215487063
1679215485164,1679215487111
1679215482100,1679215487128
1679215483759,1679215487151
1679215484945,1679215487159
1679215483949,1679215487195
1679215485392,1679215487198
1679215483477,1679215487203
1679215481789,1679215487215
1679215485433,1679215487327
1679215484956,1679215487439
1679215485631,1679215487471
1679215484637,1679215487499
1679215485801,1679215487523
1679215485421,1679215487555
1679215485500,1679215487658
1679215485862,1679215487670
1679215484892,1679215487695
1679215482465,1679215487767
1679215484790,1679215487783
1679215485357,1679215487855
1679215485153,1679215487867
1679215486345,1679215487971
1679215485825,1679215488011
1679215485985,1679215488026
1679215486212,1679215488123
1679215485817,1679215488167
1679215485892,1679215488180
1679215486580,1679215488183
1679215485757,1679215488207
1679215486810,1679215488255
1679215485456,1679215488415
1679215486092,1679215488439
1679215486893,1679215488464
1679215487161,1679215488479
1679215485333,1679215488535
1679215486981,1679215488571
1679215485385,1679215488599
1679215485928,1679215488627
1679215486394,1679215488771
1679215486384,1679215488779
1679215486117,1679215488883
1679215486657,1679215489039
1679215487153,1679215489067
1679215486609,1679215489074
1679215487197,1679215489115
1679215487217,1679215489147
1679215487113,1679215489415
1679215487329,1679215489475
1679215487557,1679215489499
1679215487696,1679215489507
1679215487671,1679215489668
1679215487129,1679215489670
1679215488012,1679215489734
1679215486685,1679215489799
1679215487868,1679215489907
1679215487785,1679215490067
1679215487441,1679215490211
1679215487065,1679215490235
1679215486993,1679215490263
1679215487205,1679215490311
1679215487769,1679215490395
1679215487525,1679215490447
1679215485977,1679215490467
1679215486965,1679215490503
1679215488184,1679215490615
1679215487473,1679215490643
1679215488257,1679215490667
1679215488537,1679215490855
1679215485841,1679215490939
1679215485341,1679215491027
1679215489041,1679215491027
1679215488168,1679215491035
1679215489149,1679215491107
1679215486817,1679215491143
1679215488417,1679215491207
1679215488125,1679215491291
1679215486537,1679215491353
1679215488601,1679215491510
1679215488629,1679215491583
1679215488780,1679215491691
1679215487200,1679215491731
1679215487501,1679215491880
1679215489069,1679215491935
1679215488028,1679215491987
1679215489909,1679215492015
1679215489736,1679215492054
1679215488209,1679215492059
1679215488441,1679215492079
1679215490069,1679215492131
1679215490669,1679215492163
1679215489671,1679215492179
1679215489477,1679215492212
1679215489801,1679215492263
1679215490265,1679215492343
1679215489117,1679215492415
1679215488465,1679215492455
1679215488481,1679215492483
1679215489417,1679215492727
1679215490397,1679215492767
1679215491037,1679215492792
1679215490313,1679215492811
1679215488772,1679215492855
1679215489500,1679215492893
1679215489670,1679215492907
1679215490449,1679215492951
1679215488182,1679215492975
1679215491511,1679215493043
1679215490469,1679215493103
1679215490505,1679215493143
1679215491029,1679215493171
1679215490237,1679215493307
1679215491584,1679215493351
1679215491209,1679215493386
1679215487973,1679215493487
1679215491292,1679215493583
1679215488573,1679215493655
1679215489076,1679215493779
1679215491354,1679215493855
1679215490617,1679215493895
1679215491732,1679215493907
1679215491937,1679215494003
1679215490213,1679215494013
1679215492485,1679215494051
1679215492181,1679215494067
1679215488885,1679215494119
1679215490645,1679215494155
1679215492016,1679215494263
1679215492061,1679215494303
1679215492214,1679215494343
