st,end
1676231459112,1676231459340
1676231458848,1676231459340
1676231458888,1676231459386
1676231458838,1676231459417
1676231458837,1676231459445
1676231459271,1676231459467
1676231459367,1676231459474
1676231459410,1676231459494
1676231459515,1676231459573
1676231458838,1676231459606
1676231459562,1676231459609
1676231459613,1676231459627
1676231459500,1676231459646
1676231459661,1676231459750
1676231459777,1676231459805
1676231459699,1676231459805
1676231459871,1676231459896
1676231459916,1676231459955
1676231459990,1676231460019
1676231460000,1676231460020
1676231460033,1676231460060
1676231460106,1676231460190
1676231460111,1676231460192
1676231460118,1676231460241
1676231460189,1676231460273
1676231460224,1676231460277
1676231460323,1676231460341
1676231460303,1676231460393
1676231460411,1676231460438
1676231460462,1676231460482
1676231460479,1676231460498
1676231460489,1676231460527
1676231460540,1676231460567
1676231460562,1676231460574
1676231460539,1676231460581
1676231460566,1676231460601
1676231460576,1676231460601
1676231460581,1676231460620
1676231460614,1676231460700
1676231460681,1676231460707
1676231460676,1676231460725
1676231460631,1676231460738
1676231460699,1676231460777
1676231460719,1676231460806
1676231460806,1676231460865
1676231460899,1676231460974
1676231460912,1676231460992
1676231461094,1676231461109
1676231461058,1676231461110
1676231460940,1676231461121
1676231461036,1676231461131
1676231461114,1676231461152
1676231461024,1676231461162
1676231461074,1676231461195
1676231461246,1676231461281
1676231461297,1676231461317
1676231461348,1676231461366
1676231461372,1676231461403
1676231461420,1676231461442
1676231461388,1676231461450
1676231461419,1676231461476
1676231461459,1676231461496
1676231461443,1676231461526
1676231461424,1676231461547
1676231461358,1676231461548
1676231461524,1676231461603
1676231461587,1676231461617
1676231461838,1676231461866
1676231461856,1676231461895
1676231461884,1676231461901
1676231461960,1676231461978
1676231462002,1676231462033
1676231462025,1676231462043
1676231462029,1676231462063
1676231461984,1676231462107
1676231461959,1676231462123
1676231462023,1676231462150
1676231461928,1676231462228
1676231462111,1676231462262
1676231462047,1676231462262
1676231462197,1676231462264
1676231462256,1676231462342
1676231461947,1676231462357
1676231462195,1676231462364
1676231462179,1676231462383
1676231462334,1676231462391
1676231462227,1676231462393
1676231462410,1676231462468
1676231462046,1676231462473
1676231462289,1676231462482
1676231462470,1676231462485
1676231462410,1676231462485
1676231462496,1676231462598
1676231462583,1676231462601
1676231462601,1676231462641
