st,end
1679315478649,1679315480496
1679315478761,1679315480496
1679315478646,1679315480496
1679315478650,1679315480500
1679315478791,1679315480541
1679315478962,1679315480543
1679315478646,1679315480562
1679315479004,1679315480573
1679315478745,1679315480575
1679315478647,1679315480597
1679315479043,1679315480598
1679315479510,1679315480659
1679315479053,1679315480708
1679315479130,1679315480716
1679315478648,1679315480742
1679315478646,1679315480742
1679315478833,1679315480792
1679315478652,1679315480796
1679315478648,1679315480804
1679315478802,1679315480840
1679315482079,1679315482360
1679315482161,1679315482366
1679315482209,1679315482474
1679315482334,1679315482512
1679315482328,1679315482576
1679315482495,1679315482768
1679315482542,1679315482832
1679315482664,1679315482834
1679315482770,1679315483018
1679315482763,1679315483021
1679315482768,1679315483035
1679315482813,1679315483090
1679315482924,1679315483110
1679315482966,1679315483150
1679315482813,1679315483225
1679315483160,1679315483441
1679315483336,1679315483558
1679315483424,1679315483584
1679315483247,1679315483698
1679315483381,1679315483733
1679315483675,1679315483882
1679315483711,1679315483897
1679315483480,1679315483902
1679315483620,1679315483980
1679315483785,1679315484015
1679315483800,1679315484098
1679315484066,1679315484340
1679315483959,1679315484356
1679315483815,1679315484374
1679315484190,1679315484431
1679315484191,1679315484514
1679315484235,1679315484631
1679315484422,1679315484711
1679315484530,1679315484751
1679315484548,1679315484791
1679315484631,1679315484992
1679315484924,1679315485112
1679315484662,1679315485140
1679315485079,1679315485254
1679315485147,1679315485288
1679315485164,1679315485364
1679315485716,1679315486005
1679315486016,1679315486248
1679315486071,1679315486311
1679315486120,1679315486354
1679315486171,1679315486578
1679315486359,1679315486593
1679315486386,1679315486639
1679315486667,1679315486844
1679315486633,1679315486849
1679315486540,1679315486868
1679315486615,1679315486874
1679315486703,1679315486974
1679315486837,1679315486997
1679315486763,1679315487093
1679315486829,1679315487209
1679315487013,1679315487217
1679315487016,1679315487223
1679315487224,1679315487515
1679315487404,1679315487568
1679315487515,1679315487710
1679315487580,1679315487807
1679315487662,1679315487928
1679315487527,1679315487937
1679315487762,1679315487956
1679315487559,1679315487959
1679315487609,1679315488026
1679315487727,1679315488052
1679315487837,1679315488072
1679315487684,1679315488134
1679315488072,1679315488214
1679315488072,1679315488270
1679315488065,1679315488331
1679315488175,1679315488346
1679315488486,1679315488649
1679315488434,1679315488678
1679315488493,1679315488709
1679315488375,1679315488710
1679315488398,1679315488795
1679315488615,1679315488849
1679315488492,1679315488881
1679315488700,1679315489005
1679315488788,1679315489059
1679315488781,1679315489113
1679315488873,1679315489121
1679315489123,1679315489311
1679315489151,1679315489322
1679315489118,1679315489400
1679315489220,1679315489405
1679315489261,1679315489472
1679315489314,1679315489509
1679315489241,1679315489566
1679315489627,1679315489852
1679315489817,1679315490041
1679315489928,1679315490081
1679315489820,1679315490136
1679315489978,1679315490191
1679315489983,1679315490252
1679315490123,1679315490365
1679315490134,1679315490433
1679315490177,1679315490447
1679315490405,1679315490612
1679315490335,1679315490640
1679315490390,1679315490743
1679315490679,1679315490854
1679315490700,1679315490884
1679315490805,1679315490980
1679315490852,1679315491069
1679315491062,1679315491275
1679315491011,1679315491313
1679315491176,1679315491551
1679315491556,1679315491829
1679315491673,1679315491829
1679315491686,1679315491885
1679315491723,1679315491916
1679315491852,1679315492101
1679315491851,1679315492102
1679315491892,1679315492179
1679315492040,1679315492275
1679315492273,1679315492459
1679315492222,1679315492461
1679315492184,1679315492512
1679315492405,1679315492583
1679315492400,1679315492637
1679315492461,1679315492661
1679315492586,1679315492910
1679315492734,1679315492954
1679315492831,1679315493010
1679315492674,1679315493249
1679315493024,1679315493267
1679315493105,1679315493357
1679315493047,1679315493394
1679315493221,1679315493417
1679315493274,1679315493516
1679315493237,1679315493527
1679315493376,1679315493582
1679315493608,1679315493792
1679315493709,1679315493829
1679315493831,1679315494031
1679315493835,1679315494046
1679315493980,1679315494192
1679315494032,1679315494252
1679315493831,1679315494321
1679315494324,1679315494502
1679315494148,1679315494510
1679315494259,1679315494649
1679315494454,1679315494708
1679315494559,1679315494760
1679315494593,1679315494886
1679315494558,1679315494886
1679315494654,1679315494903
1679315494579,1679315494903
1679315494610,1679315495009
1679315494752,1679315495092
1679315494989,1679315495298
1679315495060,1679315495301
1679315495119,1679315495348
1679315495256,1679315495502
1679315495354,1679315495523
1679315495295,1679315495582
1679315495491,1679315495643
1679315495354,1679315495710
1679315495458,1679315495711
1679315495527,1679315495724
1679315495602,1679315495781
1679315495550,1679315495787
1679315495386,1679315495837
1679315495947,1679315496075
1679315495875,1679315496168
1679315496047,1679315496411
1679315496178,1679315496492
1679315495956,1679315496526
1679315496542,1679315496771
1679315496615,1679315496835
1679315496690,1679315496845
1679315496704,1679315496933
1679315496593,1679315496943
1679315496656,1679315496952
1679315496826,1679315496961
1679315496633,1679315497087
1679315496811,1679315497126
1679315496886,1679315497177
1679315497034,1679315497237
1679315497069,1679315497411
1679315497288,1679315497544
1679315497404,1679315497708
1679315497554,1679315497755
1679315497624,1679315497823
1679315497586,1679315497881
1679315497701,1679315497933
1679315497827,1679315498034
1679315497905,1679315498165
1679315497896,1679315498212
1679315498091,1679315498315
1679315498179,1679315498402
1679315498285,1679315498474
1679315498168,1679315498520
1679315498300,1679315498565
1679315498768,1679315498962
1679315498788,1679315498986
1679315498898,1679315499025
1679315498968,1679315499164
1679315498765,1679315499186
1679315499062,1679315499215
1679315498973,1679315499223
1679315499174,1679315499361
1679315499049,1679315499387
1679315499298,1679315499446
1679315499019,1679315499472
1679315499119,1679315499520
1679315499313,1679315499600
1679315499469,1679315499668
1679315499525,1679315499668
1679315499626,1679315499801
1679315499826,1679315500050
1679315499911,1679315500067
1679315500033,1679315500221
1679315499964,1679315500239
1679315499945,1679315500318
1679315500200,1679315500350
1679315499988,1679315500354
1679315500106,1679315500458
1679315500475,1679315500655
1679315500540,1679315500714
1679315500436,1679315500739
1679315500559,1679315500763
1679315500536,1679315500839
1679315500789,1679315500995
1679315500647,1679315501020
1679315500754,1679315501040
1679315500915,1679315501211
1679315501118,1679315501281
1679315501317,1679315501444
1679315501157,1679315501580
1679315501398,1679315501590
1679315501396,1679315501704
1679315501609,1679315501879
1679315501742,1679315501879
1679315501960,1679315502315
1679315502184,1679315502364
1679315501897,1679315502405
1679315502179,1679315502420
1679315502255,1679315502425
1679315502197,1679315502477
1679315502211,1679315502496
1679315502344,1679315502660
1679315502616,1679315502747
1679315502586,1679315502895
1679315502756,1679315503132
1679315502873,1679315503164
1679315502889,1679315503168
1679315502776,1679315503199
1679315503162,1679315503320
1679315503002,1679315503324
1679315503209,1679315503381
1679315502936,1679315503458
1679315503190,1679315503473
1679315503350,1679315503525
1679315503321,1679315503547
1679315503289,1679315503609
1679315503422,1679315503640
1679315503463,1679315503644
1679315503489,1679315503713
1679315503609,1679315503746
1679315503644,1679315503851
1679315504023,1679315504255
1679315504077,1679315504303
1679315504146,1679315504421
1679315504156,1679315504421
1679315504218,1679315504524
1679315504475,1679315504623
1679315504570,1679315504795
1679315504541,1679315504812
1679315504684,1679315504872
1679315504785,1679315504977
1679315504655,1679315504983
1679315504845,1679315505005
1679315504873,1679315505067
1679315504894,1679315505146
1679315505056,1679315505212
1679315505131,1679315505349
1679315505251,1679315505510
1679315505481,1679315505672
1679315505414,1679315505682
1679315505618,1679315505815
1679315505580,1679315505836
1679315505589,1679315505858
1679315505714,1679315505870
1679315505652,1679315505910
1679315505923,1679315506150
1679315505989,1679315506254
1679315506115,1679315506438
1679315506363,1679315506499
1679315506287,1679315506554
1679315506364,1679315506555
1679315506522,1679315506797
1679315506654,1679315506825
1679315506770,1679315506950
1679315506563,1679315506952
1679315506738,1679315506976
1679315506868,1679315507055
1679315506990,1679315507226
1679315507043,1679315507233
1679315506942,1679315507297
1679315507070,1679315507308
1679315507078,1679315507335
1679315506949,1679315507384
1679315507225,1679315507400
1679315507320,1679315507554
1679315507412,1679315507574
1679315507676,1679315507896
1679315507474,1679315507924
1679315507654,1679315507935
1679315507637,1679315507940
1679315507779,1679315508162
1679315508079,1679315508371
1679315508491,1679315508704
1679315508577,1679315508764
1679315508605,1679315508810
1679315508597,1679315508880
1679315508742,1679315508898
1679315508628,1679315508904
1679315508574,1679315509022
1679315508955,1679315509169
1679315508959,1679315509171
1679315508874,1679315509173
1679315509025,1679315509216
1679315508994,1679315509387
1679315509151,1679315509432
1679315509316,1679315509475
1679315509286,1679315509554
1679315509655,1679315509825
1679315509559,1679315509834
1679315509415,1679315509847
1679315509694,1679315509886
1679315509776,1679315509945
1679315509843,1679315510115
1679315509841,1679315510125
1679315509988,1679315510143
1679315509964,1679315510229
1679315510238,1679315510394
1679315510235,1679315510433
1679315510125,1679315510498
1679315510363,1679315510643
1679315510410,1679315510667
1679315510479,1679315510702
1679315510620,1679315510793
1679315510631,1679315510841
1679315510660,1679315510866
1679315510649,1679315511038
1679315510738,1679315511057
1679315510965,1679315511229
1679315510838,1679315511238
1679315511071,1679315511368
1679315511172,1679315511408
1679315511258,1679315511525
1679315511478,1679315511681
1679315511545,1679315511770
1679315511659,1679315511877
1679315511733,1679315511944
1679315511786,1679315512020
1679315511875,1679315512099
1679315511902,1679315512186
1679315511963,1679315512189
1679315512122,1679315512406
1679315512176,1679315512446
1679315512396,1679315512687
1679315512473,1679315512705
1679315512634,1679315512834
1679315512580,1679315512858
1679315512612,1679315512875
1679315512557,1679315512908
1679315512700,1679315512980
1679315512853,1679315513114
1679315513057,1679315513227
1679315513039,1679315513297
1679315513094,1679315513443
1679315513192,1679315513479
1679315513311,1679315513548
1679315513541,1679315513688
1679315513543,1679315513768
1679315513448,1679315513789
1679315513685,1679315513877
1679315513653,1679315513911
1679315513763,1679315514097
1679315513736,1679315514108
1679315513839,1679315514124
1679315513947,1679315514193
1679315514015,1679315514247
1679315514011,1679315514296
1679315514210,1679315514418
1679315514342,1679315514519
1679315514148,1679315514568
1679315514403,1679315514580
1679315514545,1679315514864
1679315514724,1679315514906
1679315514685,1679315515049
1679315514861,1679315515174
1679315515041,1679315515202
1679315514942,1679315515228
1679315515023,1679315515245
1679315515190,1679315515503
1679315515173,1679315515667
1679315515480,1679315515684
1679315515570,1679315515765
1679315515571,1679315515818
1679315515608,1679315515861
1679315515634,1679315515875
1679315515751,1679315515964
1679315515792,1679315516051
1679315516059,1679315516306
1679315516060,1679315516341
1679315516180,1679315516374
1679315516246,1679315516465
1679315516238,1679315516493
1679315516126,1679315516498
1679315516189,1679315516544
1679315516353,1679315516673
1679315516469,1679315516783
1679315516581,1679315516790
1679315516629,1679315516829
1679315516631,1679315516846
1679315516819,1679315517014
1679315516825,1679315517052
