st,end
1679317668865,1679317669906
1679317668939,1679317669906
1679317668858,1679317669906
1679317668881,1679317669908
1679317668946,1679317669923
1679317668907,1679317669947
1679317668836,1679317669977
1679317668879,1679317669981
1679317668824,1679317669984
1679317668934,1679317670000
1679317668927,1679317670017
1679317668894,1679317670067
1679317668914,1679317670068
1679317668847,1679317670108
1679317669963,1679317670117
1679317668877,1679317670148
1679317669968,1679317670177
1679317668947,1679317670183
1679317668890,1679317670203
1679317668883,1679317670253
1679317669979,1679317670315
1679317668851,1679317670331
1679317669966,1679317670463
1679317668885,1679317670535
1679317675241,1679317675356
1679317675365,1679317675461
1679317675322,1679317675480
1679317675368,1679317675531
1679317675592,1679317675705
1679317675545,1679317675714
1679317675445,1679317675749
1679317675572,1679317675764
1679317675674,1679317675797
1679317675501,1679317675807
1679317675723,1679317675834
1679317675492,1679317675856
1679317675944,1679317675994
1679317675829,1679317676014
1679317675758,1679317676033
1679317676064,1679317676105
1679317676012,1679317676140
1679317676054,1679317676173
1679317675856,1679317676173
1679317676091,1679317676219
1679317676060,1679317676224
1679317676476,1679317676575
1679317676624,1679317676732
1679317676594,1679317676749
1679317677084,1679317677125
1679317676975,1679317677166
1679317677284,1679317677416
1679317677190,1679317677424
1679317677315,1679317677463
1679317677471,1679317677515
1679317677385,1679317677607
1679317677436,1679317677687
1679317677643,1679317677755
1679317677689,1679317677784
1679317677459,1679317677802
1679317677816,1679317677855
1679317677719,1679317677866
1679317677692,1679317677881
1679317677757,1679317677931
1679317677956,1679317678038
1679317677978,1679317678150
1679317678066,1679317678299
1679317678199,1679317678313
1679317678317,1679317678509
1679317678583,1679317678656
1679317678555,1679317678790
1679317678786,1679317678854
1679317678747,1679317678884
1679317678908,1679317678967
1679317679041,1679317679124
1679317679190,1679317679342
1679317679242,1679317679346
1679317679225,1679317679429
1679317679358,1679317679465
1679317679285,1679317679550
1679317679433,1679317679617
1679317679285,1679317679619
1679317679491,1679317679628
1679317679680,1679317679737
1679317679719,1679317679796
1679317679756,1679317679884
1679317679744,1679317680039
1679317680087,1679317680114
1679317679852,1679317680128
1679317679944,1679317680161
1679317680133,1679317680178
1679317680022,1679317680200
1679317680107,1679317680213
1679317680131,1679317680260
1679317680077,1679317680281
1679317680408,1679317680463
1679317680399,1679317680484
1679317680122,1679317680527
1679317680531,1679317680697
1679317680603,1679317680824
1679317680776,1679317680827
1679317680811,1679317680907
1679317680996,1679317681020
1679317681057,1679317681093
1679317681063,1679317681192
1679317681016,1679317681295
1679317681111,1679317681407
1679317681249,1679317681441
1679317681072,1679317681548
1679317681443,1679317681578
1679317681428,1679317681614
1679317681514,1679317681714
1679317681623,1679317681741
1679317681742,1679317681852
1679317681704,1679317681855
1679317681766,1679317681918
1679317681907,1679317682065
1679317682086,1679317682140
1679317681858,1679317682193
1679317681913,1679317682247
1679317682149,1679317682262
1679317682075,1679317682319
1679317682275,1679317682444
1679317682364,1679317682450
1679317682128,1679317682453
1679317682038,1679317682474
1679317682336,1679317682514
1679317682147,1679317682538
1679317682615,1679317682681
1679317682631,1679317682751
1679317682779,1679317682855
1679317682855,1679317683081
1679317683315,1679317683367
1679317683355,1679317683427
1679317683578,1679317683607
1679317683561,1679317683618
1679317683672,1679317683731
1679317683663,1679317683761
1679317683587,1679317683784
1679317683716,1679317683802
1679317683601,1679317683859
1679317683577,1679317683869
1679317683068,1679317683881
1679317683771,1679317683888
1679317683777,1679317683889
1679317683856,1679317684031
1679317683976,1679317684124
1679317684016,1679317684252
1679317684196,1679317684308
1679317684551,1679317684600
1679317684422,1679317684704
1679317684664,1679317684785
1679317684656,1679317684832
1679317684763,1679317684906
1679317684844,1679317684910
1679317684917,1679317684983
1679317684889,1679317685113
1679317685209,1679317685255
1679317685216,1679317685294
1679317685223,1679317685341
1679317685297,1679317685390
1679317685294,1679317685461
1679317685094,1679317685492
1679317685365,1679317685539
1679317685405,1679317685561
1679317685221,1679317685684
1679317685520,1679317685691
1679317685239,1679317685693
1679317685525,1679317685727
1679317685511,1679317685751
1679317685549,1679317685808
1679317685734,1679317685839
1679317686229,1679317686251
1679317686026,1679317686254
1679317686178,1679317686371
1679317686115,1679317686413
1679317686519,1679317686711
1679317686710,1679317686916
1679317686712,1679317686944
1679317687072,1679317687203
1679317687051,1679317687279
1679317687098,1679317687289
1679317687275,1679317687331
1679317687255,1679317687344
1679317687283,1679317687349
1679317687289,1679317687398
1679317687272,1679317687448
1679317687367,1679317687479
1679317687443,1679317687531
1679317687232,1679317687532
1679317687471,1679317687601
1679317687641,1679317687748
1679317687428,1679317687753
1679317687472,1679317687766
1679317687716,1679317687822
1679317687744,1679317687881
1679317687696,1679317687903
1679317687884,1679317687970
1679317687492,1679317688076
1679317688116,1679317688542
1679317688391,1679317688616
1679317688546,1679317688634
1679317688718,1679317688773
1679317688658,1679317688825
1679317688868,1679317689015
1679317688972,1679317689106
1679317689009,1679317689147
1679317689020,1679317689207
1679317689154,1679317689479
1679317689284,1679317689499
1679317689331,1679317689547
1679317689198,1679317689553
1679317689340,1679317689585
1679317689524,1679317689601
1679317689040,1679317689640
1679317689583,1679317689659
1679317689607,1679317689728
1679317689325,1679317689733
1679317689648,1679317689872
1679317689646,1679317689954
1679317689816,1679317690016
1679317689963,1679317690054
1679317689880,1679317690101
1679317690076,1679317690142
1679317689798,1679317690146
1679317690187,1679317690315
1679317690176,1679317690399
1679317690484,1679317690608
1679317690824,1679317690863
1679317690902,1679317691064
1679317690891,1679317691123
1679317691186,1679317691244
1679317691166,1679317691315
1679317691335,1679317691391
1679317691218,1679317691414
1679317691192,1679317691456
1679317691417,1679317691484
1679317691421,1679317691544
1679317691487,1679317691556
1679317691422,1679317691581
1679317691588,1679317691639
1679317691409,1679317691709
1679317691476,1679317691750
1679317691638,1679317691799
1679317691491,1679317691866
1679317691420,1679317691877
1679317691680,1679317691947
1679317691827,1679317691988
1679317691838,1679317692045
1679317692040,1679317692117
1679317692144,1679317692468
1679317692235,1679317692469
1679317692443,1679317692520
1679317692726,1679317692848
1679317692729,1679317692850
1679317692920,1679317692994
1679317693152,1679317693331
1679317693069,1679317693471
1679317693335,1679317693505
1679317693440,1679317693564
1679317693011,1679317693576
1679317693551,1679317693644
1679317693711,1679317693859
1679317693623,1679317693862
1679317693671,1679317693870
1679317693929,1679317694018
1679317694020,1679317694178
1679317694075,1679317694182
1679317694154,1679317694233
1679317694156,1679317694253
1679317694045,1679317694335
1679317694136,1679317694382
1679317694086,1679317694431
1679317694391,1679317694573
1679317694610,1679317694650
1679317694254,1679317694677
1679317694823,1679317694880
1679317694883,1679317695024
1679317694853,1679317695072
1679317695206,1679317695247
1679317695220,1679317695283
1679317695123,1679317695309
1679317695240,1679317695341
1679317695256,1679317695403
1679317695344,1679317695437
1679317695434,1679317695491
1679317695318,1679317695499
1679317695490,1679317695590
1679317695501,1679317695600
1679317695522,1679317695616
1679317695497,1679317695630
1679317695502,1679317695660
1679317695496,1679317695672
1679317695479,1679317695676
1679317695599,1679317695704
1679317695491,1679317695789
1679317695202,1679317695816
1679317695792,1679317695828
1679317695575,1679317695837
1679317695910,1679317696020
1679317696012,1679317696139
1679317696303,1679317696382
1679317696445,1679317696579
1679317696699,1679317697113
1679317697145,1679317697198
1679317697175,1679317697271
1679317697206,1679317697342
1679317697199,1679317697366
1679317697182,1679317697401
1679317697235,1679317697421
1679317697156,1679317697424
1679317697102,1679317697541
1679317697667,1679317697708
1679317697667,1679317697750
1679317697604,1679317697774
1679317697639,1679317698062
1679317697789,1679317698069
1679317697736,1679317698072
1679317697958,1679317698155
1679317698192,1679317698340
1679317698301,1679317698343
1679317698294,1679317698365
1679317698262,1679317698533
1679317698466,1679317698583
1679317698228,1679317698637
1679317698577,1679317698761
1679317698579,1679317698810
1679317698432,1679317698825
1679317698731,1679317698860
1679317698796,1679317698894
1679317698671,1679317698897
1679317698709,1679317699008
1679317698875,1679317699050
1679317698829,1679317699204
1679317698915,1679317699214
1679317699059,1679317699223
1679317699045,1679317699244
1679317699236,1679317699395
1679317699306,1679317699479
1679317699564,1679317699645
1679317699523,1679317699655
1679317699284,1679317699831
1679317699780,1679317699908
1679317699849,1679317699916
1679317699955,1679317700025
1679317699784,1679317700107
1679317699963,1679317700153
1679317699931,1679317700182
1679317700060,1679317700196
1679317700128,1679317700208
1679317700160,1679317700338
1679317700369,1679317700403
1679317700248,1679317700443
1679317700422,1679317700459
1679317700344,1679317700470
1679317700464,1679317700607
1679317700397,1679317700664
1679317700490,1679317700706
1679317700744,1679317700891
1679317700782,1679317701035
1679317700782,1679317701057
1679317700788,1679317701058
1679317701223,1679317701280
1679317701214,1679317701344
1679317701271,1679317701356
1679317701274,1679317701371
1679317701192,1679317701388
1679317701246,1679317701533
1679317701193,1679317701538
1679317701487,1679317701589
1679317701471,1679317701641
1679317701687,1679317701724
1679317701555,1679317701823
1679317701522,1679317701876
1679317701786,1679317701913
1679317701826,1679317701963
1679317701923,1679317702007
1679317701674,1679317702060
1679317701880,1679317702089
1679317701956,1679317702128
1679317701923,1679317702155
