st,end
1679483118581,1679483120566
1679483118783,1679483120566
1679483118745,1679483120566
1679483118579,1679483120566
1679483118954,1679483120628
1679483118582,1679483120632
1679483118578,1679483120671
1679483118627,1679483120681
1679483118987,1679483120700
1679483118620,1679483120719
1679483118853,1679483120722
1679483118586,1679483120732
1679483118657,1679483120735
1679483118698,1679483120736
1679483119131,1679483120750
1679483118580,1679483120756
1679483118655,1679483120767
1679483118585,1679483120789
1679483118583,1679483120791
1679483118578,1679483120813
1679483118581,1679483120827
1679483118579,1679483120895
1679483119265,1679483120905
1679483118584,1679483120913
1679483118660,1679483120913
1679483118580,1679483120933
1679483118583,1679483120938
1679483120833,1679483121081
1679483122144,1679483122494
1679483122324,1679483122501
1679483122346,1679483122527
1679483122483,1679483122735
1679483122607,1679483122838
1679483122639,1679483122871
1679483122617,1679483122915
1679483122831,1679483122986
1679483122813,1679483123001
1679483122741,1679483123024
1679483122856,1679483123144
1679483122930,1679483123232
1679483123221,1679483123418
1679483123324,1679483123584
1679483123323,1679483123605
1679483123261,1679483123660
1679483123353,1679483123672
1679483123234,1679483123676
1679483123350,1679483123681
1679483123436,1679483123702
1679483123541,1679483123762
1679483123591,1679483123770
1679483123800,1679483123961
1679483123736,1679483124003
1679483123759,1679483124024
1679483123910,1679483124090
1679483123823,1679483124154
1679483123983,1679483124222
1679483123981,1679483124289
1679483123929,1679483124313
1679483123970,1679483124325
1679483124174,1679483124474
1679483124181,1679483124538
1679483124516,1679483124776
1679483124601,1679483124902
1679483124679,1679483124945
1679483124657,1679483124957
1679483124870,1679483125025
1679483124873,1679483125061
1679483124851,1679483125097
1679483124739,1679483125122
1679483124873,1679483125136
1679483124744,1679483125165
1679483124848,1679483125234
1679483125082,1679483125283
1679483125142,1679483125358
1679483125013,1679483125358
1679483125235,1679483125466
1679483125295,1679483125546
1679483125336,1679483125546
1679483125220,1679483125554
1679483125180,1679483125591
1679483125471,1679483125607
1679483125447,1679483125674
1679483125460,1679483125674
1679483125471,1679483125702
1679483125363,1679483125731
1679483125440,1679483125738
1679483125676,1679483125938
1679483125757,1679483126027
1679483125834,1679483126192
1679483125948,1679483126297
1679483126305,1679483126426
1679483126131,1679483126436
1679483126042,1679483126480
1679483126383,1679483126537
1679483126445,1679483126757
1679483126526,1679483126759
1679483126558,1679483126783
1679483126600,1679483126932
1679483126800,1679483127032
1679483126675,1679483127070
1679483126883,1679483127215
1679483127000,1679483127223
1679483127037,1679483127310
1679483126934,1679483127327
1679483127252,1679483127424
1679483127270,1679483127468
1679483127299,1679483127496
1679483127229,1679483127522
1679483127370,1679483127607
1679483127383,1679483127613
1679483127425,1679483127747
1679483127586,1679483127795
1679483127488,1679483127853
1679483127676,1679483127893
1679483127678,1679483127918
1679483127717,1679483127942
1679483127779,1679483127948
1679483127613,1679483128018
1679483127662,1679483128063
1679483127846,1679483128098
1679483127658,1679483128112
1679483127774,1679483128114
1679483128332,1679483128474
1679483128266,1679483128509
1679483128186,1679483128529
1679483128474,1679483128654
1679483128370,1679483128667
1679483128488,1679483128705
1679483128559,1679483128755
1679483128542,1679483128892
1679483128538,1679483128898
1679483128708,1679483128922
1679483128537,1679483128930
1679483128723,1679483128958
1679483128809,1679483129042
1679483128860,1679483129099
1679483128886,1679483129112
1679483128819,1679483129192
1679483128940,1679483129199
1679483129013,1679483129277
1679483129215,1679483129394
1679483129279,1679483129412
1679483128991,1679483129416
1679483129155,1679483129421
1679483129164,1679483129433
1679483129344,1679483129617
1679483129416,1679483129643
1679483129319,1679483129655
1679483129585,1679483129723
1679483129409,1679483129740
1679483129482,1679483129747
1679483129617,1679483129893
1679483129638,1679483129930
1679483129974,1679483130228
1679483129884,1679483130229
1679483129922,1679483130264
1679483130135,1679483130336
1679483130218,1679483130450
1679483130278,1679483130472
1679483130296,1679483130583
1679483130485,1679483130726
1679483130429,1679483130734
1679483130425,1679483130767
1679483130541,1679483130782
1679483130612,1679483130847
1679483130610,1679483130887
1679483130699,1679483130909
1679483130829,1679483130977
1679483130856,1679483131060
1679483130968,1679483131150
1679483130890,1679483131227
1679483130907,1679483131232
1679483131157,1679483131462
1679483131130,1679483131481
1679483131118,1679483131482
1679483131223,1679483131532
1679483131344,1679483131540
1679483131176,1679483131638
1679483131423,1679483131686
1679483131483,1679483131725
1679483131353,1679483131753
1679483131562,1679483131803
1679483131631,1679483131858
1679483131572,1679483131920
1679483131819,1679483131994
1679483131494,1679483132002
1679483132039,1679483132210
1679483132032,1679483132277
1679483132021,1679483132302
1679483132166,1679483132304
1679483132154,1679483132502
1679483132415,1679483132556
1679483132117,1679483132596
1679483132273,1679483132605
1679483132307,1679483132615
1679483132494,1679483132737
1679483132592,1679483132748
1679483132512,1679483132752
1679483132692,1679483132869
1679483132696,1679483132897
1679483132761,1679483133011
1679483132727,1679483133093
1679483132886,1679483133151
1679483133066,1679483133314
1679483133208,1679483133408
1679483133164,1679483133499
1679483133421,1679483133571
1679483133377,1679483133606
1679483133368,1679483133635
1679483133462,1679483133650
1679483133710,1679483133885
1679483133628,1679483133906
1679483133557,1679483133962
1679483133774,1679483133992
1679483133814,1679483134034
1679483133911,1679483134142
1679483133978,1679483134231
1679483134097,1679483134362
1679483134247,1679483134428
1679483134361,1679483134522
1679483134269,1679483134535
1679483134362,1679483134602
1679483134452,1679483134646
1679483134453,1679483134678
1679483134523,1679483134741
1679483134537,1679483134758
1679483134602,1679483134945
1679483134821,1679483134995
1679483134704,1679483135042
1679483135093,1679483135246
1679483135112,1679483135291
1679483135068,1679483135346
1679483135249,1679483135454
1679483135062,1679483135457
1679483135170,1679483135469
1679483135215,1679483135523
1679483135331,1679483135562
1679483135411,1679483135645
1679483135483,1679483135645
1679483135457,1679483135668
1679483135665,1679483135933
1679483135712,1679483135942
1679483135731,1679483136099
1679483135885,1679483136112
1679483135960,1679483136172
1679483135990,1679483136256
1679483136083,1679483136316
1679483136063,1679483136332
1679483136190,1679483136404
1679483136261,1679483136467
1679483136403,1679483136511
1679483136424,1679483136707
1679483136445,1679483136709
1679483136526,1679483136802
1679483136652,1679483136891
1679483136765,1679483136982
1679483136717,1679483136994
1679483136765,1679483137068
1679483136915,1679483137162
1679483136945,1679483137208
1679483137056,1679483137266
1679483137131,1679483137309
1679483137103,1679483137440
1679483137241,1679483137522
1679483137345,1679483137640
1679483137472,1679483137682
1679483137274,1679483137690
1679483137471,1679483137731
1679483137525,1679483137736
1679483137548,1679483137774
1679483137402,1679483137784
1679483137650,1679483137815
1679483137564,1679483137890
1679483137644,1679483137921
1679483137632,1679483137947
1679483137670,1679483137960
1679483137805,1679483137975
1679483137797,1679483138028
1679483137859,1679483138163
1679483138030,1679483138303
1679483138031,1679483138384
1679483138158,1679483138404
1679483138115,1679483138448
1679483138087,1679483138452
1679483137914,1679483138453
1679483138169,1679483138511
1679483138258,1679483138533
1679483138355,1679483138535
1679483138158,1679483138616
1679483138485,1679483138739
1679483138485,1679483138771
1679483138650,1679483138789
1679483138592,1679483138877
1679483138650,1679483138986
1679483138935,1679483139109
1679483138910,1679483139114
1679483138911,1679483139169
1679483138851,1679483139214
1679483139143,1679483139288
1679483139048,1679483139325
