st,end
1679549110172,1679549110530
1679549110179,1679549110593
1679549109980,1679549110677
1679549110354,1679549110687
1679549110231,1679549110705
1679549110204,1679549110723
1679549110284,1679549110735
1679549109980,1679549110748
1679549110035,1679549110808
1679549109981,1679549110844
1679549110154,1679549110917
1679549110515,1679549111025
1679549110338,1679549111027
1679549109998,1679549111066
1679549110097,1679549111087
1679549110339,1679549111112
1679549110516,1679549111165
1679549110371,1679549111169
1679549110288,1679549111171
1679549110016,1679549111200
1679549110037,1679549111234
1679549110249,1679549111261
1679549110305,1679549111304
1679549110053,1679549111350
1679549110038,1679549111390
1679549110081,1679549111439
1679549110286,1679549111793
1679549113376,1679549113417
1679549115736,1679549115774
1679549115776,1679549115859
1679549116004,1679549116037
1679549115780,1679549116052
1679549116061,1679549116182
1679549116193,1679549116351
1679549116190,1679549116351
1679549116339,1679549116375
1679549116260,1679549116417
1679549116200,1679549116422
1679549116356,1679549116490
1679549116458,1679549116528
1679549116378,1679549116599
1679549116599,1679549116617
1679549116341,1679549116621
1679549116683,1679549116729
1679549116411,1679549116766
1679549116550,1679549116780
1679549116445,1679549116862
1679549116808,1679549116892
1679549116589,1679549116921
1679549116889,1679549116939
1679549116869,1679549116985
1679549117059,1679549117092
1679549117161,1679549117243
1679549117015,1679549117274
1679549116467,1679549117278
1679549117086,1679549117288
1679549117019,1679549117421
1679549117422,1679549117537
1679549117605,1679549117658
1679549117530,1679549117696
1679549117604,1679549117698
1679549117697,1679549117781
1679549117926,1679549117968
1679549117994,1679549118013
1679549117960,1679549118134
1679549118071,1679549118144
1679549118214,1679549118332
1679549118229,1679549118390
1679549118322,1679549118417
1679549118373,1679549118473
1679549118319,1679549118528
1679549118483,1679549118595
1679549118506,1679549118712
1679549118481,1679549118773
1679549118770,1679549118806
1679549118622,1679549118841
1679549118803,1679549118866
1679549118245,1679549118893
1679549118754,1679549118972
1679549118953,1679549119010
1679549118998,1679549119102
1679549119255,1679549119273
1679549119251,1679549119346
1679549119334,1679549119387
1679549119346,1679549119402
1679549119369,1679549119448
1679549119313,1679549119453
1679549119321,1679549119467
1679549119398,1679549119494
1679549119338,1679549119501
1679549119420,1679549119618
1679549119567,1679549119643
1679549119624,1679549119696
1679549119805,1679549119951
1679549119898,1679549119995
