st,end
1679468705217,1679468705840
1679468705213,1679468705840
1679468705216,1679468705849
1679468705209,1679468705947
1679468705219,1679468705977
1679468705207,1679468706003
1679468705211,1679468706020
1679468705213,1679468706026
1679468705228,1679468706027
1679468705224,1679468706046
1679468705215,1679468706057
1679468705209,1679468706073
1679468705218,1679468706094
1679468705212,1679468706167
1679468705217,1679468706181
1679468705210,1679468706184
1679468705210,1679468706215
1679468705208,1679468706257
1679468705212,1679468706313
1679468705227,1679468706324
1679468705228,1679468706334
1679468705225,1679468706388
1679468705214,1679468706427
1679468705216,1679468706428
1679468705226,1679468706456
1679468705207,1679468706479
1679468705208,1679468706536
1679468708895,1679468708992
1679468710970,1679468711009
1679468711318,1679468711335
1679468711354,1679468711382
1679468711367,1679468711391
1679468711365,1679468711394
1679468711362,1679468711394
1679468711479,1679468711505
1679468711460,1679468711512
1679468711505,1679468711549
1679468711581,1679468711614
1679468711585,1679468711614
1679468711660,1679468711706
1679468711685,1679468711712
1679468711685,1679468711723
1679468711723,1679468711750
1679468711701,1679468711776
1679468711735,1679468711810
1679468711763,1679468711824
1679468711832,1679468711903
1679468711945,1679468711956
1679468711968,1679468711987
1679468711937,1679468712000
1679468711977,1679468712028
1679468711906,1679468712032
1679468712022,1679468712066
1679468711964,1679468712105
1679468712000,1679468712151
1679468712046,1679468712172
1679468712735,1679468712826
1679468712926,1679468712972
1679468712913,1679468713015
1679468712989,1679468713017
1679468712974,1679468713051
1679468713082,1679468713096
1679468712930,1679468713124
1679468713079,1679468713150
1679468713156,1679468713255
1679468713156,1679468713327
1679468713288,1679468713340
1679468713249,1679468713428
1679468713526,1679468713641
1679468713702,1679468713733
1679468713730,1679468713744
1679468713653,1679468713753
1679468713770,1679468713789
1679468713778,1679468713799
1679468713797,1679468713830
1679468713776,1679468713841
1679468713813,1679468713856
1679468713766,1679468713860
1679468713838,1679468713871
1679468713872,1679468713891
1679468713972,1679468713984
1679468713989,1679468714004
1679468713993,1679468714034
1679468714015,1679468714064
1679468714112,1679468714143
1679468714136,1679468714198
1679468714234,1679468714248
1679468714332,1679468714380
1679468714363,1679468714398
1679468714373,1679468714437
1679468714537,1679468714636
1679468714629,1679468714652
1679468714618,1679468714697
1679468714732,1679468714792
1679468714673,1679468714795
1679468714756,1679468714928
1679468714931,1679468715003
1679468715092,1679468715131
1679468715103,1679468715164
1679468715214,1679468715258
1679468715421,1679468715457
1679468715494,1679468715514
1679468715617,1679468715652
1679468715688,1679468715724
1679468715826,1679468715856
1679468715822,1679468715860
1679468715941,1679468716004
1679468716018,1679468716056
1679468716028,1679468716061
1679468716137,1679468716153
1679468716166,1679468716228
1679468716276,1679468716327
1679468716823,1679468716891
1679468716883,1679468716897
1679468716903,1679468716919
1679468716910,1679468717021
1679468716991,1679468717028
1679468717061,1679468717076
1679468717077,1679468717120
1679468717152,1679468717162
1679468717212,1679468717227
1679468717412,1679468717458
1679468717449,1679468717461
1679468717503,1679468717566
1679468717568,1679468717654
1679468717680,1679468717703
1679468717750,1679468717800
1679468717769,1679468717815
1679468717812,1679468717824
1679468717781,1679468717852
1679468717782,1679468717859
1679468717859,1679468717918
1679468717830,1679468717951
1679468717939,1679468718039
1679468718008,1679468718057
1679468718064,1679468718081
1679468718100,1679468718139
1679468718136,1679468718208
1679468718271,1679468718379
1679468718155,1679468718394
1679468718225,1679468718395
1679468718216,1679468718419
