st,end
1679478999134,1679478999491
1679478999167,1679478999491
1679478999011,1679478999491
1679478999371,1679478999491
1679478999034,1679478999516
1679478999272,1679478999560
1679478999424,1679478999577
1679478999471,1679478999577
1679478999426,1679478999613
1679478999448,1679478999613
1679478999012,1679478999667
1679478999587,1679478999675
1679478999509,1679478999692
1679478999248,1679478999708
1679478999560,1679478999728
1679478999084,1679478999776
1679478999551,1679478999793
1679478999583,1679478999795
1679478999673,1679478999887
1679478999857,1679478999901
1679478999186,1679478999927
1679478999472,1679478999934
1679478999588,1679478999999
1679478999101,1679479000051
1679478999606,1679479000107
1679479000101,1679479000131
1679479000101,1679479000145
1679478999010,1679479000161
1679479000101,1679479000215
1679478999538,1679479000224
1679479000195,1679479000227
1679479000261,1679479000284
1679479000396,1679479000430
1679479000293,1679479000440
1679479000639,1679479000708
1679479000690,1679479000714
1679479000551,1679479000718
1679479000785,1679479000820
1679479000504,1679479000847
1679479000848,1679479000864
1679479000644,1679479000909
1679479000905,1679479000927
1679479000843,1679479000960
1679479000882,1679479000960
1679479000935,1679479000985
1679479000986,1679479000994
1679479001058,1679479001106
1679479001038,1679479001106
1679479001083,1679479001118
1679479001104,1679479001192
1679479001202,1679479001239
1679479001259,1679479001281
1679479001331,1679479001349
1679479001466,1679479001497
1679479002055,1679479002106
1679479002264,1679479002340
1679479004018,1679479004047
1679479004046,1679479004182
1679479004005,1679479004194
1679479003923,1679479004205
1679479004110,1679479004219
1679479004214,1679479004262
1679479004232,1679479004330
1679479004304,1679479004332
1679479004294,1679479004365
1679479004316,1679479004441
1679479004445,1679479004469
1679479004368,1679479004483
1679479004444,1679479004494
1679479004455,1679479004547
1679479004538,1679479004548
1679479004542,1679479004555
1679479004530,1679479004555
1679479004524,1679479004600
1679479004556,1679479004637
1679479004618,1679479004726
1679479004530,1679479004818
1679479004733,1679479004818
1679479004778,1679479004832
1679479004653,1679479004909
1679479004706,1679479004935
1679479004880,1679479005014
1679479004708,1679479005042
1679479004813,1679479005095
1679479005033,1679479005163
1679479005147,1679479005196
1679479005151,1679479005197
1679479004824,1679479005229
1679479004700,1679479005258
1679479004586,1679479005283
1679479005076,1679479005316
1679479004705,1679479005336
1679479005025,1679479005358
1679479005243,1679479005361
1679479005373,1679479005396
1679479004751,1679479005401
1679479005108,1679479005401
1679479005252,1679479005473
1679479004731,1679479005499
1679479004780,1679479005503
1679479005315,1679479005547
1679479004978,1679479005608
1679479005111,1679479005616
1679479005086,1679479005662
1679479005107,1679479005664
1679479005396,1679479005671
1679479005693,1679479005734
1679479005010,1679479005755
1679479005509,1679479005787
1679479005498,1679479005871
1679479004681,1679479005891
1679479005270,1679479005895
1679479005755,1679479005904
1679479005699,1679479005919
1679479005912,1679479005979
1679479005833,1679479005999
1679479005978,1679479006000
1679479005657,1679479006102
1679479005561,1679479006159
1679479005433,1679479006184
1679479005792,1679479006204
1679479005904,1679479006214
1679479006179,1679479006238
1679479005900,1679479006276
1679479006220,1679479006299
1679479006298,1679479006318
1679479006048,1679479006321
1679479006181,1679479006331
1679479005772,1679479006341
1679479006305,1679479006390
1679479006286,1679479006420
1679479006359,1679479006505
1679479006317,1679479006522
1679479006540,1679479006552
1679479006553,1679479006567
1679479006362,1679479006576
1679479006249,1679479006607
1679479006586,1679479006626
1679479006571,1679479006628
1679479006652,1679479006687
1679479006017,1679479006722
1679479006731,1679479006799
1679479006790,1679479006803
1679479006794,1679479006805
1679479006745,1679479006824
1679479006766,1679479006824
1679479006847,1679479006890
1679479006879,1679479006890
1679479006871,1679479006926
1679479006897,1679479006939
1679479006877,1679479006976
1679479006798,1679479006983
1679479006978,1679479007112
1679479006973,1679479007183
1679479007078,1679479007191
1679479007164,1679479007209
1679479007061,1679479007218
1679479007222,1679479007287
1679479007064,1679479007300
1679479007309,1679479007401
1679479007425,1679479007433
1679479007459,1679479007491
1679479007418,1679479007505
1679479007458,1679479007565
1679479007569,1679479007679
1679479007600,1679479007681
1679479007730,1679479007796
1679479007478,1679479007830
1679479007778,1679479007840
1679479007784,1679479007872
