st,end
1676693110390,1676693117401
1676693110375,1676693117417
1676693110462,1676693117617
1676693110326,1676693117677
1676693110426,1676693117773
1676693110383,1676693117785
1676693110454,1676693117841
1676693111502,1676693117869
1676693110337,1676693117877
1676693110483,1676693117969
1676693110316,1676693118025
1676693110331,1676693118057
1676693110395,1676693118097
1676693110473,1676693118105
1676693110398,1676693118118
1676693110403,1676693118125
1676693110467,1676693118129
1676693110290,1676693118265
1676693110442,1676693118265
1676693110487,1676693118321
1676693110462,1676693118400
1676693117407,1676693118437
1676693110348,1676693118468
1676693110404,1676693118481
1676693115540,1676693118501
1676693110368,1676693118512
1676693110432,1676693118517
1676693110351,1676693118561
1676693110493,1676693118649
1676693110469,1676693118700
1676693110375,1676693118732
1676693110412,1676693118769
1676693110443,1676693118777
1676693110420,1676693118825
1676693113517,1676693118948
1676693110432,1676693119021
1676693110446,1676693119165
1676693117778,1676693119172
1676693114524,1676693119205
1676693110360,1676693119253
1676693117790,1676693119261
1676693117422,1676693119340
1676693110429,1676693119370
1676693117622,1676693119425
1676693117683,1676693119541
1676693110476,1676693119581
1676693117846,1676693119625
1676693118134,1676693119629
1676693118110,1676693119645
1676693117552,1676693119777
1676693117974,1676693119793
1676693118030,1676693119825
1676693118270,1676693119836
1676693117882,1676693119893
1676693117875,1676693119974
1676693118062,1676693119976
1676693118130,1676693119985
1676693118102,1676693120024
1676693118122,1676693120032
1676693118654,1676693120200
1676693118486,1676693120225
1676693118782,1676693120401
1676693118736,1676693120569
1676693118326,1676693120665
1676693118566,1676693120709
1676693119174,1676693120721
1676693118517,1676693120773
1676693119025,1676693120869
1676693118506,1676693120893
1676693118522,1676693120933
1676693118472,1676693120940
1676693119426,1676693120997
1676693119170,1676693121049
1676693119263,1676693121065
1676693118830,1676693121116
1676693119376,1676693121152
1676693119210,1676693121173
1676693118774,1676693121211
1676693118952,1676693121241
1676693118404,1676693121268
1676693118565,1676693121289
1676693119257,1676693121373
1676693119646,1676693121601
1676693119586,1676693121604
1676693119782,1676693121717
1676693119795,1676693121737
1676693119894,1676693121796
1676693119542,1676693121821
1676693119579,1676693121824
1676693118704,1676693121900
1676693120403,1676693121952
1676693119838,1676693121954
1676693118439,1676693121969
1676693119627,1676693122025
1676693119827,1676693122077
1676693120034,1676693122109
1676693121067,1676693122115
1676693118270,1676693122177
1676693120227,1676693122180
1676693119976,1676693122196
1676693120025,1676693122233
1676693120723,1676693122233
1676693120201,1676693122249
