st,end
1677001425214,1677001425785
1677001425196,1677001425785
1677001425187,1677001425785
1677001425191,1677001425785
1677001425180,1677001425847
1677001425182,1677001425893
1677001425223,1677001425912
1677001425200,1677001425918
1677001425222,1677001425925
1677001425183,1677001425955
1677001425182,1677001425962
1677001425199,1677001425963
1677001425195,1677001425999
1677001425219,1677001426005
1677001425221,1677001426028
1677001425197,1677001426029
1677001425193,1677001426054
1677001425179,1677001426081
1677001425185,1677001426089
1677001425189,1677001426094
1677001425189,1677001426120
1677001425184,1677001426170
1677001425197,1677001426216
1677001425192,1677001426218
1677001425184,1677001426261
1677001425224,1677001426264
1677001425198,1677001426284
1677001425179,1677001426285
1677001425186,1677001426369
1677001425196,1677001426384
1677001425180,1677001426394
1677001425216,1677001426401
1677001425188,1677001426414
1677001425194,1677001426446
1677001425217,1677001426461
1677001425181,1677001426499
1677001425214,1677001426514
1677001425218,1677001426533
1677001425186,1677001426541
1677001425180,1677001426583
1677001431471,1677001431487
1677001431452,1677001431519
1677001431637,1677001431665
1677001431796,1677001431862
1677001431849,1677001431878
1677001431756,1677001431892
1677001431936,1677001431969
1677001432023,1677001432035
1677001432097,1677001432261
1677001432170,1677001432277
1677001432228,1677001432316
1677001432198,1677001432332
1677001432304,1677001432391
1677001432395,1677001432417
1677001432175,1677001432424
1677001432465,1677001432514
1677001432590,1677001432664
1677001432661,1677001432678
1677001432668,1677001432681
1677001432727,1677001432740
1677001432766,1677001432783
1677001432766,1677001432785
1677001432796,1677001432814
1677001432792,1677001432814
1677001432798,1677001432839
1677001432807,1677001432861
1677001432724,1677001432861
1677001432798,1677001432902
1677001432892,1677001432904
1677001432969,1677001432980
1677001432990,1677001433004
1677001433001,1677001433066
1677001433053,1677001433072
1677001433117,1677001433130
1677001433118,1677001433133
1677001433161,1677001433175
1677001433189,1677001433225
1677001433213,1677001433244
1677001433245,1677001433264
1677001433218,1677001433308
1677001433218,1677001433308
1677001433405,1677001433441
1677001433429,1677001433496
1677001433364,1677001433545
1677001433415,1677001433609
1677001433502,1677001433725
1677001433651,1677001433812
1677001433697,1677001433825
1677001433811,1677001433837
1677001433834,1677001433855
1677001433792,1677001433925
1677001433953,1677001433965
1677001433955,1677001433968
1677001434008,1677001434017
1677001433990,1677001434051
1677001434161,1677001434172
1677001434271,1677001434283
1677001434292,1677001434303
1677001434304,1677001434337
1677001434328,1677001434351
1677001434293,1677001434352
1677001434474,1677001434504
1677001434549,1677001434571
1677001434543,1677001434598
1677001434669,1677001434684
1677001434578,1677001434702
1677001434641,1677001434745
1677001434816,1677001434839
1677001434782,1677001434841
1677001434799,1677001434908
1677001434877,1677001434946
1677001435026,1677001435035
1677001435003,1677001435091
1677001435136,1677001435169
1677001435193,1677001435227
1677001435362,1677001435414
1677001435661,1677001435679
1677001435693,1677001435755
1677001435713,1677001435770
1677001435612,1677001435779
1677001435766,1677001435787
1677001435762,1677001435892
1677001435936,1677001435958
1677001435961,1677001435994
1677001435984,1677001435998
1677001436010,1677001436027
1677001436010,1677001436040
1677001435932,1677001436052
1677001435934,1677001436067
1677001435942,1677001436088
1677001436069,1677001436110
1677001436080,1677001436122
1677001435984,1677001436142
1677001436040,1677001436146
1677001436141,1677001436152
1677001435984,1677001436179
1677001436068,1677001436179
1677001436152,1677001436180
1677001436197,1677001436205
1677001436242,1677001436261
1677001436248,1677001436289
1677001436229,1677001436327
1677001436303,1677001436335
1677001436298,1677001436370
1677001436358,1677001436506
1677001436492,1677001436510
1677001436414,1677001436535
1677001436549,1677001436583
1677001436524,1677001436605
1677001436563,1677001436608
1677001436596,1677001436649
1677001436621,1677001436653
1677001436681,1677001436700
1677001436681,1677001436766
1677001436757,1677001436788
1677001436883,1677001436954
1677001436892,1677001436954
1677001436961,1677001436983
1677001436987,1677001436996
1677001437006,1677001437018
1677001436987,1677001437024
1677001437117,1677001437138
1677001437182,1677001437216
1677001437339,1677001437369
1677001437295,1677001437383
1677001437346,1677001437385
1677001437382,1677001437392
1677001437448,1677001437498
1677001437486,1677001437505
1677001437487,1677001437505
1677001437729,1677001437742
1677001437729,1677001437756
1677001437752,1677001437772
1677001437760,1677001437827
1677001437863,1677001437878
1677001437840,1677001437885
1677001437863,1677001437967
1677001437960,1677001437988
1677001437992,1677001438001
1677001438028,1677001438038
1677001438029,1677001438038
1677001438009,1677001438050
1677001438030,1677001438054
1677001438077,1677001438086
1677001438097,1677001438127
1677001438129,1677001438152
1677001438226,1677001438236
1677001438223,1677001438247
1677001438250,1677001438262
1677001438372,1677001438407
1677001438380,1677001438434
1677001438479,1677001438512
1677001438538,1677001438552
1677001438520,1677001438558
1677001438555,1677001438592
1677001438627,1677001438650
1677001438608,1677001438695
1677001438675,1677001438709
1677001438686,1677001438710
1677001438645,1677001438752
1677001438728,1677001438755
