st,end
1677005612214,1677005612447
1677005611933,1677005612447
1677005612162,1677005612474
1677005612410,1677005612485
1677005611933,1677005612491
1677005611934,1677005612501
1677005611932,1677005612502
1677005611948,1677005612520
1677005612068,1677005612533
1677005612133,1677005612540
1677005612202,1677005612566
1677005611930,1677005612568
1677005611930,1677005612574
1677005612163,1677005612580
1677005612310,1677005612586
1677005612399,1677005612629
1677005612105,1677005612629
1677005611932,1677005612645
1677005612067,1677005612654
1677005611994,1677005612698
1677005612418,1677005612703
1677005612734,1677005612746
1677005612032,1677005612764
1677005612581,1677005612783
1677005612683,1677005612793
1677005612191,1677005612793
1677005612640,1677005612815
1677005612755,1677005612911
1677005612341,1677005612929
1677005611931,1677005612965
1677005612597,1677005613027
1677005612808,1677005613027
1677005612974,1677005613061
1677005612604,1677005613104
1677005612400,1677005613125
1677005612474,1677005613191
1677005612143,1677005613192
1677005612237,1677005613199
1677005612407,1677005613254
1677005612267,1677005613274
1677005613242,1677005613286
1677005613299,1677005613311
1677005613421,1677005613458
1677005613388,1677005613511
1677005613438,1677005613525
1677005613351,1677005613563
1677005613650,1677005613673
1677005613605,1677005613694
1677005613484,1677005613703
1677005613593,1677005613709
1677005613703,1677005613722
1677005613755,1677005613769
1677005613692,1677005613832
1677005613840,1677005613859
1677005613625,1677005613889
1677005613896,1677005613911
1677005613814,1677005613916
1677005613893,1677005613922
1677005613908,1677005613963
1677005613932,1677005613985
1677005614024,1677005614046
1677005613995,1677005614116
1677005614081,1677005614120
1677005614099,1677005614198
1677005614156,1677005614243
1677005614242,1677005614264
1677005614167,1677005614271
1677005614099,1677005614303
1677005614583,1677005614604
1677005614634,1677005614706
1677005614714,1677005614730
1677005614654,1677005614757
1677005614725,1677005614772
1677005614588,1677005614807
1677005614923,1677005615200
1677005615118,1677005615207
1677005615014,1677005615278
1677005615388,1677005615441
1677005615201,1677005615470
1677005615433,1677005615473
1677005616977,1677005617075
1677005617155,1677005617222
1677005617178,1677005617322
1677005617314,1677005617502
1677005617203,1677005617510
1677005617547,1677005617566
1677005617584,1677005617642
1677005617604,1677005617659
1677005617668,1677005617685
1677005617680,1677005617689
1677005617703,1677005617732
1677005617731,1677005617809
1677005617746,1677005617823
1677005617659,1677005617836
1677005617768,1677005617860
1677005617778,1677005617875
1677005617891,1677005617915
1677005617878,1677005617951
1677005617980,1677005618016
1677005617970,1677005618096
1677005617909,1677005618136
1677005618040,1677005618146
1677005618024,1677005618179
1677005618188,1677005618204
1677005618081,1677005618241
1677005618234,1677005618289
1677005618213,1677005618294
1677005617738,1677005618302
1677005617907,1677005618321
1677005618046,1677005618334
1677005617917,1677005618381
1677005618341,1677005618394
1677005618317,1677005618406
1677005618257,1677005618408
1677005618342,1677005618432
1677005618333,1677005618439
1677005618406,1677005618444
1677005618214,1677005618446
1677005618381,1677005618456
1677005618494,1677005618504
1677005618434,1677005618512
1677005618444,1677005618520
1677005618328,1677005618527
1677005618458,1677005618537
1677005618481,1677005618593
1677005618046,1677005618660
1677005618469,1677005618710
1677005618244,1677005618718
1677005618329,1677005618718
1677005618544,1677005618789
1677005618513,1677005618805
1677005618078,1677005618824
1677005618754,1677005618842
1677005618802,1677005618870
1677005618800,1677005618873
1677005618867,1677005618910
1677005618798,1677005618922
1677005618599,1677005618945
1677005618898,1677005619000
1677005618614,1677005619063
1677005618907,1677005619069
1677005618872,1677005619075
1677005618834,1677005619090
1677005618167,1677005619138
1677005617953,1677005619175
1677005619178,1677005619223
1677005619072,1677005619231
1677005619038,1677005619279
1677005618807,1677005619315
1677005619129,1677005619362
1677005619204,1677005619397
1677005619071,1677005619483
1677005619349,1677005619489
1677005619290,1677005619518
1677005618925,1677005619543
1677005619076,1677005619555
1677005619618,1677005619640
1677005619484,1677005619678
1677005619395,1677005619704
1677005619498,1677005619716
1677005618914,1677005619737
1677005618753,1677005619751
1677005619718,1677005619763
1677005619534,1677005619771
1677005619717,1677005619780
1677005619128,1677005619790
1677005619765,1677005619822
1677005619629,1677005619835
1677005619711,1677005619857
1677005619776,1677005619871
1677005619434,1677005619885
1677005619879,1677005619899
1677005619792,1677005619911
1677005619880,1677005619928
1677005619780,1677005619991
1677005619957,1677005619991
1677005619993,1677005620038
1677005619321,1677005620063
1677005619908,1677005620063
1677005619968,1677005620087
1677005620083,1677005620107
1677005620150,1677005620321
1677005620130,1677005620339
1677005620096,1677005620339
1677005620317,1677005620356
1677005619979,1677005620377
1677005620388,1677005620412
1677005620408,1677005620424
1677005620361,1677005620430
1677005620431,1677005620473
1677005620490,1677005620516
1677005620479,1677005620533
1677005620490,1677005620549
1677005620537,1677005620620
1677005620525,1677005620654
1677005620664,1677005620684
1677005620705,1677005620721
1677005620454,1677005620728
1677005620625,1677005620770
1677005620756,1677005620783
1677005620599,1677005620787
1677005620706,1677005620794
1677005620804,1677005620817
1677005620786,1677005620832
1677005620766,1677005620842
1677005620597,1677005620870
1677005620829,1677005620886
1677005620862,1677005620918
1677005620884,1677005620931
1677005620787,1677005620934
1677005620889,1677005620944
1677005620725,1677005620979
1677005620873,1677005620986
1677005620965,1677005620990
1677005620865,1677005620992
1677005620860,1677005621001
1677005620992,1677005621020
1677005621016,1677005621037
1677005620853,1677005621042
1677005620807,1677005621047
1677005620951,1677005621080
1677005621025,1677005621088
1677005621047,1677005621106
1677005621088,1677005621107
1677005620860,1677005621116
1677005621095,1677005621139
1677005621074,1677005621148
1677005620890,1677005621159
1677005621160,1677005621168
1677005621124,1677005621207
1677005621141,1677005621207
1677005621180,1677005621269
1677005621227,1677005621278
1677005621161,1677005621291
1677005621220,1677005621300
1677005621293,1677005621313
1677005621234,1677005621342
1677005621315,1677005621348
1677005621264,1677005621364
1677005621314,1677005621415
1677005621134,1677005621422
1677005621215,1677005621434
1677005621470,1677005621483
1677005621478,1677005621490
1677005621451,1677005621517
1677005621405,1677005621523
1677005621338,1677005621526
1677005621506,1677005621528
1677005621475,1677005621531
1677005621518,1677005621562
1677005621565,1677005621578
1677005621525,1677005621643
1677005621608,1677005621665
1677005621587,1677005621666
1677005621629,1677005621666
1677005621638,1677005621716
1677005621674,1677005621771
1677005621715,1677005621784
1677005621666,1677005621787
1677005621829,1677005621843
1677005621613,1677005621846
1677005621564,1677005621860
1677005621808,1677005621866
1677005621847,1677005621866
1677005621882,1677005621897
1677005621788,1677005621908
1677005621920,1677005621995
1677005621963,1677005622000
1677005621994,1677005622006
1677005621972,1677005622019
1677005621932,1677005622037
1677005621881,1677005622062
1677005621950,1677005622066
1677005622050,1677005622067
1677005622053,1677005622078
1677005621994,1677005622142
1677005622116,1677005622147
1677005622189,1677005622219
1677005622157,1677005622239
1677005622250,1677005622258
1677005622197,1677005622267
1677005622153,1677005622306
1677005622265,1677005622323
1677005622245,1677005622325
1677005622284,1677005622325
1677005622322,1677005622328
1677005622130,1677005622388
1677005622116,1677005622418
1677005622375,1677005622423
1677005622399,1677005622432
1677005622362,1677005622446
1677005622423,1677005622492
1677005622499,1677005622505
1677005622503,1677005622527
1677005622470,1677005622534
1677005622393,1677005622548
1677005622418,1677005622566
1677005622542,1677005622572
1677005622475,1677005622573
1677005622570,1677005622576
1677005622418,1677005622577
1677005622635,1677005622654
1677005622616,1677005622700
1677005622553,1677005622712
1677005622447,1677005622726
1677005622687,1677005622738
1677005622721,1677005622740
1677005622718,1677005622774
1677005622737,1677005622784
1677005622618,1677005622798
1677005622579,1677005622802
1677005622802,1677005622865
1677005622828,1677005622870
1677005622846,1677005622893
1677005622878,1677005622912
1677005622818,1677005622914
1677005622907,1677005622923
1677005622909,1677005622934
1677005622577,1677005622949
1677005622853,1677005622956
1677005622880,1677005622956
1677005623010,1677005623044
1677005622888,1677005623062
1677005623031,1677005623070
1677005623045,1677005623079
1677005622891,1677005623123
1677005623120,1677005623132
1677005623101,1677005623174
1677005623101,1677005623176
1677005623061,1677005623197
1677005623192,1677005623209
1677005623209,1677005623226
1677005623169,1677005623239
1677005623167,1677005623247
1677005623110,1677005623279
1677005623174,1677005623299
1677005623300,1677005623340
1677005623292,1677005623347
1677005623399,1677005623415
1677005623434,1677005623440
1677005623371,1677005623451
1677005623423,1677005623490
1677005623379,1677005623544
1677005623397,1677005623546
1677005623314,1677005623576
1677005623522,1677005623621
1677005623582,1677005623623
1677005623210,1677005623641
1677005623650,1677005623657
1677005623661,1677005623679
1677005623672,1677005623691
1677005623610,1677005623691
1677005623690,1677005623763
1677005623538,1677005623776
1677005623739,1677005623783
1677005623763,1677005623785
1677005623593,1677005623803
1677005623497,1677005623803
1677005623763,1677005623825
1677005623676,1677005623830
1677005623823,1677005623832
1677005623652,1677005623833
1677005623834,1677005623869
1677005623823,1677005623870
1677005623782,1677005623910
1677005623906,1677005623916
1677005623897,1677005623916
1677005623802,1677005623927
1677005623920,1677005623941
1677005623827,1677005623952
1677005623911,1677005623965
1677005623783,1677005623970
1677005623961,1677005623997
1677005623957,1677005624050
1677005624037,1677005624051
1677005623986,1677005624070
1677005624020,1677005624071
1677005624113,1677005624131
1677005623818,1677005624141
1677005624038,1677005624165
1677005624167,1677005624178
1677005624061,1677005624188
1677005624188,1677005624204
1677005624101,1677005624207
1677005623996,1677005624214
1677005624079,1677005624223
1677005624211,1677005624225
1677005624011,1677005624228
1677005624160,1677005624228
1677005624160,1677005624230
1677005623885,1677005624250
1677005624209,1677005624251
1677005624206,1677005624299
1677005624375,1677005624383
1677005624071,1677005624394
1677005624365,1677005624401
1677005624049,1677005624410
1677005624415,1677005624426
1677005624391,1677005624459
1677005624416,1677005624463
1677005624365,1677005624497
1677005624207,1677005624519
1677005624279,1677005624522
1677005624276,1677005624523
1677005624527,1677005624538
