st,end
1679402650052,1679402650647
1679402650534,1679402650647
1679402650535,1679402650680
1679402650278,1679402650682
1679402650352,1679402650729
1679402650419,1679402650736
1679402650244,1679402650782
1679402650450,1679402650910
1679402650108,1679402650941
1679402650734,1679402650951
1679402650409,1679402650953
1679402650119,1679402650981
1679402650783,1679402650983
1679402650052,1679402651030
1679402650466,1679402651103
1679402650273,1679402651106
1679402650548,1679402651127
1679402650133,1679402651132
1679402650333,1679402651195
1679402650953,1679402651226
1679402650716,1679402651283
1679402650122,1679402651375
1679402650541,1679402651378
1679402650254,1679402651397
1679402651285,1679402651398
1679402650453,1679402651412
1679402650727,1679402651521
1679402650053,1679402651543
1679402650489,1679402651584
1679402650056,1679402651650
1679402650408,1679402651666
1679402650212,1679402651704
1679402650083,1679402651742
1679402650637,1679402651779
1679402650851,1679402651789
1679402650269,1679402651816
1679402650536,1679402651837
1679402650490,1679402651848
1679402651321,1679402651870
1679402650782,1679402651910
1679402655027,1679402655230
1679402655244,1679402655267
1679402655233,1679402655270
1679402655251,1679402655394
1679402655470,1679402655544
1679402655079,1679402655585
1679402655611,1679402655656
1679402655562,1679402655735
1679402655703,1679402655769
1679402655713,1679402655786
1679402655793,1679402655837
1679402655885,1679402655939
1679402656120,1679402656168
1679402656091,1679402656182
1679402655850,1679402656264
1679402656155,1679402656367
1679402656167,1679402656409
1679402656166,1679402656449
1679402656397,1679402656486
1679402656502,1679402656577
1679402656572,1679402656611
1679402656470,1679402656647
1679402656603,1679402656685
1679402656645,1679402656761
1679402656253,1679402656793
1679402656627,1679402656793
1679402656564,1679402656933
1679402656931,1679402656975
1679402656844,1679402656998
1679402657096,1679402657120
1679402656828,1679402657148
1679402657126,1679402657151
1679402657147,1679402657185
1679402657221,1679402657330
1679402657303,1679402657385
1679402657147,1679402657432
1679402657386,1679402657454
1679402657305,1679402657556
1679402657415,1679402657575
1679402657452,1679402657613
1679402657178,1679402657638
1679402657396,1679402657654
1679402657568,1679402657674
1679402657181,1679402657684
1679402657278,1679402657720
1679402657766,1679402657797
1679402657561,1679402657826
1679402657651,1679402657857
1679402658002,1679402658038
1679402657972,1679402658045
1679402657867,1679402658146
1679402658223,1679402658241
1679402658339,1679402658388
1679402658225,1679402658455
1679402658357,1679402658553
1679402658394,1679402658556
1679402658551,1679402658572
1679402658646,1679402658672
1679402658471,1679402658683
1679402658657,1679402658736
1679402658711,1679402658742
1679402657973,1679402658756
1679402658445,1679402658763
1679402658742,1679402660167
1679402660243,1679402660354
1679402660283,1679402660365
1679402660321,1679402660365
1679402660272,1679402660369
1679402660314,1679402660381
1679402659860,1679402660404
1679402660271,1679402660415
1679402658920,1679402660440
1679402660396,1679402660458
1679402660403,1679402660506
1679402660377,1679402660536
1679402660510,1679402660539
1679402660594,1679402660609
1679402660603,1679402660647
1679402660604,1679402660739
1679402660389,1679402660772
1679402660748,1679402660791
1679402660760,1679402660856
1679402660829,1679402660935
1679402660673,1679402660964
1679402660426,1679402660970
1679402660792,1679402660991
1679402660954,1679402661030
1679402661017,1679402661033
1679402660989,1679402661058
1679402660894,1679402661071
1679402661097,1679402661109
1679402661029,1679402661121
1679402660999,1679402661238
1679402661179,1679402661300
1679402661268,1679402661308
1679402661137,1679402661309
1679402661247,1679402661327
1679402661077,1679402661350
1679402661334,1679402661368
1679402661343,1679402661383
1679402661441,1679402661453
1679402661488,1679402661531
1679402661510,1679402661534
1679402661588,1679402661642
1679402661649,1679402661693
1679402661601,1679402661730
1679402661716,1679402661742
1679402661689,1679402661750
1679402661641,1679402661762
1679402661675,1679402661783
1679402661613,1679402661797
1679402661541,1679402661849
1679402661823,1679402661881
1679402661758,1679402661916
1679402661813,1679402661921
1679402662034,1679402662102
1679402662129,1679402662144
1679402662100,1679402662150
1679402661829,1679402662200
1679402661974,1679402662218
1679402662215,1679402662257
1679402662290,1679402662314
1679402662191,1679402662316
1679402662082,1679402662357
1679402662333,1679402662368
1679402662263,1679402662451
1679402662353,1679402662530
1679402662459,1679402662552
1679402662369,1679402662571
1679402662545,1679402662584
1679402662369,1679402662598
1679402662331,1679402662698
1679402662584,1679402662737
1679402662581,1679402662740
1679402662637,1679402662750
1679402662825,1679402662855
1679402662832,1679402662868
1679402662630,1679402662881
1679402662617,1679402662898
1679402662748,1679402662933
1679402662861,1679402663004
1679402662545,1679402663054
1679402662764,1679402663064
1679402662451,1679402663077
1679402662947,1679402663087
1679402662780,1679402663090
1679402663077,1679402663129
1679402663048,1679402663147
1679402662794,1679402663161
1679402663122,1679402663162
1679402663081,1679402663177
1679402663088,1679402663178
1679402663148,1679402663203
1679402663194,1679402663221
1679402663148,1679402663250
1679402663172,1679402663292
1679402662983,1679402663399
1679402663343,1679402663447
1679402663471,1679402663528
1679402663299,1679402663531
1679402663303,1679402663586
1679402663290,1679402663605
1679402663448,1679402663633
1679402663562,1679402663640
1679402663636,1679402663654
1679402663673,1679402663710
1679402663791,1679402663817
1679402663765,1679402663823
1679402663683,1679402663889
1679402663758,1679402663946
1679402663951,1679402663962
1679402663941,1679402664028
1679402663913,1679402664048
1679402664091,1679402664118
1679402664126,1679402664165
1679402664105,1679402664179
1679402663941,1679402664225
1679402664230,1679402664275
1679402664137,1679402664298
1679402664305,1679402664441
1679402664424,1679402664496
1679402664228,1679402664507
1679402664475,1679402664509
1679402664489,1679402664536
1679402664490,1679402664552
1679402664578,1679402664603
1679402664402,1679402664621
1679402664382,1679402664624
1679402664337,1679402664702
1679402664692,1679402664711
1679402664679,1679402664737
1679402664560,1679402664775
1679402664558,1679402664808
1679402664731,1679402664808
1679402664603,1679402664896
1679402664661,1679402664897
1679402664933,1679402664986
1679402664932,1679402664988
1679402664971,1679402665004
1679402664984,1679402665013
1679402664883,1679402665063
1679402664970,1679402665078
1679402665106,1679402665157
1679402665118,1679402665161
1679402665004,1679402665187
1679402665108,1679402665227
1679402665168,1679402665320
1679402664939,1679402665330
1679402665243,1679402665362
1679402665107,1679402665369
