st,end
1679178404718,1679178405392
1679178404722,1679178405392
1679178404716,1679178405392
1679178404714,1679178405392
1679178404712,1679178405392
1679178404713,1679178405393
1679178404756,1679178405401
1679178404759,1679178405423
1679178404726,1679178405424
1679178404706,1679178405464
1679178404707,1679178405497
1679178404720,1679178405501
1679178404749,1679178405508
1679178404724,1679178405544
1679178404753,1679178405565
1679178404710,1679178405568
1679178404710,1679178405586
1679178404752,1679178405633
1679178404727,1679178405695
1679178404763,1679178405697
1679178404725,1679178405697
1679178404790,1679178405699
1679178404748,1679178405714
1679178404758,1679178405724
1679178404725,1679178405732
1679178404708,1679178405760
1679178404758,1679178405815
1679178404706,1679178405826
1679178404791,1679178405833
1679178404729,1679178405840
1679178404709,1679178405877
1679178404761,1679178405939
1679178404715,1679178405941
1679178404727,1679178405941
1679178404731,1679178406016
1679178404757,1679178406064
1679178404746,1679178406068
1679178404755,1679178406116
1679178404762,1679178406117
1679178404747,1679178406133
1679178404709,1679178406192
1679178404751,1679178406210
1679178404717,1679178406219
1679178404711,1679178406236
1679178404729,1679178406251
1679178404754,1679178406261
1679178404728,1679178406281
1679178404760,1679178406305
1679178404707,1679178406412
1679178404730,1679178406415
1679178404713,1679178406444
1679178410548,1679178410579
1679178410565,1679178410628
1679178410549,1679178410632
1679178410722,1679178410826
1679178410779,1679178410837
1679178410778,1679178410848
1679178410939,1679178410969
1679178410980,1679178411035
1679178411101,1679178411126
1679178411136,1679178411155
1679178411294,1679178411388
1679178411355,1679178411479
1679178411372,1679178411516
1679178411383,1679178411541
1679178411454,1679178411544
1679178411523,1679178411620
1679178411571,1679178411659
1679178411647,1679178411670
1679178411746,1679178411771
1679178411692,1679178411798
1679178411755,1679178411822
1679178411823,1679178411840
1679178411942,1679178411976
1679178411940,1679178412002
1679178411800,1679178412040
1679178411971,1679178412061
1679178411999,1679178412101
1679178412202,1679178412224
1679178412243,1679178412313
1679178412234,1679178412326
1679178412359,1679178412375
1679178412368,1679178412380
1679178412399,1679178412456
1679178412505,1679178412549
1679178412516,1679178412598
1679178412607,1679178412692
1679178412589,1679178412703
1679178412640,1679178412722
1679178412583,1679178412742
1679178412771,1679178412802
1679178412790,1679178412842
1679178412839,1679178412858
1679178412868,1679178412885
1679178412857,1679178412894
1679178412952,1679178412996
1679178413029,1679178413092
1679178413164,1679178413174
1679178413185,1679178413206
1679178413163,1679178413311
1679178413387,1679178413410
1679178413486,1679178413543
1679178413457,1679178413545
1679178413463,1679178413556
1679178413546,1679178413566
1679178413583,1679178413619
1679178413659,1679178413674
1679178413657,1679178413683
1679178413734,1679178413753
1679178413639,1679178413760
1679178413724,1679178413829
1679178413793,1679178413831
1679178413685,1679178413862
1679178413813,1679178413866
1679178413828,1679178413881
1679178413830,1679178413918
1679178413926,1679178413960
1679178413982,1679178414003
1679178414218,1679178414240
1679178414357,1679178414374
1679178414462,1679178414478
1679178414531,1679178414565
1679178414696,1679178414709
1679178414705,1679178414725
1679178414675,1679178414737
1679178414770,1679178414788
1679178414761,1679178414795
1679178414823,1679178414859
1679178414884,1679178414898
1679178414878,1679178414940
1679178414929,1679178414958
1679178414928,1679178414970
1679178415047,1679178415064
1679178415011,1679178415065
1679178415058,1679178415072
1679178415081,1679178415146
1679178415119,1679178415221
1679178415363,1679178415374
1679178415427,1679178415479
1679178415411,1679178415502
1679178415404,1679178415519
1679178415528,1679178415554
1679178415430,1679178415566
1679178415196,1679178415576
1679178415602,1679178416888
1679178415934,1679178416934
1679178415948,1679178416946
1679178416108,1679178416954
1679178417031,1679178417046
1679178417071,1679178417085
1679178417075,1679178417102
1679178417071,1679178417154
1679178417136,1679178417162
1679178417070,1679178417195
1679178417184,1679178417241
1679178417194,1679178417336
1679178417303,1679178417352
1679178417336,1679178417424
1679178417397,1679178417442
1679178417410,1679178417442
1679178417353,1679178417470
1679178417458,1679178417478
1679178417554,1679178417564
1679178417542,1679178417574
1679178417615,1679178417636
1679178417556,1679178417641
1679178417559,1679178417650
1679178417522,1679178417672
1679178417650,1679178417693
1679178417704,1679178417736
1679178417678,1679178417749
1679178417736,1679178417752
1679178417635,1679178417756
1679178417597,1679178417761
1679178417752,1679178417763
1679178417758,1679178417811
1679178417752,1679178417832
1679178417789,1679178417842
1679178417643,1679178417867
1679178417813,1679178417875
1679178417829,1679178417916
1679178417813,1679178417920
1679178417752,1679178417949
1679178417971,1679178418006
1679178418047,1679178418062
1679178418060,1679178418111
1679178418067,1679178418112
1679178418137,1679178418174
1679178417926,1679178418229
1679178418279,1679178418357
1679178418258,1679178418378
1679178418369,1679178418392
1679178418299,1679178418412
1679178418398,1679178418425
1679178418413,1679178418438
1679178418381,1679178418447
1679178418482,1679178418494
1679178418513,1679178418529
1679178418501,1679178418541
1679178418509,1679178418555
1679178418598,1679178418610
1679178418614,1679178418630
1679178418614,1679178418673
1679178418737,1679178418771
1679178418793,1679178418831
1679178418818,1679178418837
1679178418786,1679178418847
1679178418669,1679178418857
1679178418847,1679178418868
1679178418831,1679178418874
1679178418792,1679178418877
1679178418871,1679178418912
1679178418900,1679178418929
1679178418897,1679178418936
1679178418946,1679178418969
1679178418892,1679178418969
1679178418998,1679178419039
1679178418940,1679178419055
1679178419052,1679178419080
1679178419091,1679178419130
1679178419085,1679178419133
1679178419094,1679178419137
1679178419192,1679178419250
1679178419224,1679178419264
1679178419240,1679178419324
1679178419318,1679178419333
1679178419263,1679178419334
1679178419251,1679178419369
1679178419283,1679178419372
1679178419348,1679178419376
1679178419373,1679178419382
1679178419270,1679178419400
1679178419382,1679178419407
1679178419446,1679178419481
1679178419407,1679178419496
1679178419554,1679178419563
1679178419576,1679178419594
1679178419568,1679178419619
1679178419576,1679178419645
1679178419622,1679178419655
1679178419596,1679178419655
1679178419511,1679178419693
1679178419486,1679178419715
1679178419559,1679178419717
1679178419763,1679178419787
1679178419761,1679178419805
1679178419803,1679178419817
1679178419845,1679178419858
1679178419781,1679178419862
1679178419835,1679178419877
1679178419890,1679178419905
1679178419831,1679178419918
1679178419916,1679178419950
1679178419945,1679178419965
1679178420034,1679178420051
1679178420020,1679178420053
1679178420001,1679178420056
1679178420020,1679178420071
1679178420059,1679178420094
1679178419972,1679178420117
1679178420090,1679178420118
1679178420060,1679178420128
1679178420130,1679178420169
1679178420164,1679178420178
1679178420190,1679178420203
1679178420213,1679178420242
1679178420202,1679178420272
1679178420319,1679178420343
1679178420385,1679178420411
1679178420461,1679178420521
1679178420518,1679178420540
1679178420548,1679178420560
1679178420554,1679178420566
1679178420534,1679178420571
1679178420666,1679178420687
1679178420676,1679178420693
1679178420710,1679178420722
1679178420482,1679178420778
1679178420764,1679178420805
1679178420844,1679178420854
1679178420850,1679178420869
1679178420853,1679178420883
1679178420851,1679178420884
1679178420716,1679178420887
1679178420912,1679178420924
1679178420914,1679178420956
1679178420915,1679178421017
1679178421093,1679178421104
1679178420978,1679178421130
1679178421143,1679178421158
1679178421003,1679178421172
1679178421170,1679178421183
1679178421073,1679178421184
1679178420775,1679178421207
1679178420997,1679178421211
1679178421042,1679178421215
1679178421188,1679178421218
1679178421155,1679178421232
1679178421082,1679178421236
1679178421230,1679178421260
1679178421034,1679178421261
1679178421315,1679178421330
1679178421347,1679178421364
1679178421368,1679178421457
1679178421434,1679178421468
1679178421347,1679178421504
1679178421512,1679178421525
1679178421476,1679178421539
1679178421564,1679178421650
1679178421586,1679178421658
1679178421566,1679178421665
1679178421595,1679178421670
1679178421666,1679178421689
1679178421609,1679178421710
1679178421628,1679178421725
1679178421659,1679178421732
1679178421827,1679178421841
1679178421775,1679178421865
1679178421900,1679178421913
1679178421901,1679178421915
1679178421959,1679178421990
1679178421974,1679178421990
1679178421985,1679178422006
1679178421937,1679178422018
1679178422124,1679178422205
1679178422095,1679178422205
1679178422239,1679178422266
1679178422283,1679178422296
1679178422282,1679178422296
1679178422264,1679178422301
1679178422231,1679178422339
1679178422283,1679178422358
1679178422187,1679178422369
1679178422346,1679178422400
1679178422400,1679178422448
1679178422406,1679178422469
1679178422233,1679178422475
1679178422444,1679178422475
1679178422447,1679178422491
1679178422504,1679178422566
1679178422504,1679178422579
1679178422696,1679178422734
1679178422705,1679178422756
1679178422710,1679178422762
1679178422755,1679178422775
1679178422814,1679178422826
1679178422824,1679178422890
1679178422873,1679178422896
1679178422839,1679178422897
1679178422845,1679178422899
1679178422776,1679178422920
1679178422904,1679178422934
1679178422855,1679178422938
1679178422885,1679178422945
1679178422931,1679178422974
1679178423025,1679178423039
1679178423035,1679178423043
1679178423023,1679178423050
1679178423063,1679178423072
1679178423062,1679178423098
1679178423127,1679178423148
1679178423133,1679178423179
1679178423170,1679178423188
1679178423171,1679178423199
1679178423224,1679178423302
1679178423246,1679178423313
