st,end
1676512338888,1676512339071
1676512338982,1676512339071
1676512338597,1676512339071
1676512338684,1676512339073
1676512339073,1676512339092
1676512338992,1676512339126
1676512339072,1676512339150
1676512339069,1676512339210
1676512339218,1676512339258
1676512339188,1676512339270
1676512339223,1676512339306
1676512339206,1676512339395
1676512339347,1676512339512
1676512339445,1676512339632
1676512339672,1676512339722
1676512339730,1676512339776
1676512339744,1676512339785
1676512339656,1676512339816
1676512339818,1676512339833
1676512339714,1676512339896
1676512342465,1676512342498
1676512342592,1676512342614
1676512342644,1676512342658
1676512342753,1676512342775
1676512343002,1676512343024
1676512343061,1676512343119
1676512343143,1676512343166
1676512343130,1676512343190
1676512343158,1676512343191
1676512343254,1676512343279
1676512343277,1676512343309
1676512343301,1676512343342
1676512343345,1676512343367
1676512343370,1676512343387
1676512343468,1676512343559
1676512343628,1676512343653
1676512343823,1676512343837
1676512343762,1676512343837
1676512343780,1676512343837
1676512343828,1676512343901
1676512343902,1676512343947
1676512343955,1676512343985
1676512343992,1676512344076
1676512344385,1676512344452
1676512344439,1676512344458
1676512344671,1676512344735
1676512344812,1676512344843
1676512344782,1676512344852
1676512344819,1676512344852
1676512344926,1676512344961
1676512344895,1676512345071
1676512345058,1676512345097
1676512345035,1676512345200
1676512345161,1676512345202
1676512345296,1676512345342
1676512345386,1676512345416
1676512345347,1676512345427
1676512345402,1676512345465
1676512345356,1676512345508
1676512345310,1676512345526
1676512345531,1676512345559
1676512345294,1676512345669
1676512345509,1676512345796
1676512345904,1676512345929
1676512346108,1676512346167
1676512345924,1676512346175
1676512346202,1676512346227
1676512346254,1676512346286
1676512346305,1676512346377
1676512346373,1676512346428
1676512346465,1676512346508
1676512346707,1676512346748
1676512346752,1676512346778
1676512346831,1676512346851
1676512346980,1676512347014
1676512347014,1676512347030
1676512347300,1676512347329
1676512347569,1676512347615
1676512347619,1676512347717
1676512347681,1676512347760
1676512347776,1676512347823
1676512347877,1676512347902
1676512347906,1676512347923
1676512348027,1676512348042
1676512348062,1676512348081
1676512348240,1676512348294
1676512348351,1676512348374
1676512348520,1676512348582
1676512348547,1676512348599
1676512348601,1676512348620
1676512348566,1676512348651
1676512348576,1676512348672
1676512348664,1676512348683
1676512348683,1676512348720
1676512348756,1676512348791
1676512348958,1676512348979
1676512349004,1676512349019
1676512349015,1676512349052
1676512349111,1676512349137
1676512349103,1676512349165
1676512349146,1676512349242
1676512349244,1676512349257
1676512349594,1676512349626
1676512349582,1676512349636
1676512349665,1676512349700
1676512349669,1676512349709
1676512349743,1676512349802
1676512349787,1676512349832
1676512349967,1676512349997
1676512350050,1676512350074
1676512350162,1676512350205
1676512350188,1676512350206
1676512350490,1676512350502
1676512350514,1676512350606
1676512350610,1676512350633
1676512350620,1676512350653
1676512350952,1676512351007
1676512350996,1676512351007
1676512351098,1676512351135
1676512351203,1676512351270
1676512351424,1676512351440
1676512351402,1676512351473
1676512351759,1676512351845
1676512351856,1676512351905
1676512351835,1676512351969
1676512351978,1676512352015
1676512351994,1676512352101
1676512352089,1676512352106
1676512352068,1676512352153
1676512352168,1676512352220
1676512352197,1676512352272
1676512352248,1676512352319
1676512352323,1676512352336
1676512352122,1676512352435
1676512352424,1676512352490
1676512352509,1676512352599
1676512352661,1676512352845
1676512352836,1676512352865
1676512352940,1676512352977
1676512352665,1676512353055
1676512353135,1676512353148
1676512353105,1676512353194
1676512353198,1676512353211
1676512353211,1676512353364
1676512353435,1676512353596
1676512353250,1676512353606
1676512353388,1676512353622
1676512353537,1676512353710
1676512353677,1676512353759
1676512353607,1676512353798
1676512353566,1676512353798
1676512353810,1676512353886
1676512353936,1676512353966
1676512354003,1676512354166
1676512354093,1676512354256
1676512354244,1676512354267
1676512354210,1676512354356
1676512354290,1676512354385
1676512354393,1676512354407
1676512354339,1676512354483
1676512354439,1676512354488
1676512354591,1676512354603
1676512354512,1676512354696
1676512354974,1676512355016
1676512355092,1676512355173
1676512355127,1676512355212
1676512355227,1676512355235
1676512355296,1676512355341
1676512355380,1676512355388
1676512355428,1676512355451
1676512355443,1676512355492
1676512355561,1676512355579
1676512355524,1676512355617
1676512355689,1676512355696
1676512355816,1676512355866
1676512355880,1676512355961
1676512355792,1676512355991
1676512356150,1676512356314
1676512356447,1676512356579
1676512356465,1676512356668
1676512356605,1676512356673
1676512356627,1676512356706
1676512356623,1676512356706
1676512356577,1676512356709
1676512356812,1676512356845
1676512356910,1676512357013
1676512356968,1676512357019
1676512356991,1676512357100
1676512356979,1676512357109
1676512357064,1676512357180
1676512357187,1676512357210
1676512356960,1676512357254
1676512357068,1676512357266
1676512357252,1676512357290
1676512357262,1676512357304
1676512357334,1676512357350
1676512357295,1676512357400
1676512357499,1676512357539
1676512357787,1676512357835
1676512358349,1676512358359
1676512358253,1676512358399
1676512358373,1676512358481
1676512358519,1676512358536
1676512358789,1676512358809
1676512358790,1676512358889
1676512358888,1676512358948
1676512359010,1676512359020
1676512359203,1676512359232
1676512359273,1676512359282
1676512359394,1676512359438
1676512359475,1676512359545
1676512359567,1676512359590
1676512359666,1676512359675
1676512359702,1676512359716
1676512359700,1676512359774
1676512359694,1676512359875
1676512359931,1676512359949
1676512359907,1676512359984
1676512359959,1676512360011
1676512360118,1676512360141
1676512360134,1676512360141
1676512360327,1676512360368
1676512360481,1676512360491
1676512360248,1676512360528
1676512360444,1676512360543
1676512360696,1676512360711
1676512360619,1676512360716
1676512360799,1676512360958
1676512360959,1676512361021
1676512360862,1676512361190
1676512361263,1676512361318
1676512361334,1676512361342
1676512361439,1676512361455
1676512361383,1676512361489
1676512361505,1676512361529
1676512361500,1676512361581
1676512361644,1676512361658
1676512361663,1676512361675
1676512361886,1676512361918
1676512362088,1676512362096
1676512362059,1676512362256
1676512362106,1676512362305
1676512362215,1676512362335
