st,end
1676516752698,1676516753868
1676516752673,1676516753868
1676516752667,1676516753877
1676516752737,1676516753877
1676516752686,1676516753891
1676516752674,1676516753913
1676516752729,1676516753934
1676516752676,1676516753944
1676516752614,1676516753955
1676516752630,1676516753963
1676516753772,1676516753972
1676516752716,1676516753985
1676516753764,1676516754000
1676516752636,1676516754014
1676516753756,1676516754018
1676516752696,1676516754040
1676516752739,1676516754061
1676516752650,1676516754080
1676516752731,1676516754089
1676516752690,1676516754153
1676516752664,1676516754213
1676516752659,1676516754251
1676516752738,1676516754253
1676516753774,1676516754434
1676516758881,1676516759095
1676516758896,1676516759108
1676516759220,1676516759262
1676516758928,1676516759297
1676516759421,1676516759559
1676516759449,1676516759631
1676516759668,1676516759795
1676516759509,1676516759818
1676516759583,1676516759889
1676516759859,1676516759941
1676516759523,1676516760027
1676516759776,1676516760043
1676516759633,1676516760080
1676516759850,1676516760092
1676516759723,1676516760093
1676516759855,1676516760175
1676516759875,1676516760187
1676516759939,1676516760267
1676516759940,1676516760279
1676516760146,1676516760291
1676516759910,1676516760438
1676516760138,1676516760546
1676516759851,1676516760633
1676516760673,1676516760798
1676516760830,1676516760924
1676516760886,1676516760980
1676516760926,1676516761011
1676516761030,1676516761108
1676516760971,1676516761217
1676516761074,1676516761251
1676516761075,1676516761252
1676516761210,1676516761329
1676516761046,1676516761345
1676516761327,1676516761402
1676516761348,1676516761516
1676516761419,1676516761537
1676516761399,1676516761539
1676516761455,1676516761707
1676516761445,1676516761796
1676516761448,1676516761914
1676516761746,1676516761948
1676516761728,1676516761995
1676516761665,1676516762076
1676516761894,1676516762083
1676516762027,1676516762306
1676516762449,1676516762641
1676516762637,1676516762681
1676516762557,1676516762705
1676516762554,1676516762717
1676516762484,1676516762765
1676516762736,1676516762897
1676516762626,1676516762939
1676516762939,1676516763037
1676516762755,1676516763083
1676516762871,1676516763097
1676516762798,1676516763187
1676516762915,1676516763198
1676516762671,1676516763223
1676516762987,1676516763355
1676516763302,1676516763455
1676516763330,1676516763522
1676516763592,1676516763698
1676516763701,1676516763802
1676516763909,1676516763978
1676516763921,1676516764015
1676516763927,1676516764158
1676516764094,1676516764307
1676516763914,1676516764320
1676516764010,1676516764342
1676516764436,1676516764604
1676516764389,1676516764629
1676516764521,1676516764671
1676516764595,1676516764711
1676516764771,1676516764860
1676516764791,1676516764885
1676516764815,1676516764886
1676516764883,1676516765031
1676516764850,1676516765055
1676516764891,1676516765109
1676516764978,1676516765153
1676516765040,1676516765155
1676516765060,1676516765281
1676516765162,1676516765288
1676516765132,1676516765333
1676516765247,1676516765347
1676516765303,1676516765380
1676516765380,1676516765459
1676516765576,1676516765746
1676516765586,1676516765806
1676516765590,1676516765818
1676516765973,1676516766138
1676516766043,1676516766187
1676516766115,1676516766271
1676516766195,1676516766486
1676516766187,1676516766533
1676516766626,1676516766680
1676516766480,1676516766756
1676516766641,1676516766784
1676516766686,1676516766818
1676516766714,1676516766829
1676516766502,1676516766851
1676516766851,1676516767013
1676516766923,1676516767065
1676516767134,1676516767441
1676516767207,1676516767559
1676516767014,1676516767580
1676516767242,1676516767585
1676516767402,1676516767590
1676516767187,1676516767593
1676516767376,1676516767647
1676516767546,1676516767829
1676516767497,1676516767863
1676516768007,1676516768110
1676516768022,1676516768120
1676516768095,1676516768220
1676516767985,1676516768224
1676516768310,1676516768442
1676516768089,1676516768500
1676516768339,1676516768564
1676516768471,1676516768654
1676516768578,1676516768686
1676516768863,1676516768954
1676516768761,1676516768960
1676516768999,1676516769095
1676516768975,1676516769160
1676516769002,1676516769205
1676516769013,1676516769216
1676516769003,1676516769221
1676516769026,1676516769275
1676516769218,1676516769316
1676516769211,1676516769328
1676516769189,1676516769341
1676516769185,1676516769438
1676516769369,1676516769466
1676516769198,1676516769532
1676516769695,1676516769798
1676516769830,1676516769882
1676516769858,1676516769932
1676516769891,1676516769982
1676516769932,1676516770051
1676516769950,1676516770162
1676516770353,1676516770416
1676516770311,1676516770432
1676516770313,1676516770484
1676516770366,1676516770494
1676516770536,1676516770613
1676516770478,1676516770726
1676516770674,1676516770744
1676516770623,1676516770780
1676516770778,1676516771039
1676516770818,1676516771065
1676516771070,1676516771169
1676516771098,1676516771315
1676516771004,1676516771340
1676516771137,1676516771357
1676516771064,1676516771409
1676516771059,1676516771422
1676516771318,1676516771481
1676516771256,1676516771496
1676516771301,1676516771508
1676516771426,1676516771569
1676516771563,1676516771630
1676516771384,1676516771670
1676516771672,1676516771770
1676516771786,1676516771832
1676516772004,1676516772083
1676516772160,1676516772307
1676516772148,1676516772359
1676516772270,1676516772406
1676516772386,1676516772476
1676516772429,1676516772540
1676516772599,1676516772666
1676516772493,1676516772830
1676516772841,1676516772955
1676516772640,1676516773040
1676516772919,1676516773096
1676516772851,1676516773211
1676516773102,1676516773223
1676516773198,1676516773379
