st,end
1679520134534,1679520140535
1679520134533,1679520140555
1679520134486,1679520140703
1679520134505,1679520140711
1679520134464,1679520140807
1679520134492,1679520140818
1679520134508,1679520140839
1679520134501,1679520140851
1679520134490,1679520140852
1679520134519,1679520140903
1679520138585,1679520140908
1679520134471,1679520140931
1679520134480,1679520140955
1679520134453,1679520141007
1679520134484,1679520141023
1679520134462,1679520141074
1679520134489,1679520141094
1679520134469,1679520141115
1679520134499,1679520141159
1679520134515,1679520141183
1679520134532,1679520141187
1679520134540,1679520141203
1679520134429,1679520141259
1679520134538,1679520141280
1679520134554,1679520141296
1679520134563,1679520141379
1679520134475,1679520141451
1679520134548,1679520141639
1679520140716,1679520141819
1679520140709,1679520142099
1679520140822,1679520142203
1679520140915,1679520142259
1679520140845,1679520142343
1679520140813,1679520142403
1679520140561,1679520142511
1679520140909,1679520142527
1679520141013,1679520142601
1679520140856,1679520142799
1679520140936,1679520142843
1679520141029,1679520142870
1679520140857,1679520142995
1679520141456,1679520143003
1679520141193,1679520143063
1679520141285,1679520143147
1679520142261,1679520143258
1679520140542,1679520143315
1679520141186,1679520143370
1679520141164,1679520143395
1679520140960,1679520143431
1679520141098,1679520143443
1679520142100,1679520143471
1679520141302,1679520143472
1679520141385,1679520143498
1679520141208,1679520143499
1679520141643,1679520143643
1679520141080,1679520143655
1679520142405,1679520143711
1679520142513,1679520143794
1679520141820,1679520143799
1679520141120,1679520143799
1679520142801,1679520143995
1679520142345,1679520144075
1679520142845,1679520144083
1679520143064,1679520144119
1679520142205,1679520144162
1679520143005,1679520144243
1679520142602,1679520144243
1679520142528,1679520144349
1679520143473,1679520144483
1679520143317,1679520144487
1679520142872,1679520144619
1679520143444,1679520144624
1679520143657,1679520144707
1679520142997,1679520144779
1679520143371,1679520144818
1679520143433,1679520144927
1679520143713,1679520144947
1679520143397,1679520144971
1679520143500,1679520144999
1679520143800,1679520145147
1679520143474,1679520145154
1679520144245,1679520145211
1679520143800,1679520145271
1679520144085,1679520145299
1679520143148,1679520145319
1679520143501,1679520145415
1679520143795,1679520145475
1679520144245,1679520145496
1679520143260,1679520145523
1679520143645,1679520145534
1679520144164,1679520145579
1679520144120,1679520145624
