st,end
1679448032513,1679448032734
1679448032331,1679448032734
1679448032295,1679448032734
1679448032334,1679448032734
1679448032476,1679448032734
1679448032639,1679448032734
1679448032224,1679448032734
1679448032302,1679448032734
1679448032706,1679448032747
1679448032490,1679448032761
1679448032664,1679448032766
1679448032362,1679448032777
1679448032638,1679448032801
1679448032830,1679448032859
1679448032636,1679448032873
1679448032990,1679448033006
1679448033038,1679448033093
1679448033083,1679448033133
1679448033099,1679448033135
1679448033024,1679448033151
1679448033159,1679448033191
1679448033234,1679448033274
1679448033233,1679448033324
1679448033344,1679448033401
1679448033438,1679448033461
1679448033461,1679448033476
1679448033446,1679448033477
1679448034214,1679448034298
1679448036123,1679448036156
1679448036273,1679448036306
1679448036480,1679448036526
1679448036604,1679448036621
1679448036622,1679448036688
1679448036676,1679448036719
1679448036813,1679448036885
1679448036925,1679448036968
1679448036965,1679448037002
1679448036865,1679448037068
1679448037131,1679448037220
1679448037206,1679448037231
1679448037213,1679448037306
1679448037163,1679448037316
1679448037306,1679448037320
1679448037340,1679448037362
1679448037353,1679448037391
1679448037270,1679448037446
1679448037448,1679448037472
1679448037454,1679448037490
1679448037340,1679448037531
1679448037534,1679448037603
1679448037461,1679448037620
1679448037593,1679448037632
1679448037588,1679448037634
1679448037745,1679448037752
1679448037746,1679448037774
1679448037950,1679448037971
1679448037905,1679448037993
1679448037903,1679448038006
1679448038123,1679448038143
1679448038145,1679448038237
1679448038209,1679448038296
1679448038321,1679448038335
1679448038402,1679448038432
1679448038402,1679448038503
1679448038664,1679448038703
1679448038730,1679448038742
1679448038745,1679448038793
1679448038901,1679448038912
1679448038842,1679448038934
1679448038845,1679448038985
1679448038973,1679448039021
1679448039100,1679448039115
1679448039054,1679448039176
1679448040394,1679448040505
1679448039198,1679448040536
1679448040357,1679448040545
1679448040534,1679448040580
1679448040574,1679448040652
1679448040650,1679448040664
1679448040654,1679448040675
1679448040773,1679448040854
1679448040807,1679448040872
1679448041035,1679448041066
1679448041098,1679448041160
1679448041112,1679448041184
1679448041182,1679448041255
1679448041121,1679448041256
1679448041133,1679448041267
1679448041303,1679448041354
1679448041146,1679448041416
1679448041301,1679448041447
1679448041481,1679448041491
1679448041490,1679448041500
1679448041552,1679448041576
1679448041641,1679448041664
1679448041656,1679448041675
1679448041667,1679448041682
1679448041674,1679448041745
1679448041871,1679448041889
1679448041844,1679448041898
1679448041945,1679448041999
1679448042045,1679448042096
1679448042065,1679448042137
1679448042064,1679448042141
1679448042272,1679448042373
1679448042399,1679448042440
1679448042295,1679448042465
1679448042482,1679448042494
1679448042506,1679448042595
1679448042770,1679448042850
1679448043015,1679448043032
1679448043115,1679448043140
1679448043200,1679448043232
1679448043424,1679448043438
1679448043420,1679448043447
1679448043520,1679448043556
1679448043448,1679448043565
1679448043678,1679448043753
1679448043708,1679448043756
1679448043614,1679448043760
1679448043640,1679448043780
1679448043772,1679448043786
1679448043953,1679448043980
1679448043952,1679448043983
1679448044004,1679448044037
1679448043939,1679448044060
1679448044037,1679448044065
1679448044040,1679448044117
1679448044188,1679448044227
1679448044174,1679448044227
1679448044286,1679448044304
1679448044275,1679448044391
1679448044198,1679448044481
1679448044384,1679448044558
1679448044516,1679448044690
1679448044674,1679448044711
1679448044685,1679448044737
1679448044731,1679448044750
1679448044800,1679448044826
1679448044728,1679448044861
1679448044814,1679448044868
1679448044790,1679448044922
1679448045006,1679448045156
1679448045096,1679448045212
1679448045089,1679448045216
1679448045106,1679448045231
1679448045203,1679448045235
1679448045195,1679448045253
1679448045237,1679448045283
1679448045277,1679448045300
1679448045382,1679448045427
1679448045565,1679448045613
1679448045534,1679448045659
1679448045646,1679448045749
1679448045826,1679448045856
1679448045849,1679448045875
1679448045784,1679448045902
1679448045824,1679448045941
1679448045842,1679448045952
1679448045890,1679448045973
1679448046092,1679448046102
1679448046168,1679448046190
1679448046213,1679448046228
1679448046326,1679448046334
1679448046454,1679448046468
1679448046493,1679448046513
1679448046499,1679448046627
1679448046583,1679448046636
1679448046624,1679448046689
1679448046838,1679448046922
1679448046892,1679448046924
1679448046933,1679448046963
1679448046944,1679448046968
1679448047016,1679448047045
1679448047032,1679448047059
1679448047134,1679448047207
1679448047147,1679448047228
1679448047107,1679448047283
1679448047298,1679448047369
1679448047351,1679448047370
1679448047361,1679448047434
1679448047467,1679448047480
1679448047470,1679448047536
1679448047500,1679448047562
1679448047465,1679448047655
1679448047501,1679448047691
1679448047661,1679448047716
