st,end
1675849041714,1675849049380
1675849041713,1675849049388
1675849041691,1675849049389
1675849041706,1675849049400
1675849041721,1675849049401
1675849041631,1675849049412
1675849041716,1675849049412
1675849041696,1675849049413
1675849041683,1675849049413
1675849041599,1675849049413
1675849041645,1675849049421
1675849041582,1675849049428
1675849041664,1675849049428
1675849041757,1675849049428
1675849041751,1675849049432
1675849041658,1675849049440
1675849041592,1675849049452
1675849041655,1675849049452
1675849041673,1675849049464
1675849041697,1675849049464
1675849041586,1675849049480
1675849041626,1675849049484
1675849041740,1675849049488
1675849041741,1675849049488
1675849041745,1675849049488
1675849041604,1675849049488
1675849041606,1675849049504
1675849041645,1675849049509
1675849041650,1675849049509
1675849041677,1675849049513
1675849041753,1675849049517
1675849041724,1675849049520
1675849041676,1675849049520
1675849041621,1675849049521
1675849041639,1675849049521
1675849041594,1675849049532
1675849041611,1675849049532
1675849041652,1675849049536
1675849041667,1675849049548
1675849041702,1675849049548
1675849041702,1675849049556
1675849041735,1675849049560
1675849041680,1675849049568
1675849041570,1675849049572
1675849041687,1675849049580
1675849041733,1675849049592
1675849041758,1675849049592
1675849041634,1675849049592
1675849041661,1675849049640
1675849041629,1675849049776
1675849049383,1675849050216
1675849049431,1675849050304
1675849049491,1675849050388
1675849049595,1675849050406
1675849049431,1675849050428
1675849049513,1675849050452
1675849049434,1675849050464
1675849049416,1675849050464
1675849049416,1675849050480
1675849049467,1675849050480
1675849049455,1675849050500
1675849049491,1675849050553
1675849049432,1675849050552
1675849049391,1675849050561
1675849049534,1675849050563
1675849049508,1675849050577
1675849049551,1675849050577
1675849049424,1675849050612
1675849049393,1675849050632
1675849049596,1675849050640
1675849049535,1675849050653
1675849049415,1675849050660
1675849049405,1675849050665
1675849049524,1675849050689
1675849049444,1675849050716
1675849049517,1675849050745
1675849049582,1675849050748
1675849049455,1675849050765
1675849049467,1675849050770
1675849049523,1675849050780
1675849049483,1675849050792
1675849049559,1675849050792
1675849049487,1675849050800
1675849049575,1675849050812
1675849049402,1675849050813
1675849049524,1675849050816
1675849049562,1675849050852
1675849049492,1675849050856
1675849049491,1675849050864
1675849049644,1675849050876
1675849049595,1675849050877
1675849049521,1675849050909
1675849049523,1675849050933
1675849049417,1675849050957
1675849049538,1675849050972
1675849049514,1675849050996
1675849049779,1675849051012
1675849049570,1675849051058
1675849049550,1675849051076
1675849049415,1675849051213
1675849050465,1675849051288
1675849050465,1675849051289
1675849050641,1675849051379
1675849050481,1675849051457
1675849050481,1675849051469
1675849050554,1675849051476
1675849050579,1675849051510
1675849050389,1675849051564
1675849050305,1675849051588
1675849050654,1675849051625
1675849050554,1675849051636
1675849050781,1675849051684
1675849050217,1675849051709
1675849050407,1675849051757
1675849050429,1675849051796
1675849050661,1675849051801
1675849050911,1675849051825
1675849050793,1675849051837
1675849050633,1675849051844
1675849050766,1675849051849
1675849050747,1675849051856
1675849050690,1675849051865
1675849050814,1675849051872
1675849050578,1675849051886
1675849050453,1675849051890
1675849050717,1675849051905
1675849050802,1675849051910
1675849050750,1675849051912
1675849051013,1675849051917
1675849050814,1675849051954
1675849050771,1675849052009
1675849050794,1675849052037
1675849050562,1675849052046
1675849050501,1675849052052
1675849050817,1675849052056
1675849050666,1675849052061
1675849050565,1675849052077
1675849050878,1675849052085
1675849050853,1675849052106
1675849050877,1675849052141
1675849051059,1675849052168
1675849050613,1675849052209
1675849050959,1675849052237
1675849050997,1675849052253
1675849050865,1675849052263
1675849050974,1675849052308
1675849051290,1675849052309
1675849051077,1675849052389
1675849050934,1675849052420
1675849050857,1675849052469
1675849051381,1675849052500
1675849051566,1675849052613
1675849051289,1675849052637
1675849051477,1675849052641
1675849051214,1675849052657
1675849051470,1675849052701
1675849051590,1675849052813
1675849051685,1675849052837
1675849051892,1675849052920
1675849051458,1675849052936
1675849051638,1675849052953
1675849051626,1675849052956
1675849051850,1675849052985
1675849051511,1675849052994
1675849051797,1675849052996
1675849051803,1675849053013
1675849051914,1675849053029
1675849051710,1675849053073
1675849051758,1675849053112
1675849052078,1675849053119
1675849051838,1675849053173
1675849051918,1675849053245
1675849052047,1675849053253
1675849051906,1675849053269
1675849052011,1675849053293
1675849051846,1675849053321
1675849051873,1675849053321
1675849051857,1675849053323
1675849051826,1675849053401
1675849052062,1675849053409
1675849052038,1675849053417
1675849052054,1675849053421
1675849051912,1675849053456
1675849051888,1675849053481
1675849052143,1675849053481
1675849052107,1675849053493
1675849052309,1675849053500
1675849052264,1675849053517
1675849052239,1675849053586
1675849052211,1675849053609
1675849051955,1675849053621
1675849052471,1675849053629
1675849052057,1675849053717
1675849051867,1675849053721
1675849052421,1675849053833
1675849052086,1675849053853
1675849052391,1675849053960
1675849052170,1675849054048
1675849052254,1675849054116
1675849052659,1675849054153
1675849052642,1675849054361
1675849052614,1675849054369
1675849052921,1675849054497
1675849052501,1675849054615
1675849053114,1675849054640
1675849053031,1675849054669
1675849052815,1675849054682
1675849052639,1675849054706
1675849052958,1675849054713
1675849052310,1675849054776
1675849052839,1675849054825
1675849053270,1675849054840
1675849052986,1675849054857
1675849053014,1675849054920
1675849053323,1675849054944
1675849052995,1675849054976
1675849053419,1675849055005
1675849052703,1675849055072
1675849053501,1675849055077
1675849052954,1675849055088
1675849053174,1675849055109
1675849053254,1675849055113
1675849052997,1675849055149
1675849052938,1675849055155
1675849053295,1675849055228
1675849053075,1675849055325
1675849053719,1675849055405
1675849053494,1675849055421
1675849053457,1675849055429
1675849053121,1675849055449
1675849053483,1675849055477
1675849053403,1675849055484
1675849054616,1675849055557
1675849053422,1675849055580
1675849053482,1675849055673
1675849054499,1675849055693
1675849053323,1675849055709
1675849053324,1675849055743
1675849053961,1675849055757
1675849053855,1675849055796
1675849053623,1675849055813
1675849053631,1675849055858
1675849054708,1675849055868
1675849053519,1675849055881
1675849054371,1675849055882
1675849053835,1675849055888
1675849054978,1675849055889
1675849053411,1675849055921
1675849053723,1675849055933
1675849053247,1675849055973
1675849054050,1675849056009
1675849054670,1675849056028
1675849054363,1675849056071
1675849054715,1675849056085
1675849054859,1675849056085
1675849054683,1675849056125
1675849054946,1675849056168
1675849054921,1675849056181
1675849054154,1675849056185
1675849054842,1675849056192
1675849053610,1675849056201
1675849055157,1675849056213
1675849054642,1675849056256
1675849055114,1675849056257
1675849055479,1675849056321
1675849055327,1675849056349
1675849055423,1675849056353
1675849054118,1675849056361
1675849055090,1675849056373
1675849055151,1675849056397
1675849055073,1675849056404
1675849054778,1675849056448
1675849053588,1675849056477
1675849055110,1675849056581
1675849055694,1675849056593
1675849054826,1675849056613
1675849055485,1675849056658
1675849055079,1675849056660
1675849055006,1675849056765
1675849055558,1675849056801
1675849055406,1675849056838
1675849055869,1675849056900
1675849055582,1675849056993
1675849055744,1675849057005
1675849056029,1675849057024
1675849055230,1675849057033
1675849055451,1675849057033
1675849055884,1675849057061
1675849055759,1675849057073
1675849055431,1675849057097
1675849055890,1675849057137
1675849056170,1675849057177
1675849055675,1675849057185
1675849055798,1675849057225
1675849056086,1675849057253
1675849055890,1675849057312
1675849056127,1675849057340
1675849055882,1675849057385
1675849055859,1675849057393
1675849056479,1675849057417
1675849056187,1675849057429
1675849056182,1675849057441
1675849056354,1675849057500
1675849055815,1675849057512
1675849056362,1675849057536
1675849056086,1675849057540
1675849056766,1675849057571
1675849056073,1675849057573
1675849056351,1675849057573
1675849056374,1675849057608
1675849055710,1675849057687
1675849056322,1675849057689
1675849056405,1675849057710
1675849056011,1675849057713
1675849056614,1675849057717
1675849056193,1675849057732
1675849056399,1675849057741
1675849056660,1675849057769
1675849057034,1675849057849
1675849056839,1675849057853
1675849056215,1675849057876
1675849055974,1675849057880
1675849056258,1675849057884
1675849056450,1675849057929
1675849055923,1675849057941
1675849056257,1675849058031
1675849056662,1675849058049
